dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
poissonNmean25,0.05,GHCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,GHCP,5,0.95,1.0,0.0,0.0,1000.0,40.29214638520352,,,40.29214638520352,40.29214638520352,40.29214638520352,40.29214638520352,40.29214638520352,1000.0,1.0,999.0,0.001,0.999
poissonNmean25,0.05,GHCP,10,0.95,1.0,0.0,0.0,1000.0,24.44746919020381,5.786591653370132,0.7533500656429826,22.89690288088466,20.77283289184103,28.62911343665745,13.098826654108056,42.48842772842954,1000.0,59.0,941.0,0.059,0.941
poissonNmean25,0.05,GHCP,15,0.95,0.987,0.11333068359382573,0.0035820385257559714,1000.0,21.495774394424515,4.828762348660768,0.17334246621235747,20.93315351802256,18.018626557956285,24.72840968263343,10.856965387802832,38.713181489111136,1000.0,776.0,224.0,0.776,0.224
poissonNmean25,0.05,GHCP,20,0.95,0.978,0.14675672910479282,0.004638534251247911,1000.0,17.441265125397482,3.8535150602003063,0.12204204645325342,17.159553175213283,14.821522020942412,19.902601708117412,7.77273600758642,31.178085533518065,1000.0,997.0,3.0,0.997,0.003
poissonNmean25,0.05,GHCP,25,0.95,0.971,0.1678904023081343,0.005306505441436956,1000.0,16.391828022766948,3.9257133409628824,0.1302793729528037,15.941944279484964,13.497115498841543,18.97191374857198,8.155218263574511,33.165168146895994,1000.0,908.0,92.0,0.908,0.092
poissonNmean25,0.05,GHCP,30,0.95,0.986,0.11754921445002436,0.0037153734670958734,1000.0,14.980787378818079,4.2628482255712825,0.2118226313364832,14.3370949183975,11.91076544561146,17.70391234845545,6.506133107924889,31.88551420990084,1000.0,405.0,595.0,0.405,0.595
poissonNmean25,0.05,GHCP,35,0.95,0.999,0.03162277660168379,0.0009994998749374613,1000.0,14.317810644888722,4.851170739373509,0.7397966021938248,13.548724613386597,10.551688661376993,19.139199857305034,5.838047633215011,26.362650946305216,1000.0,43.0,957.0,0.043,0.957
poissonNmean25,0.05,GHCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,GHCP no within,5,0.95,1.0,0.0,0.0,1000.0,36.88106053116291,12.012513672422292,4.904088170940183,38.526281845738566,27.235748524979023,45.50729822532221,21.607432928527373,51.319825463730325,1000.0,6.0,994.0,0.006,0.994
poissonNmean25,0.05,GHCP no within,10,0.95,0.996,0.06315051850925683,0.0019959959919799443,1000.0,35.79727883815868,8.144930610919864,0.3495324281614841,35.06950100411021,29.79522591420003,41.044388998361725,16.86306532695221,62.80005075092366,1000.0,543.0,457.0,0.543,0.457
poissonNmean25,0.05,GHCP no within,15,0.95,0.967,0.17872588772459053,0.005648982209212561,1000.0,33.50926136754811,7.993332183052627,0.25277135792772265,32.682435955181276,27.905337604631594,38.97025104278522,15.977160290512316,68.4835781795739,1000.0,1000.0,0.0,1.0,0.0
poissonNmean25,0.05,GHCP no within,20,0.95,0.974,0.15921478998305827,0.005032295698784007,1000.0,32.55397931519414,7.943763792297575,0.2512038677803707,32.00548228223007,27.15117468934828,37.70712682045951,13.05320736652829,63.572034501162506,1000.0,1000.0,0.0,1.0,0.0
poissonNmean25,0.05,GHCP no within,25,0.95,0.961,0.19369180807797864,0.006122009474020767,1000.0,30.43606441296876,8.061460170220023,0.25659910440412065,29.61240699240823,24.60644153185015,35.65868063222895,10.70271598689537,59.67103180924725,1000.0,987.0,13.0,0.987,0.013
poissonNmean25,0.05,GHCP no within,30,0.95,0.968,0.17608806605504818,0.005565608681896351,1000.0,23.058255317232177,8.808100814596182,0.3184575570372047,22.359454697957815,16.849979167004008,28.99485799719563,5.577056201252127,59.483699992066555,1000.0,765.0,235.0,0.765,0.235
poissonNmean25,0.05,GHCP no within,35,0.95,0.978,0.1467567291047928,0.004638534251247911,1000.0,17.721317751188366,9.018806420342983,0.31826676712009333,15.593951351888096,10.788712969811776,23.26219602992535,3.475337064597287,57.81143461534482,1000.0,803.0,197.0,0.803,0.197
poissonNmean25,0.05,HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,15,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,20,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,HCP,35,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,Std-CP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean25,0.05,Std-CP,5,0.95,0.927,0.2602666685127751,0.008226238508577293,1000.0,4.492726857893487,2.085990197036998,0.12466175811448545,4.006762061003445,2.931487376711382,5.814873089059292,0.5670039534812217,14.609519192093238,1000.0,280.0,720.0,0.28,0.72
