dataset,method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
poissonNmean21,GHCP,0,0.2,0.8,25.023782030822026,0.20778684722739285,6.570797050640043,24.44671003509565,20.43279383532189,28.799337450758493,7.220194820749468,55.92296167879884,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,0,0.15,0.85,29.897350283930702,0.25894151451237307,8.188449666326436,29.03629324676459,24.168912913497913,34.830557924662045,8.42993307089242,61.93910022100141,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,0,0.1,0.9,34.176533509901496,0.27361387745032967,8.652430521732262,33.29304599115595,28.10523618255181,39.04266708016936,10.783938798691226,72.12393516367969,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean21,GHCP,5,0.2,0.8,20.024477118354298,0.16384933615966765,5.181370953711361,19.557185976856783,16.54924802154095,22.93591302214827,6.388611505432472,44.07358661884844,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,5,0.15,0.85,23.56846765220271,0.19825014442603783,6.269220028436142,22.921076840910473,19.278572192417677,27.488020283294738,6.913243556853629,48.07177223638869,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,5,0.1,0.9,26.802211247668733,0.21541334721578603,6.8119681560257455,26.016947319737803,22.09743892891958,30.761757743796164,9.18591613083769,53.73144197819999,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,5,0.05,0.95,25.681412119804804,,,25.681412119804804,25.681412119804804,25.681412119804804,25.681412119804804,25.681412119804804,1000.0,1.0,999.0,0.001,0.999
poissonNmean21,GHCP,10,0.2,0.8,15.444061738010598,0.12102618048910778,3.827183868562117,15.066760864446444,12.776704044527914,17.623756021013214,6.238839121860131,35.0686489524257,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,10,0.15,0.85,17.583715580602796,0.13455581673439065,4.255028533048741,17.284025474362306,14.594555255592613,20.268902609806673,6.931127450226066,37.3369420455434,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,10,0.1,0.9,20.530692751908067,0.16020285991957356,5.066059250187517,20.026552082167008,17.113593435969477,23.58068582464682,8.32279333929382,39.44287793281748,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,10,0.05,0.95,24.269701747265557,0.3214300635628185,5.242365688569555,23.552111095934368,20.738428881620735,26.99909663042657,11.840109865776576,39.98740333940131,1000.0,266.0,734.0,0.266,0.734
poissonNmean21,GHCP,15,0.2,0.8,13.059416252897272,0.0933138493530168,2.950843011933626,12.778794988692866,10.913204918179545,14.840793476624311,5.930782039418446,24.948892808054612,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,15,0.15,0.85,14.695263155952278,0.101544474829352,3.2111182426639013,14.395581050904047,12.414011875843403,16.633788606387277,6.89680431962649,28.634268439578378,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,15,0.1,0.9,17.02997997115268,0.12280275490290138,3.8833640843657795,16.60871075849692,14.237467985750929,19.213177639130123,7.531263350227398,35.580130880318706,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,15,0.05,0.95,20.691379519218238,0.15327408457701466,4.827525395365463,20.41326954591566,17.048469944876537,23.601611603842343,8.615904992152004,40.816191985571216,1000.0,992.0,8.0,0.992,0.008
poissonNmean21,GHCP,20,0.2,0.8,11.511259520594036,0.09286314864560405,2.9365906041488916,11.172997458617846,9.490547395684047,13.214893182308085,5.498589452460536,26.266896378674844,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,20,0.15,0.85,12.969763645465376,0.10277913918407276,3.250161757731298,12.492694551642863,10.746584872700822,14.79456747981801,6.400558233749614,30.00189799854967,1000.0,1000.0,0.0,1.0,0.0
poissonNmean21,GHCP,20,0.1,0.9,14.9077948849819,0.11791153550574017,3.726825334667041,14.449072509650495,12.351978857076173,16.956346405434946,7.0129896548275,34.98623590957833,1000.0,999.0,1.0,0.999,0.001
