dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,GHCP,0,0.2,0.8,0.84,0.011593101396951551,0.366789496216201,1000.0
fixedN21,GHCP,0,0.15,0.85,0.893,0.009775019181566856,0.3092679204939411,1000.0
fixedN21,GHCP,0,0.1,0.9,0.924,0.008379976133617564,0.2651307117146075,1000.0
fixedN21,GHCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,5,0.2,0.8,0.843,0.01150439046625244,0.3639828065767441,1000.0
fixedN21,GHCP,5,0.15,0.85,0.886,0.010050074626588601,0.31797028965786267,1000.0
fixedN21,GHCP,5,0.1,0.9,0.925,0.00832916562447884,0.26352313834736496,1000.0
fixedN21,GHCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,10,0.2,0.8,0.845,0.011444430960078356,0.36208577175319395,1000.0
fixedN21,GHCP,10,0.15,0.85,0.882,0.01020176455325254,0.3227695465501357,1000.0
fixedN21,GHCP,10,0.1,0.9,0.918,0.008676174272108645,0.27450200609713465,1000.0
fixedN21,GHCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,15,0.2,0.8,0.837,0.011680368144883107,0.3695504939349528,1000.0
fixedN21,GHCP,15,0.15,0.85,0.873,0.010529529904036551,0.3331395833310445,1000.0
fixedN21,GHCP,15,0.1,0.9,0.91,0.009049861877399012,0.28632495871296654,1000.0
fixedN21,GHCP,15,0.05,0.95,0.984,0.00396787096564392,0.12553788177183717,1000.0
fixedN21,GHCP,20,0.2,0.8,0.818,0.01220147532063234,0.38603759535183224,1000.0
fixedN21,GHCP,20,0.15,0.85,0.862,0.01090669519148674,0.3450725649411657,1000.0
fixedN21,GHCP,20,0.1,0.9,0.893,0.009775019181566856,0.3092679204939411,1000.0
fixedN21,GHCP,20,0.05,0.95,0.948,0.007021111023192843,0.22213812222431645,1000.0
fixedN21,GHCP,25,0.2,0.8,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,GHCP,25,0.15,0.85,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,GHCP,25,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,GHCP,25,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,30,0.2,0.8,0.931,0.008014923580421711,0.2535809600567505,1000.0
fixedN21,GHCP,30,0.15,0.85,0.931,0.008014923580421711,0.2535809600567505,1000.0
fixedN21,GHCP,30,0.1,0.9,0.931,0.008014923580421711,0.2535809600567505,1000.0
fixedN21,GHCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,35,0.2,0.8,0.944,0.007270763371201131,0.2300367729666649,1000.0
fixedN21,GHCP,35,0.15,0.85,0.944,0.007270763371201131,0.2300367729666649,1000.0
fixedN21,GHCP,35,0.1,0.9,0.944,0.007270763371201131,0.2300367729666649,1000.0
fixedN21,GHCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP no within,0,0.2,0.8,0.84,0.011593101396951551,0.366789496216201,1000.0
fixedN21,GHCP no within,0,0.15,0.85,0.893,0.009775019181566856,0.3092679204939411,1000.0
fixedN21,GHCP no within,0,0.1,0.9,0.924,0.008379976133617564,0.2651307117146075,1000.0
fixedN21,GHCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP no within,5,0.2,0.8,0.835,0.011737759581794136,0.3713662786426804,1000.0
fixedN21,GHCP no within,5,0.15,0.85,0.881,0.010239091756596383,0.32395052700056526,1000.0
fixedN21,GHCP no within,5,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
fixedN21,GHCP no within,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP no within,10,0.2,0.8,0.829,0.011906258858264422,0.3766973598273564,1000.0
fixedN21,GHCP no within,10,0.15,0.85,0.872,0.010564847372300274,0.33425697857745273,1000.0
fixedN21,GHCP no within,10,0.1,0.9,0.904,0.009315793041926167,0.2947386484173239,1000.0
fixedN21,GHCP no within,10,0.05,0.95,0.994,0.002442130217658347,0.07726558075864033,1000.0
fixedN21,GHCP no within,15,0.2,0.8,0.82,0.012149074038789953,0.38437969216355294,1000.0
fixedN21,GHCP no within,15,0.15,0.85,0.862,0.01090669519148674,0.3450725649411658,1000.0
fixedN21,GHCP no within,15,0.1,0.9,0.896,0.009653186002558947,0.305413289293831,1000.0
fixedN21,GHCP no within,15,0.05,0.95,0.967,0.005648982209212561,0.17872588772459053,1000.0
fixedN21,GHCP no within,20,0.2,0.8,0.804,0.01255324659201754,0.39716714584887525,1000.0
fixedN21,GHCP no within,20,0.15,0.85,0.853,0.011197812286335219,0.3542831022170216,1000.0
fixedN21,GHCP no within,20,0.1,0.9,0.892,0.009815090422405694,0.3105357184486713,1000.0
fixedN21,GHCP no within,20,0.05,0.95,0.952,0.006759881655768837,0.21387319079712103,1000.0
fixedN21,GHCP no within,25,0.2,0.8,0.919,0.008627803892068941,0.272971634998059,1000.0
fixedN21,GHCP no within,25,0.15,0.85,0.919,0.008627803892068941,0.272971634998059,1000.0
fixedN21,GHCP no within,25,0.1,0.9,0.919,0.008627803892068941,0.272971634998059,1000.0
fixedN21,GHCP no within,25,0.05,0.95,0.945,0.007209368904418752,0.22809433799861636,1000.0
fixedN21,GHCP no within,30,0.2,0.8,0.904,0.009315793041926167,0.2947386484173239,1000.0
fixedN21,GHCP no within,30,0.15,0.85,0.904,0.009315793041926167,0.2947386484173239,1000.0
fixedN21,GHCP no within,30,0.1,0.9,0.904,0.009315793041926167,0.2947386484173239,1000.0
fixedN21,GHCP no within,30,0.05,0.95,0.956,0.006485676526007139,0.2051977244174655,1000.0
fixedN21,GHCP no within,35,0.2,0.8,0.913,0.008912407082264588,0.2819760814510878,1000.0
fixedN21,GHCP no within,35,0.15,0.85,0.913,0.008912407082264588,0.2819760814510878,1000.0
fixedN21,GHCP no within,35,0.1,0.9,0.913,0.008912407082264588,0.2819760814510878,1000.0
fixedN21,GHCP no within,35,0.05,0.95,0.962,0.006046155803483734,0.19129190414806527,1000.0
fixedN21,HCP,0,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,HCP,0,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
fixedN21,HCP,0,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,5,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,HCP,5,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
fixedN21,HCP,5,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,10,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,HCP,10,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
fixedN21,HCP,10,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,15,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,HCP,15,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
fixedN21,HCP,15,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,HCP,15,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,20,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,HCP,20,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
fixedN21,HCP,20,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,HCP,20,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,25,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
