dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.05,GHCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP,15,0.95,0.984,0.12553788177183717,0.00396787096564392,1000.0,21.278140421159527,4.700412773646661,0.14864010307672926,20.776673147256602,17.900223983528452,24.18732896771783,11.4785043910485,39.37064418975916,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP,20,0.95,0.948,0.22213812222431645,0.007021111023192843,1000.0,15.834339230346101,3.588320005152652,0.11347264189829516,15.503197238264121,13.249807345993592,18.025993384760362,8.377791784940705,30.08108749413875,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP,35,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP no within,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,GHCP no within,10,0.95,0.994,0.07726558075864033,0.002442130217658347,1000.0,36.581756326597066,8.516889028419792,0.2693276790870508,35.542598058098854,30.507071043712745,41.80560411941835,16.966056823812337,71.80019308333301,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP no within,15,0.95,0.967,0.17872588772459053,0.005648982209212561,1000.0,33.085054677714666,8.241847408999455,0.2606300993999562,32.27291223105028,27.243686647717325,38.12618214922138,14.970666378518464,65.1076323172542,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP no within,20,0.95,0.952,0.21387319079712103,0.006759881655768837,1000.0,31.53101040447612,8.099406015334369,0.25612570702925264,30.649123808329335,25.784101573601088,36.45901458292991,14.326556561274971,63.567411920304494,1000.0,1000.0,0.0,1.0,0.0
