dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean25,GHCP,0,0.2,0.8,0.84,0.011593101396951551,0.366789496216201,1000.0
poissonNmean25,GHCP,0,0.15,0.85,0.904,0.009315793041926167,0.2947386484173239,1000.0
poissonNmean25,GHCP,0,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,GHCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,GHCP,5,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
poissonNmean25,GHCP,5,0.15,0.85,0.897,0.009612023720320294,0.30411097231682305,1000.0
poissonNmean25,GHCP,5,0.1,0.9,0.943,0.007331507348424336,0.23195862735583864,1000.0
poissonNmean25,GHCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,GHCP,10,0.2,0.8,0.827,0.011961229033840963,0.3784365392165696,1000.0
poissonNmean25,GHCP,10,0.15,0.85,0.889,0.00993373041711924,0.31428932176861785,1000.0
poissonNmean25,GHCP,10,0.1,0.9,0.934,0.007851369307324675,0.2484063318550993,1000.0
poissonNmean25,GHCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,GHCP,15,0.2,0.8,0.825,0.012015614840697917,0.38015722999769397,1000.0
poissonNmean25,GHCP,15,0.15,0.85,0.883,0.010164201887015036,0.32158111638343195,1000.0
poissonNmean25,GHCP,15,0.1,0.9,0.925,0.00832916562447884,0.26352313834736496,1000.0
poissonNmean25,GHCP,15,0.05,0.95,0.987,0.0035820385257559714,0.11333068359382573,1000.0
poissonNmean25,GHCP,20,0.2,0.8,0.821,0.012122664723566351,0.3835441384066586,1000.0
poissonNmean25,GHCP,20,0.15,0.85,0.867,0.010738295954200556,0.3397446488562056,1000.0
poissonNmean25,GHCP,20,0.1,0.9,0.918,0.008676174272108645,0.2745020060971346,1000.0
poissonNmean25,GHCP,20,0.05,0.95,0.978,0.004638534251247911,0.14675672910479282,1000.0
poissonNmean25,GHCP,25,0.2,0.8,0.817,0.012227469075814505,0.3868600013708585,1000.0
poissonNmean25,GHCP,25,0.15,0.85,0.866,0.010772372069326236,0.3408227694273963,1000.0
poissonNmean25,GHCP,25,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean25,GHCP,25,0.05,0.95,0.971,0.005306505441436956,0.1678904023081343,1000.0
poissonNmean25,GHCP,30,0.2,0.8,0.868,0.010704017937204702,0.3386601403925338,1000.0
poissonNmean25,GHCP,30,0.15,0.85,0.904,0.009315793041926167,0.2947386484173239,1000.0
poissonNmean25,GHCP,30,0.1,0.9,0.951,0.006826346021115546,0.21597603025716913,1000.0
poissonNmean25,GHCP,30,0.05,0.95,0.986,0.0037153734670958734,0.11754921445002436,1000.0
poissonNmean25,GHCP,35,0.2,0.8,0.956,0.006485676526007139,0.2051977244174655,1000.0
poissonNmean25,GHCP,35,0.15,0.85,0.973,0.005125524363418832,0.16216441439877397,1000.0
poissonNmean25,GHCP,35,0.1,0.9,0.987,0.0035820385257559714,0.11333068359382573,1000.0
poissonNmean25,GHCP,35,0.05,0.95,0.999,0.0009994998749374613,0.03162277660168379,1000.0
poissonNmean25,GHCP no within,0,0.2,0.8,0.84,0.011593101396951551,0.366789496216201,1000.0
poissonNmean25,GHCP no within,0,0.15,0.85,0.904,0.009315793041926167,0.2947386484173239,1000.0
poissonNmean25,GHCP no within,0,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,GHCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,GHCP no within,5,0.2,0.8,0.833,0.01179453263168999,0.3731624984510773,1000.0
poissonNmean25,GHCP no within,5,0.15,0.85,0.894,0.009734680272099335,0.30799165387857325,1000.0
poissonNmean25,GHCP no within,5,0.1,0.9,0.93,0.008068457101577721,0.2552746857116176,1000.0
poissonNmean25,GHCP no within,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,GHCP no within,10,0.2,0.8,0.816,0.012253326079069309,0.387678080750375,1000.0
poissonNmean25,GHCP no within,10,0.15,0.85,0.874,0.010493998284733994,0.3320154126456093,1000.0
poissonNmean25,GHCP no within,10,0.1,0.9,0.923,0.008430361795320529,0.26672484350382913,1000.0
poissonNmean25,GHCP no within,10,0.05,0.95,0.996,0.0019959959919799443,0.06315051850925683,1000.0
poissonNmean25,GHCP no within,15,0.2,0.8,0.815,0.012279047194306243,0.38849186082326864,1000.0
poissonNmean25,GHCP no within,15,0.15,0.85,0.861,0.010939789760319894,0.3461196307619647,1000.0
poissonNmean25,GHCP no within,15,0.1,0.9,0.909,0.009094998625618366,0.28775302222878874,1000.0
poissonNmean25,GHCP no within,15,0.05,0.95,0.967,0.005648982209212561,0.17872588772459053,1000.0
poissonNmean25,GHCP no within,20,0.2,0.8,0.804,0.01255324659201754,0.3971671458488752,1000.0
poissonNmean25,GHCP no within,20,0.15,0.85,0.86,0.010972693379476163,0.3471606552023436,1000.0
poissonNmean25,GHCP no within,20,0.1,0.9,0.91,0.009049861877399012,0.28632495871296654,1000.0
poissonNmean25,GHCP no within,20,0.05,0.95,0.974,0.005032295698784007,0.15921478998305827,1000.0
poissonNmean25,GHCP no within,25,0.2,0.8,0.799,0.01267276607532862,0.40094857495663927,1000.0
poissonNmean25,GHCP no within,25,0.15,0.85,0.859,0.011005407761641547,0.34819569244928955,1000.0
poissonNmean25,GHCP no within,25,0.1,0.9,0.914,0.008865889690267975,0.28050433629924987,1000.0
poissonNmean25,GHCP no within,25,0.05,0.95,0.961,0.006122009474020767,0.19369180807797864,1000.0
poissonNmean25,GHCP no within,30,0.2,0.8,0.842,0.011534123287012326,0.36492351139542817,1000.0
poissonNmean25,GHCP no within,30,0.15,0.85,0.882,0.01020176455325254,0.3227695465501357,1000.0
poissonNmean25,GHCP no within,30,0.1,0.9,0.93,0.008068457101577721,0.2552746857116176,1000.0
poissonNmean25,GHCP no within,30,0.05,0.95,0.968,0.005565608681896351,0.17608806605504818,1000.0
poissonNmean25,GHCP no within,35,0.2,0.8,0.927,0.008226238508577293,0.2602666685127751,1000.0
poissonNmean25,GHCP no within,35,0.15,0.85,0.938,0.00762600813007697,0.2412762197445372,1000.0
poissonNmean25,GHCP no within,35,0.1,0.9,0.961,0.006122009474020767,0.19369180807797864,1000.0
poissonNmean25,GHCP no within,35,0.05,0.95,0.978,0.004638534251247911,0.1467567291047928,1000.0
poissonNmean25,HCP,0,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,0,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,0,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,5,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean25,HCP,5,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean25,HCP,5,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean25,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean25,HCP,10,0.2,0.8,0.841,0.011563693181678596,0.36585906146062974,1000.0
