predictor,w_g,w_local,o,n,coverage_mean,coverage_se,width_mean,width_se,finite_rate
bayes,0.8571428571428572,0.1428571428571428,0,1000,0.984,0.00396787096564392,5.02683216147671,0.01656233557469407,1.0
bayes,0.8571428571428572,0.1428571428571428,5,1000,0.969,0.005480784615363026,4.412090593704646,0.01230598666870322,1.0
bayes,0.8571428571428572,0.1428571428571428,10,1000,0.954,0.006624499981130654,4.037965961298039,0.011736377339185543,1.0
bayes,0.8571428571428572,0.1428571428571428,15,1000,0.934,0.007851369307324675,3.6583475211810783,0.01013503721721407,1.0
bayes,0.8571428571428572,0.1428571428571428,20,1000,0.917,0.008724161850859943,3.456565166365095,0.009252484304214567,1.0
bayes,0.5714285714285714,0.4285714285714286,0,1000,0.984,0.00396787096564392,5.02683216147671,0.01656233557469407,1.0
bayes,0.5714285714285714,0.4285714285714286,5,1000,0.972,0.005216895628628201,4.737278311448155,0.013284284726466674,1.0
bayes,0.5714285714285714,0.4285714285714286,10,1000,0.957,0.006414904519944161,4.206584883360889,0.011890016551612405,1.0
bayes,0.5714285714285714,0.4285714285714286,15,1000,0.94,0.007509993342207438,3.7988586216914153,0.010651668486873992,1.0
bayes,0.5714285714285714,0.4285714285714286,20,1000,0.927,0.008226238508577293,3.58240801072235,0.009522557611108276,1.0
bayes,0.4285714285714286,0.5714285714285714,0,1000,0.984,0.00396787096564392,5.02683216147671,0.01656233557469407,1.0
bayes,0.4285714285714286,0.5714285714285714,5,1000,0.971,0.005306505441436956,5.004485873165941,0.014296637305121549,1.0
bayes,0.4285714285714286,0.5714285714285714,10,1000,0.961,0.006122009474020767,4.350944703197733,0.012237016518552203,1.0
bayes,0.4285714285714286,0.5714285714285714,15,1000,0.939,0.007568289106528638,3.921442241042106,0.01094616643496416,1.0
bayes,0.4285714285714286,0.5714285714285714,20,1000,0.927,0.008226238508577293,3.6879163465098994,0.010007327672944013,1.0
bayes,0.1428571428571429,0.8571428571428571,0,1000,0.984,0.00396787096564392,5.02683216147671,0.01656233557469407,1.0
bayes,0.1428571428571429,0.8571428571428571,5,1000,0.975,0.004937104414532877,5.683790464656644,0.01810733891637053,1.0
bayes,0.1428571428571429,0.8571428571428571,10,1000,0.967,0.005648982209212561,4.755696065433025,0.013612099332964752,1.0
bayes,0.1428571428571429,0.8571428571428571,15,1000,0.946,0.0071473071852271785,4.254722100276313,0.012121905824529145,1.0
bayes,0.1428571428571429,0.8571428571428571,20,1000,0.928,0.00817410545564467,3.972417107574983,0.011023904608527138,1.0
rf,0.8571428571428572,0.1428571428571428,0,1000,0.987,0.0035820385257559714,6.682989858543496,0.025626938082377322,1.0
rf,0.8571428571428572,0.1428571428571428,5,1000,0.979,0.00453420334788814,5.63760406756138,0.018958329847492288,1.0
rf,0.8571428571428572,0.1428571428571428,10,1000,0.966,0.005730968504537434,5.1708775130599465,0.017562863757467538,1.0
rf,0.8571428571428572,0.1428571428571428,15,1000,0.944,0.007270763371201131,4.720935264961017,0.01605886873968311,1.0
rf,0.8571428571428572,0.1428571428571428,20,1000,0.929,0.008121514637061239,4.505908815666867,0.01491308749732642,1.0
rf,0.5714285714285714,0.4285714285714286,0,1000,0.987,0.0035820385257559714,6.682989858543496,0.025626938082377322,1.0
rf,0.5714285714285714,0.4285714285714286,5,1000,0.98,0.0044271887242357325,5.454989934327812,0.016558528963345125,1.0
rf,0.5714285714285714,0.4285714285714286,10,1000,0.967,0.005648982209212561,4.893258035094181,0.014921676466601783,1.0
rf,0.5714285714285714,0.4285714285714286,15,1000,0.944,0.007270763371201131,4.455372635671061,0.013602463552624974,1.0
rf,0.5714285714285714,0.4285714285714286,20,1000,0.929,0.008121514637061239,4.218054418412737,0.012181112290517443,1.0
rf,0.4285714285714286,0.5714285714285714,0,1000,0.987,0.0035820385257559714,6.682989858543496,0.025626938082377322,1.0
rf,0.4285714285714286,0.5714285714285714,5,1000,0.977,0.004740358636221528,5.491997191036025,0.016785123048388542,1.0
rf,0.4285714285714286,0.5714285714285714,10,1000,0.966,0.005730968504537434,4.837635494880268,0.014510823220091708,1.0
rf,0.4285714285714286,0.5714285714285714,15,1000,0.944,0.007270763371201131,4.387179015956789,0.012862037099538337,1.0
rf,0.4285714285714286,0.5714285714285714,20,1000,0.932,0.00796090447122687,4.135892690944038,0.011704261700868837,1.0
rf,0.1428571428571429,0.8571428571428571,0,1000,0.987,0.0035820385257559714,6.682989858543496,0.025626938082377322,1.0
rf,0.1428571428571429,0.8571428571428571,5,1000,0.974,0.005032295698784007,5.8110931415296,0.018551194627108827,1.0
rf,0.1428571428571429,0.8571428571428571,10,1000,0.967,0.005648982209212561,4.896695692235979,0.01439274500255726,1.0
rf,0.1428571428571429,0.8571428571428571,15,1000,0.949,0.006956938982052382,4.390288226510812,0.012379363106667948,1.0
rf,0.1428571428571429,0.8571428571428571,20,1000,0.926,0.008277922444671728,4.09504144660933,0.011230097652188863,1.0
