xi,o,n,coverage_mean,coverage_se,width_mean,width_se,finite_rate,corr_B_N_mean
0.0,0,1000,0.937,0.007683163410991592,34.27392263079398,0.26542406908278326,1.0,0.001923644619765529
0.0,5,1000,0.935,0.0077958322198467015,27.2554975041336,0.21815694566894978,1.0,0.001923644619765529
0.0,10,1000,0.933,0.007906389820898028,21.036885016381195,0.1651310345130635,1.0,0.001923644619765529
0.0,15,1000,0.925,0.00832916562447884,17.606615389694248,0.1356513570382488,1.0,0.001923644619765529
0.0,20,1000,0.921,0.008529888627643386,14.4783634404139,0.10660331971160086,1.0,0.001923644619765529
0.25,0,1000,0.941,0.007451107300260817,33.99223340763015,0.26076991110409836,1.0,0.24869562928142522
0.25,5,1000,0.937,0.007683163410991592,27.08574849360963,0.21082258135494397,1.0,0.24869562928142522
0.25,10,1000,0.926,0.008277922444671728,20.972394320447673,0.16185659676884545,1.0,0.24869562928142522
0.25,15,1000,0.927,0.008226238508577293,17.606536931127625,0.1320422265729082,1.0,0.24869562928142522
0.25,20,1000,0.912,0.008958571314668425,14.445995290660855,0.10514975340190862,1.0,0.24869562928142522
0.5,0,1000,0.946,0.0071473071852271785,34.78520981461903,0.26335786433577546,1.0,0.49641080690059425
0.5,5,1000,0.943,0.007331507348424336,27.727436950449672,0.21054028231313482,1.0,0.49641080690059425
0.5,10,1000,0.941,0.007451107300260817,21.498190249715538,0.1621344962374105,1.0,0.49641080690059425
0.5,15,1000,0.932,0.00796090447122687,17.87723302724555,0.13194333992712365,1.0,0.49641080690059425
0.5,20,1000,0.909,0.009094998625618366,14.37372022022716,0.10570354899569778,1.0,0.49641080690059425
0.75,0,1000,0.945,0.007209368904418752,36.149484219614855,0.2603902557264962,1.0,0.7458414491471058
0.75,5,1000,0.938,0.00762600813007697,28.778285278862924,0.21020917028967326,1.0,0.7458414491471058
0.75,10,1000,0.939,0.007568289106528638,22.27502711580563,0.16169865041258102,1.0,0.7458414491471058
0.75,15,1000,0.934,0.007851369307324675,18.275632860939822,0.13051131017243328,1.0,0.7458414491471058
0.75,20,1000,0.891,0.009854897259738428,14.168916720372119,0.10470362995053299,1.0,0.7458414491471058
