method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
D-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
D-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
D-HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
D-HCP,15,0.05,0.95,0.988,0.003443254274665176,0.10893974420691409,1000.0
D-HCP,20,0.05,0.95,0.951,0.006826346021115546,0.21597603025716916,1000.0
HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
HCP,5,0.05,0.95,,,,0.0
HCP,10,0.05,0.95,,,,0.0
HCP,15,0.05,0.95,,,,0.0
HCP,20,0.05,0.95,,,,0.0
Pooled-Income-Quantile,0,0.05,0.95,0.926,0.008277922444671728,0.2619018758859749,1000.0
Pooled-Income-Quantile,5,0.05,0.95,0.926,0.008277922444671728,0.2619018758859749,1000.0
Pooled-Income-Quantile,10,0.05,0.95,0.926,0.008277922444671728,0.2619018758859749,1000.0
Pooled-Income-Quantile,15,0.05,0.95,0.926,0.008277922444671728,0.2619018758859749,1000.0
Pooled-Income-Quantile,20,0.05,0.95,0.926,0.008277922444671728,0.2619018758859749,1000.0
Pooling,0,0.05,0.95,0.931,0.008014923580421711,0.2535809600567505,1000.0
Pooling,5,0.05,0.95,,,,0.0
Pooling,10,0.05,0.95,,,,0.0
Pooling,15,0.05,0.95,,,,0.0
Pooling,20,0.05,0.95,,,,0.0
Repeated,0,0.05,0.95,1.0,0.0,0.0,1000.0
Repeated,5,0.05,0.95,,,,0.0
Repeated,10,0.05,0.95,,,,0.0
Repeated,15,0.05,0.95,,,,0.0
Repeated,20,0.05,0.95,,,,0.0
S-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
S-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
S-HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
S-HCP,15,0.05,0.95,1.0,0.0,0.0,1000.0
S-HCP,20,0.05,0.95,1.0,0.0,0.0,1000.0
Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
Std-CP,5,0.05,0.95,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.05,0.95,0.907,0.009184280047995052,0.290577761426155,1000.0
Std-CP,15,0.05,0.95,0.939,0.007568289106528638,0.239450070654273,1000.0
Std-CP,20,0.05,0.95,0.956,0.006485676526007139,0.2051977244174655,1000.0
Subsampling,0,0.05,0.95,1.0,0.0,0.0,1000.0
Subsampling,5,0.05,0.95,,,,0.0
Subsampling,10,0.05,0.95,,,,0.0
Subsampling,15,0.05,0.95,,,,0.0
Subsampling,20,0.05,0.95,,,,0.0
D-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
D-HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
D-HCP,10,0.075,0.925,0.986,0.0037153734670958734,0.11754921445002436,1000.0
D-HCP,15,0.075,0.925,0.954,0.006624499981130654,0.20958990416508122,1000.0
D-HCP,20,0.075,0.925,0.92,0.008579044235810886,0.27142894774447635,1000.0
HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
HCP,5,0.075,0.925,,,,0.0
HCP,10,0.075,0.925,,,,0.0
HCP,15,0.075,0.925,,,,0.0
HCP,20,0.075,0.925,,,,0.0
Pooled-Income-Quantile,0,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,5,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,10,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,15,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,20,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooling,0,0.075,0.925,0.902,0.009401914698613255,0.2974634170523906,1000.0
Pooling,5,0.075,0.925,,,,0.0
Pooling,10,0.075,0.925,,,,0.0
Pooling,15,0.075,0.925,,,,0.0
Pooling,20,0.075,0.925,,,,0.0
Repeated,0,0.075,0.925,1.0,0.0,0.0,1000.0
Repeated,5,0.075,0.925,,,,0.0
Repeated,10,0.075,0.925,,,,0.0
Repeated,15,0.075,0.925,,,,0.0
Repeated,20,0.075,0.925,,,,0.0
S-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,10,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,15,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,20,0.075,0.925,1.0,0.0,0.0,1000.0
Std-CP,0,0.075,0.925,1.0,0.0,0.0,1000.0
Std-CP,5,0.075,0.925,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.075,0.925,0.907,0.009184280047995052,0.290577761426155,1000.0
Std-CP,15,0.075,0.925,0.861,0.010939789760319894,0.3461196307619647,1000.0
Std-CP,20,0.075,0.925,0.907,0.009184280047995052,0.290577761426155,1000.0
Subsampling,0,0.075,0.925,1.0,0.0,0.0,1000.0
Subsampling,5,0.075,0.925,,,,0.0
Subsampling,10,0.075,0.925,,,,0.0
Subsampling,15,0.075,0.925,,,,0.0
Subsampling,20,0.075,0.925,,,,0.0
D-HCP,0,0.1,0.9,0.99,0.003146426544510456,0.0995485304256668,1000.0
D-HCP,5,0.1,0.9,0.967,0.005648982209212561,0.17872588772459053,1000.0
D-HCP,10,0.1,0.9,0.946,0.0071473071852271785,0.22613079209858866,1000.0
D-HCP,15,0.1,0.9,0.92,0.008579044235810886,0.27142894774447635,1000.0
D-HCP,20,0.1,0.9,0.889,0.00993373041711924,0.31428932176861785,1000.0
HCP,0,0.1,0.9,0.979,0.00453420334788814,0.14345584540052586,1000.0
HCP,5,0.1,0.9,,,,0.0
HCP,10,0.1,0.9,,,,0.0
HCP,15,0.1,0.9,,,,0.0
HCP,20,0.1,0.9,,,,0.0
Pooled-Income-Quantile,0,0.1,0.9,0.88,0.010276186062932104,0.3251241389157466,1000.0
Pooled-Income-Quantile,5,0.1,0.9,0.88,0.010276186062932104,0.3251241389157466,1000.0
Pooled-Income-Quantile,10,0.1,0.9,0.88,0.010276186062932104,0.3251241389157466,1000.0
Pooled-Income-Quantile,15,0.1,0.9,0.88,0.010276186062932104,0.3251241389157466,1000.0
Pooled-Income-Quantile,20,0.1,0.9,0.88,0.010276186062932104,0.3251241389157466,1000.0
Pooling,0,0.1,0.9,0.88,0.010276186062932104,0.3251241389157466,1000.0
Pooling,5,0.1,0.9,,,,0.0
Pooling,10,0.1,0.9,,,,0.0
Pooling,15,0.1,0.9,,,,0.0
Pooling,20,0.1,0.9,,,,0.0
Repeated,0,0.1,0.9,0.92,0.008579044235810886,0.27142894774447635,1000.0
Repeated,5,0.1,0.9,,,,0.0
Repeated,10,0.1,0.9,,,,0.0
Repeated,15,0.1,0.9,,,,0.0
Repeated,20,0.1,0.9,,,,0.0
S-HCP,0,0.1,0.9,0.902,0.009401914698613255,0.2974634170523906,1000.0
S-HCP,5,0.1,0.9,1.0,0.0,0.0,1000.0
S-HCP,10,0.1,0.9,1.0,0.0,0.0,1000.0
S-HCP,15,0.1,0.9,1.0,0.0,0.0,1000.0
S-HCP,20,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,5,0.1,0.9,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.1,0.9,0.907,0.009184280047995052,0.290577761426155,1000.0
Std-CP,15,0.1,0.9,0.861,0.010939789760319894,0.3461196307619647,1000.0
Std-CP,20,0.1,0.9,0.907,0.009184280047995052,0.290577761426155,1000.0
Subsampling,0,0.1,0.9,0.902,0.009401914698613255,0.2974634170523906,1000.0
Subsampling,5,0.1,0.9,,,,0.0
Subsampling,10,0.1,0.9,,,,0.0
Subsampling,15,0.1,0.9,,,,0.0
Subsampling,20,0.1,0.9,,,,0.0
D-HCP,0,0.125,0.875,0.959,0.006270486424512857,0.19838941090279585,1000.0
D-HCP,5,0.125,0.875,0.93,0.008068457101577721,0.25527468571161765,1000.0
D-HCP,10,0.125,0.875,0.912,0.008958571314668425,0.28343665312788385,1000.0
D-HCP,15,0.125,0.875,0.892,0.009815090422405694,0.3105357184486713,1000.0
D-HCP,20,0.125,0.875,0.866,0.010772372069326236,0.3408227694273963,1000.0
HCP,0,0.125,0.875,0.946,0.0071473071852271785,0.2261307920985887,1000.0
HCP,5,0.125,0.875,,,,0.0
HCP,10,0.125,0.875,,,,0.0
HCP,15,0.125,0.875,,,,0.0
HCP,20,0.125,0.875,,,,0.0
Pooled-Income-Quantile,0,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,5,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,10,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,15,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,20,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooling,0,0.125,0.875,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooling,5,0.125,0.875,,,,0.0
Pooling,10,0.125,0.875,,,,0.0
Pooling,15,0.125,0.875,,,,0.0
Pooling,20,0.125,0.875,,,,0.0
Repeated,0,0.125,0.875,0.917,0.008724161850859943,0.27602026589942125,1000.0
Repeated,5,0.125,0.875,,,,0.0
Repeated,10,0.125,0.875,,,,0.0
Repeated,15,0.125,0.875,,,,0.0
Repeated,20,0.125,0.875,,,,0.0
