alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.05,D-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,D-HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,D-HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,D-HCP,15,0.95,0.988,0.10893974420691409,0.003443254274665176,1000.0,669589.0967878494,388201.1957860086,14767.869472438262,592374.1348164778,367254.41938839154,885256.7350458426,102312.8521387708,2181624.6802251814,1000.0,691.0,309.0,0.691,0.309
0.05,D-HCP,20,0.95,0.951,0.21597603025716916,0.006826346021115546,1000.0,354315.39375506365,209685.65746598516,6630.842702624038,305251.2324430519,203403.22297361604,456549.4804879577,61904.766717927174,1640949.423939937,1000.0,1000.0,0.0,1.0,0.0
0.05,HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,HCP,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,HCP,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,HCP,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,HCP,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooled-Income-Quantile,0,0.95,0.926,0.2619018758859749,0.008277922444671728,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,5,0.95,0.926,0.2619018758859749,0.008277922444671728,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,10,0.95,0.926,0.2619018758859749,0.008277922444671728,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,15,0.95,0.926,0.2619018758859749,0.008277922444671728,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,20,0.95,0.926,0.2619018758859749,0.008277922444671728,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooling,0,0.95,0.931,0.2535809600567505,0.008014923580421711,1000.0,303047.1566443508,143400.472222878,4534.7210976800325,298746.12778893777,182646.69129256636,406720.8529046032,31037.95535436627,787699.328934337,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooling,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooling,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooling,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooling,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Repeated,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,S-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,S-HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,S-HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,S-HCP,15,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,S-HCP,20,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Std-CP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Std-CP,5,0.95,0.775,0.41779127509983927,0.013205112646244256,1000.0,206019.61600041582,199997.0661148094,6324.462542740801,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,10,0.95,0.907,0.290577761426155,0.009184280047995052,1000.0,321544.9190705471,289322.2373454033,9149.172477473025,221753.96208609408,135849.2318909185,455504.8198699523,21098.185555605072,1985870.828916534,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,15,0.95,0.939,0.239450070654273,0.007568289106528638,1000.0,399281.6352490529,353771.2417703507,11187.228946604067,274506.6740266282,156609.3815522043,551871.983943609,22519.361634632653,2284046.753664218,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,20,0.95,0.956,0.2051977244174655,0.006485676526007139,1000.0,444544.9627015302,366715.84207276994,11596.57315016556,300113.7322790817,188144.07612585012,572737.7147929987,35043.02723314635,2085537.4191441,1000.0,1000.0,0.0,1.0,0.0
0.05,Subsampling,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Subsampling,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Subsampling,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Subsampling,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Subsampling,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,D-HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,D-HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,D-HCP,10,0.925,0.986,0.11754921445002436,0.0037153734670958734,1000.0,654929.9492029402,375408.02407085156,12838.68352985854,583774.3955360032,369868.0953893334,865591.3318593177,99557.48859380573,2590223.140094505,1000.0,855.0,145.0,0.855,0.145
0.075,D-HCP,15,0.925,0.954,0.20958990416508122,0.006624499981130654,1000.0,349358.95326179307,185262.48949595596,5858.514318002406,319866.9132897327,206355.93311817112,450373.89080874523,65558.8598926415,1237093.5607778905,1000.0,1000.0,0.0,1.0,0.0
0.075,D-HCP,20,0.925,0.92,0.27142894774447635,0.008579044235810886,1000.0,256010.16259126065,130003.67279813478,4111.0771022938125,232507.41128355882,154956.01195386698,337503.98406148946,55800.93838438326,862338.692783395,1000.0,1000.0,0.0,1.0,0.0
0.075,HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,HCP,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,HCP,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,HCP,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,HCP,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooled-Income-Quantile,0,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,5,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,10,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,15,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,20,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooling,0,0.925,0.902,0.2974634170523906,0.009401914698613255,1000.0,249540.2342870646,118249.30375255305,3739.371315871634,244450.9002524153,152005.7185393344,336769.5563197858,23113.32679801838,647720.0682481619,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooling,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooling,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooling,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooling,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Repeated,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,S-HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,10,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,15,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,20,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Std-CP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Std-CP,5,0.925,0.775,0.41779127509983927,0.013205112646244256,1000.0,206019.61600041582,199997.0661148094,6324.462542740801,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
0.075,Std-CP,10,0.925,0.907,0.290577761426155,0.009184280047995052,1000.0,321544.9190705471,289322.2373454033,9149.172477473025,221753.96208609408,135849.2318909185,455504.8198699523,21098.185555605072,1985870.828916534,1000.0,1000.0,0.0,1.0,0.0
0.075,Std-CP,15,0.925,0.861,0.3461196307619647,0.010939789760319894,1000.0,243218.82068951154,180300.19432244336,5701.592766298803,180639.46166030972,119896.31321265988,301956.45073976746,21837.68833136584,1271773.7073021624,1000.0,1000.0,0.0,1.0,0.0
0.075,Std-CP,20,0.925,0.907,0.290577761426155,0.009184280047995052,1000.0,289892.2158307926,216029.51315721165,6831.453033941014,203766.77331818658,140355.7928954216,420152.8174142102,33672.08131466054,1320379.104293167,1000.0,1000.0,0.0,1.0,0.0
0.075,Subsampling,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Subsampling,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Subsampling,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Subsampling,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Subsampling,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,D-HCP,0,0.9,0.99,0.0995485304256668,0.003146426544510456,1000.0,538535.7404151673,269136.025482406,14385.925682760346,529497.8422633561,335484.14880239556,726275.5541872234,40821.58636076184,1431423.902881403,1000.0,350.0,650.0,0.35,0.65
0.1,D-HCP,5,0.9,0.967,0.17872588772459053,0.005648982209212561,1000.0,430712.1769628351,227423.0247235316,7191.74750491145,389555.631330066,260808.99941723963,556692.424187801,48802.54533064045,1430575.4623438092,1000.0,1000.0,0.0,1.0,0.0
0.1,D-HCP,10,0.9,0.946,0.22613079209858866,0.0071473071852271785,1000.0,324985.52871155285,169540.48466792423,5361.3408715949645,298057.89218787523,196792.59033763842,410634.48880036804,57125.81796672642,1485098.6857490018,1000.0,1000.0,0.0,1.0,0.0
0.1,D-HCP,15,0.9,0.92,0.27142894774447635,0.008579044235810886,1000.0,254149.8363211549,126241.3706260786,3992.10266119885,233887.94135152345,157223.28222712118,331044.51182319585,48273.94367314291,762491.5189104314,1000.0,1000.0,0.0,1.0,0.0
0.1,D-HCP,20,0.9,0.889,0.31428932176861785,0.00993373041711924,1000.0,213601.83730069024,102538.54452175458,3242.5534864732526,200400.88047613658,134033.44002077467,277958.5278180082,48714.42221101231,639535.157454952,1000.0,1000.0,0.0,1.0,0.0
0.1,HCP,0,0.9,0.979,0.14345584540052586,0.00453420334788814,1000.0,505720.1260889543,249674.55758339513,7895.402757583941,491994.76881921856,307261.34692996705,680601.0478263635,40873.20562686245,1470645.2537001092,1000.0,1000.0,0.0,1.0,0.0
0.1,HCP,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooled-Income-Quantile,0,0.9,0.88,0.3251241389157466,0.010276186062932104,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,5,0.9,0.88,0.3251241389157466,0.010276186062932104,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,10,0.9,0.88,0.3251241389157466,0.010276186062932104,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,15,0.9,0.88,0.3251241389157466,0.010276186062932104,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,20,0.9,0.88,0.3251241389157466,0.010276186062932104,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooling,0,0.9,0.88,0.3251241389157466,0.010276186062932104,1000.0,217348.88173850643,102218.36733893947,3232.428594948134,214466.83621458983,132919.90812056078,293292.72955199704,21476.640282685912,560661.3259771112,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooling,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,0,0.9,0.92,0.27142894774447635,0.008579044235810886,1000.0,275852.57575191295,131313.77615910137,4152.506208202774,270556.62080792966,169705.2702569743,368664.4191319803,25051.55523576164,740937.002773862,1000.0,1000.0,0.0,1.0,0.0
0.1,Repeated,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,S-HCP,0,0.9,0.902,0.2974634170523906,0.009401914698613255,1000.0,292304.1141668816,214934.62529116948,6796.829639549268,235530.0948143531,144770.5286905618,387889.0780196377,19246.43948893013,1743406.1923262067,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,5,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,S-HCP,10,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,S-HCP,15,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,S-HCP,20,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,Std-CP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,Std-CP,5,0.9,0.775,0.41779127509983927,0.013205112646244256,1000.0,206019.61600041582,199997.0661148094,6324.462542740801,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,10,0.9,0.907,0.290577761426155,0.009184280047995052,1000.0,321544.9190705471,289322.2373454033,9149.172477473025,221753.96208609408,135849.2318909185,455504.8198699523,21098.185555605072,1985870.828916534,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,15,0.9,0.861,0.3461196307619647,0.010939789760319894,1000.0,243218.82068951154,180300.19432244336,5701.592766298803,180639.46166030972,119896.31321265988,301956.45073976746,21837.68833136584,1271773.7073021624,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,20,0.9,0.907,0.290577761426155,0.009184280047995052,1000.0,289892.2158307926,216029.51315721165,6831.453033941014,203766.77331818658,140355.7928954216,420152.8174142102,33672.08131466054,1320379.104293167,1000.0,1000.0,0.0,1.0,0.0
0.1,Subsampling,0,0.9,0.902,0.2974634170523906,0.009401914698613255,1000.0,291584.03924579103,208199.0663608439,6583.832564208105,237801.3235340765,142664.78612932417,392229.7305034406,10850.885123698596,1691316.8765753512,1000.0,1000.0,0.0,1.0,0.0
0.1,Subsampling,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,D-HCP,0,0.875,0.959,0.19838941090279585,0.006270486424512857,1000.0,368717.75712252466,177235.5103358391,5604.678949235658,369681.13855965715,223475.00254948478,487558.51455115905,30903.394207031393,985438.199089216,1000.0,1000.0,0.0,1.0,0.0
0.125,D-HCP,5,0.875,0.93,0.25527468571161765,0.008068457101577721,1000.0,283599.3506287323,137231.557477592,4339.642884815021,265533.120791699,176727.2314566013,370857.11702279304,39437.1808402525,1128221.1517457422,1000.0,1000.0,0.0,1.0,0.0
