dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,D-HCP,0,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
poissonNmean21,D-HCP,0,0.225,0.775,0.84,0.011593101396951551,0.366789496216201,1000.0
poissonNmean21,D-HCP,0,0.2,0.8,0.864,0.010839926199010766,0.3429600875052688,1000.0
poissonNmean21,D-HCP,0,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,D-HCP,0,0.15,0.85,0.913,0.008912407082264588,0.2819760814510879,1000.0
poissonNmean21,D-HCP,0,0.125,0.875,0.943,0.007331507348424336,0.23195862735583866,1000.0
poissonNmean21,D-HCP,0,0.1,0.9,0.987,0.0035820385257559714,0.11333068359382573,1000.0
poissonNmean21,D-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,5,0.25,0.75,0.802,0.012601428490452976,0.3986915536538929,1000.0
poissonNmean21,D-HCP,5,0.225,0.775,0.829,0.011906258858264422,0.3766973598273564,1000.0
poissonNmean21,D-HCP,5,0.2,0.8,0.85,0.011291589790636216,0.3572500911513216,1000.0
poissonNmean21,D-HCP,5,0.175,0.825,0.876,0.010422283818818216,0.3297464673544399,1000.0
poissonNmean21,D-HCP,5,0.15,0.85,0.899,0.009528850927577784,0.3014795016081357,1000.0
poissonNmean21,D-HCP,5,0.125,0.875,0.933,0.007906389820898028,0.2501471038680511,1000.0
poissonNmean21,D-HCP,5,0.1,0.9,0.968,0.005565608681896351,0.17608806605504818,1000.0
poissonNmean21,D-HCP,5,0.075,0.925,0.996,0.0019959959919799443,0.06315051850925683,1000.0
poissonNmean21,D-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,10,0.25,0.75,0.78,0.01309961831505025,0.4144535821678609,1000.0
poissonNmean21,D-HCP,10,0.225,0.775,0.802,0.012601428490452976,0.3986915536538929,1000.0
poissonNmean21,D-HCP,10,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
poissonNmean21,D-HCP,10,0.175,0.825,0.857,0.011070275515993268,0.3502480173729377,1000.0
poissonNmean21,D-HCP,10,0.15,0.85,0.881,0.010239091756596383,0.32395052700056526,1000.0
poissonNmean21,D-HCP,10,0.125,0.875,0.904,0.009315793041926167,0.2947386484173239,1000.0
poissonNmean21,D-HCP,10,0.1,0.9,0.939,0.007568289106528638,0.239450070654273,1000.0
poissonNmean21,D-HCP,10,0.075,0.925,0.968,0.005565608681896351,0.17608806605504818,1000.0
poissonNmean21,D-HCP,10,0.05,0.95,0.997,0.0017294507798720387,0.054717401199198004,1000.0
poissonNmean21,D-HCP,15,0.25,0.75,0.749,0.013711272734505722,0.4338054715966445,1000.0
poissonNmean21,D-HCP,15,0.225,0.775,0.774,0.013225883713385657,0.41844844258175834,1000.0
poissonNmean21,D-HCP,15,0.2,0.8,0.803,0.012577400367325513,0.3979313374809144,1000.0
poissonNmean21,D-HCP,15,0.175,0.825,0.846,0.011414201680362933,0.36112935966826953,1000.0
poissonNmean21,D-HCP,15,0.15,0.85,0.87,0.010634848376916336,0.33647171235218754,1000.0
poissonNmean21,D-HCP,15,0.125,0.875,0.897,0.009612023720320294,0.30411097231682305,1000.0
poissonNmean21,D-HCP,15,0.1,0.9,0.922,0.008480330182251158,0.26830577330349786,1000.0
poissonNmean21,D-HCP,15,0.075,0.925,0.948,0.007021111023192843,0.22213812222431648,1000.0
poissonNmean21,D-HCP,15,0.05,0.95,0.976,0.004839834707921338,0.15312559370479986,1000.0
poissonNmean21,D-HCP,20,0.25,0.75,0.769,0.01332812815064441,0.4216833134199369,1000.0
poissonNmean21,D-HCP,20,0.225,0.775,0.794,0.0127892142057282,0.4046328307586122,1000.0
poissonNmean21,D-HCP,20,0.2,0.8,0.826,0.011988494484296184,0.37929917989348183,1000.0
poissonNmean21,D-HCP,20,0.175,0.825,0.855,0.011134406135937382,0.3522770203960217,1000.0
poissonNmean21,D-HCP,20,0.15,0.85,0.883,0.010164201887015036,0.3215811163834319,1000.0
poissonNmean21,D-HCP,20,0.125,0.875,0.897,0.009612023720320294,0.30411097231682305,1000.0
poissonNmean21,D-HCP,20,0.1,0.9,0.927,0.008226238508577293,0.2602666685127751,1000.0
poissonNmean21,D-HCP,20,0.075,0.925,0.955,0.00655553201502365,0.2074078542823729,1000.0
poissonNmean21,D-HCP,20,0.05,0.95,0.974,0.005032295698784007,0.15921478998305827,1000.0
poissonNmean21,D-HCP,25,0.25,0.75,0.788,0.012925014506761683,0.4089293621436632,1000.0
poissonNmean21,D-HCP,25,0.225,0.775,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,D-HCP,25,0.2,0.8,0.855,0.011134406135937382,0.35227702039602166,1000.0
poissonNmean21,D-HCP,25,0.175,0.825,0.875,0.010458250331675944,0.33088439746304826,1000.0
poissonNmean21,D-HCP,25,0.15,0.85,0.897,0.009612023720320294,0.30411097231682305,1000.0
poissonNmean21,D-HCP,25,0.125,0.875,0.924,0.008379976133617564,0.2651307117146075,1000.0
poissonNmean21,D-HCP,25,0.1,0.9,0.945,0.007209368904418752,0.22809433799861636,1000.0
poissonNmean21,D-HCP,25,0.075,0.925,0.958,0.006343185319695463,0.20068950215762726,1000.0
poissonNmean21,D-HCP,25,0.05,0.95,0.982,0.004204283529925166,0.13301764429463367,1000.0
poissonNmean21,D-HCP,30,0.25,0.75,0.781,0.013078187947877183,0.41377555535605315,1000.0
poissonNmean21,D-HCP,30,0.225,0.775,0.831,0.011850696182081458,0.3749394345485409,1000.0
poissonNmean21,D-HCP,30,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
poissonNmean21,D-HCP,30,0.175,0.825,0.878,0.010349685985574635,0.32744957355785825,1000.0
poissonNmean21,D-HCP,30,0.15,0.85,0.887,0.010011543337567888,0.31675121362250747,1000.0
poissonNmean21,D-HCP,30,0.125,0.875,0.888,0.00997276290703835,0.3155242550986462,1000.0
poissonNmean21,D-HCP,30,0.1,0.9,0.942,0.007391616873188169,0.23386040855752113,1000.0
poissonNmean21,D-HCP,30,0.075,0.925,0.943,0.007331507348424336,0.23195862735583866,1000.0
poissonNmean21,D-HCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP no within,0,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
poissonNmean21,D-HCP no within,0,0.225,0.775,0.84,0.011593101396951551,0.366789496216201,1000.0
poissonNmean21,D-HCP no within,0,0.2,0.8,0.864,0.010839926199010766,0.3429600875052688,1000.0
poissonNmean21,D-HCP no within,0,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,D-HCP no within,0,0.15,0.85,0.913,0.008912407082264588,0.2819760814510879,1000.0
poissonNmean21,D-HCP no within,0,0.125,0.875,0.943,0.007331507348424336,0.23195862735583866,1000.0
poissonNmean21,D-HCP no within,0,0.1,0.9,0.987,0.0035820385257559714,0.11333068359382573,1000.0
poissonNmean21,D-HCP no within,0,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP no within,5,0.25,0.75,0.793,0.012812142677944232,0.4053582555164201,1000.0
poissonNmean21,D-HCP no within,5,0.225,0.775,0.823,0.012069424178476786,0.38185968210432586,1000.0
poissonNmean21,D-HCP no within,5,0.2,0.8,0.846,0.011414201680362933,0.36112935966826953,1000.0
poissonNmean21,D-HCP no within,5,0.175,0.825,0.87,0.010634848376916336,0.33647171235218754,1000.0
poissonNmean21,D-HCP no within,5,0.15,0.85,0.897,0.009612023720320294,0.304110972316823,1000.0
poissonNmean21,D-HCP no within,5,0.125,0.875,0.916,0.008771772910877251,0.2775266131761439,1000.0
poissonNmean21,D-HCP no within,5,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
poissonNmean21,D-HCP no within,5,0.075,0.925,0.985,0.0038438262187565153,0.12161327966052801,1000.0
poissonNmean21,D-HCP no within,5,0.05,0.95,0.999,0.0009994998749374613,0.0316227766016838,1000.0
poissonNmean21,D-HCP no within,10,0.25,0.75,0.77,0.013307892395116514,0.42104308244795724,1000.0
poissonNmean21,D-HCP no within,10,0.225,0.775,0.8,0.012649110640673518,0.4002001501251095,1000.0
poissonNmean21,D-HCP no within,10,0.2,0.8,0.825,0.012015614840697917,0.3801572299976939,1000.0
poissonNmean21,D-HCP no within,10,0.175,0.825,0.847,0.011383804285035824,0.3601676286407771,1000.0
poissonNmean21,D-HCP no within,10,0.15,0.85,0.875,0.010458250331675944,0.33088439746304826,1000.0
poissonNmean21,D-HCP no within,10,0.125,0.875,0.899,0.009528850927577784,0.3014795016081357,1000.0
poissonNmean21,D-HCP no within,10,0.1,0.9,0.925,0.00832916562447884,0.26352313834736496,1000.0
poissonNmean21,D-HCP no within,10,0.075,0.925,0.957,0.006414904519944161,0.20295859723646148,1000.0
poissonNmean21,D-HCP no within,10,0.05,0.95,0.984,0.00396787096564392,0.12553788177183717,1000.0
poissonNmean21,D-HCP no within,15,0.25,0.75,0.77,0.013307892395116514,0.42104308244795724,1000.0
poissonNmean21,D-HCP no within,15,0.225,0.775,0.791,0.012857643641040918,0.40679784228100874,1000.0
poissonNmean21,D-HCP no within,15,0.2,0.8,0.812,0.01235540367612487,0.3909076729981247,1000.0
poissonNmean21,D-HCP no within,15,0.175,0.825,0.839,0.011622349160131098,0.3677148544921924,1000.0
poissonNmean21,D-HCP no within,15,0.15,0.85,0.859,0.011005407761641547,0.34819569244928955,1000.0
poissonNmean21,D-HCP no within,15,0.125,0.875,0.88,0.010276186062932104,0.3251241389157466,1000.0
poissonNmean21,D-HCP no within,15,0.1,0.9,0.906,0.009228434320078352,0.29197474077263813,1000.0
poissonNmean21,D-HCP no within,15,0.075,0.925,0.941,0.007451107300260817,0.2357426023750789,1000.0
