dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
poissonNmean21,0.05,D-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean21,0.05,D-HCP,5,0.95,1.0,0.0,0.0,1000.0,8.636495729465658,,,8.636495729465658,8.636495729465658,8.636495729465658,8.636495729465658,8.636495729465658,1000.0,1.0,999.0,0.001,0.999
poissonNmean21,0.05,D-HCP,10,0.95,0.997,0.054717401199198004,0.0017294507798720387,1000.0,8.668469307029934,1.5509820716975902,0.10994620399313129,8.4758718055166,7.540913900900271,9.538027512260083,5.77056558065102,15.660095956121625,1000.0,199.0,801.0,0.199,0.801
poissonNmean21,0.05,D-HCP,15,0.95,0.976,0.15312559370479986,0.004839834707921338,1000.0,7.544524771702139,1.3413457071707622,0.04284771689373359,7.343064254167347,6.586280406788894,8.261245587534226,5.005919224717349,14.688705871220556,1000.0,980.0,20.0,0.98,0.02
poissonNmean21,0.05,D-HCP,20,0.95,0.974,0.15921478998305827,0.005032295698784007,1000.0,6.96539350183804,1.1603659474253836,0.03846575659867021,6.80487444214004,6.152918698273255,7.595720598842487,4.627379123458901,12.500225592854326,1000.0,910.0,90.0,0.91,0.09
poissonNmean21,0.05,D-HCP,25,0.95,0.982,0.13301764429463367,0.004204283529925166,1000.0,6.801233176757118,1.357409677507262,0.0634969465071656,6.632745859141586,5.8932059474756215,7.656265967351601,3.801623343966975,11.830170436155086,1000.0,457.0,543.0,0.457,0.543
poissonNmean21,0.05,D-HCP,30,0.95,1.0,0.0,0.0,1000.0,6.992021137580017,1.4358326259331748,0.31332436636314226,7.075552208519554,5.74637133371921,7.97057479959431,4.975344990656746,9.51509566621693,1000.0,21.0,979.0,0.021,0.979
poissonNmean21,0.05,D-HCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
poissonNmean21,0.05,D-HCP no within,5,0.95,0.999,0.0316227766016838,0.0009994998749374613,1000.0,14.161061141571427,2.9017152874288867,0.7254288218572217,13.728413911475077,12.546949495907203,15.746961723186416,10.153489967004957,20.89853315575295,1000.0,16.0,984.0,0.016,0.984
poissonNmean21,0.05,D-HCP no within,10,0.95,0.984,0.12553788177183717,0.00396787096564392,1000.0,11.914550510120254,3.020284194200796,0.1016406557048744,11.348291769685224,9.840408596317115,13.466873383233828,5.795221387139339,33.54020622828831,1000.0,883.0,117.0,0.883,0.117
poissonNmean21,0.05,D-HCP no within,15,0.95,0.963,0.18885620632287056,0.005969170796685251,1000.0,10.216998317009542,2.615983702892461,0.08272466823021385,9.728352739436007,8.445600796285573,11.33425660808576,5.720376646929573,30.807383610793693,1000.0,1000.0,0.0,1.0,0.0
