method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n,alpha,nominal_coverage,coverage_se_plot,source
Donor-HCP,0,0.87,0.3364717123521875,0.0106348483769163,204607.7302248958,205324.1767750852,96521.2682059146,1000,0.2,0.8,0.0106348483769163,permuted_rows
Donor-HCP,5,0.843,0.3639828065767441,0.0115043904662524,167477.27647122153,178093.20842590788,82796.29247627778,1000,0.2,0.8,0.0115043904662524,permuted_rows
Donor-HCP,10,0.845,0.3620857717531939,0.0114444309600783,157524.33508436274,166048.47139582044,76785.34946708137,1000,0.2,0.8,0.0114444309600783,permuted_rows
Donor-HCP,15,0.836,0.3704608498090469,0.0117091417277271,148387.32483212603,157963.71796280454,72788.91835685805,1000,0.2,0.8,0.0117091417277271,permuted_rows
Donor-HCP,20,0.805,0.3963989557656934,0.0125289664378192,139418.32936739753,147869.54600468808,67633.23582920062,1000,0.2,0.8,0.0125289664378192,permuted_rows
HCP,0,0.86,0.3471606552023436,0.0109726933794761,198489.9545587793,198944.8171351048,93180.11729964394,1000,0.2,0.8,0.0109726933794761,permuted_rows
Pooled-Income-Quantile,0,0.768,0.4223202035829619,0.013348258313353,132000.0,132000.0,0.0,1000,0.2,0.8,0.013348258313353,permuted_rows
Pooled-Income-Quantile,5,0.768,0.4223202035829619,0.013348258313353,132000.0,132000.0,0.0,1000,0.2,0.8,0.013348258313353,permuted_rows
Pooled-Income-Quantile,10,0.768,0.4223202035829619,0.013348258313353,132000.0,132000.0,0.0,1000,0.2,0.8,0.013348258313353,permuted_rows
Pooled-Income-Quantile,15,0.768,0.4223202035829619,0.013348258313353,132000.0,132000.0,0.0,1000,0.2,0.8,0.013348258313353,permuted_rows
Pooled-Income-Quantile,20,0.768,0.4223202035829619,0.013348258313353,132000.0,132000.0,0.0,1000,0.2,0.8,0.013348258313353,permuted_rows
Pooling,0,0.788,0.4089293621436632,0.0129250145067616,142781.09476477577,144192.91402340416,66488.39475055008,1000,0.2,0.8,0.0129250145067616,permuted_rows
Repeated,0,0.832,0.3740533597174551,0.0118226900492231,170229.47024406836,173126.3791768485,81087.55629377592,1000,0.2,0.8,0.0118226900492231,permuted_rows
S-HCP,0,0.812,0.3909076729981247,0.0123554036761248,158495.31919381546,183982.9844885726,125036.56648070796,1000,0.2,0.8,0.0123554036761248,permuted_rows
S-HCP,5,1.0,0.0,0.0,,,,1000,0.2,0.8,0.0,permuted_rows
S-HCP,10,1.0,0.0,0.0,,,,1000,0.2,0.8,0.0,permuted_rows
S-HCP,15,1.0,0.0,0.0,,,,1000,0.2,0.8,0.0,permuted_rows
S-HCP,20,1.0,0.0,0.0,,,,1000,0.2,0.8,0.0,permuted_rows
Std-CP,0,1.0,0.0,0.0,,,,1000,0.2,0.8,0.0,permuted_rows
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.2,0.8,0.0132051126462442,permuted_rows
Std-CP,10,0.791,0.4067978422810087,0.0128576436410409,145677.50178585213,186373.4665312916,139453.72218214226,1000,0.2,0.8,0.0128576436410409,permuted_rows
Std-CP,15,0.802,0.3986915536538929,0.0126014284904529,144517.88678443074,179260.48622427863,128315.47886392105,1000,0.2,0.8,0.0126014284904529,permuted_rows
Std-CP,20,0.808,0.3940701603665156,0.0124553602918582,141163.27021753252,177331.36977883065,127817.47682495418,1000,0.2,0.8,0.0124553602918582,permuted_rows
Subsampling,0,0.81,0.3924972026066606,0.0124056438768811,153256.91046661077,179874.7799409997,117112.97200944248,1000,0.2,0.8,0.0124056438768811,permuted_rows
