alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std
0.1,0.0,Donor-HCP-derandomized,1.0,0.0,inf,inf,
0.1,0.0,Donor-HCP-within,0.982,0.13301764429463364,inf,14.875538776271355,
0.1,0.0,HCP,0.982,0.13301764429463364,inf,14.875538776271355,
0.1,0.0,Pooling,0.885,0.31918157352340526,7.962382728056708,7.521181655871464,2.22909018814916
0.1,0.0,Repeated,0.962,0.19129190414806516,inf,15.032821293128151,
0.1,0.0,S-HCP-derandomized,1.0,0.0,inf,inf,
0.1,0.0,S-HCP-within,0.914,0.2805043362992499,9.433130540397592,8.922142826308813,3.1292556768369737
0.1,0.0,Std-CP,1.0,0.0,inf,inf,
0.1,0.0,Subsampling,0.955,0.20740785428237313,inf,15.910595833286981,
0.1,5.0,Donor-HCP-derandomized,1.0,0.0,inf,inf,
0.1,5.0,Donor-HCP-within,0.96,0.1960572325583487,10.501340972251514,9.972166716002588,2.6618091298085274
0.1,5.0,HCP,0.982,0.13301764429463364,inf,14.875538776271355,
0.1,5.0,Pooling,0.885,0.31918157352340526,7.962382728056708,7.521181655871464,2.22909018814916
0.1,5.0,Repeated,0.962,0.19129190414806516,inf,15.032821293128151,
0.1,5.0,S-HCP-derandomized,0.961,0.19369180807797856,10.14258172527736,9.634916538272245,2.576172295779133
0.1,5.0,S-HCP-within,0.909,0.2877530222287888,8.53557599601384,8.08473611786874,2.402495540127974
0.1,5.0,Std-CP,0.739,0.43939967236227184,6.118232539705785,4.92368614973104,4.749650557597739
0.1,5.0,Subsampling,0.955,0.20740785428237313,inf,15.910595833286981,
0.1,10.0,Donor-HCP-derandomized,0.984,0.12553788177183714,inf,11.892188836762653,
0.1,10.0,Donor-HCP-within,0.937,0.24308453280719056,9.508789673203706,9.040970319108183,2.445729126637791
0.1,10.0,HCP,0.982,0.13301764429463364,inf,14.875538776271355,
0.1,10.0,Pooling,0.885,0.31918157352340526,7.962382728056708,7.521181655871464,2.22909018814916
0.1,10.0,Repeated,0.962,0.19129190414806516,inf,15.032821293128151,
0.1,10.0,S-HCP-derandomized,0.951,0.215976030257169,9.85499890696799,9.28633543902983,2.618886994461182
0.1,10.0,S-HCP-within,0.911,0.28488622318420403,8.466428579005514,7.92872573253239,2.416701391576784
0.1,10.0,Std-CP,0.845,0.3620857717531941,45.68731050113543,12.208412485220801,283.19884595082397
0.1,10.0,Subsampling,0.955,0.20740785428237313,inf,15.910595833286981,
0.1,15.0,Donor-HCP-derandomized,0.961,0.19369180807797853,10.820482211101675,10.193633030187614,3.0376104433288607
0.1,15.0,Donor-HCP-within,0.916,0.27752661317614385,8.66126312755188,8.298190323470141,2.049558442951705
0.1,15.0,HCP,0.982,0.13301764429463364,inf,14.875538776271355,
0.1,15.0,Pooling,0.885,0.31918157352340526,7.962382728056708,7.521181655871464,2.22909018814916
0.1,15.0,Repeated,0.962,0.19129190414806516,inf,15.032821293128151,
0.1,15.0,S-HCP-derandomized,0.946,0.22613079209858866,9.772141899613342,9.325388123673953,2.662967266915923
0.1,15.0,S-HCP-within,0.908,0.2891705718423289,8.471204036355862,8.022339415667243,2.4294998949234206
0.1,15.0,Std-CP,0.888,0.31552425509864634,8.961252230334223,7.361705711370822,6.254406870166486
0.1,15.0,Subsampling,0.955,0.20740785428237313,inf,15.910595833286981,
0.1,20.0,Donor-HCP-derandomized,0.951,0.21597603025716908,inf,9.621420200577315,
0.1,20.0,Donor-HCP-within,0.907,0.290577761426155,inf,7.946689378320464,
0.1,20.0,HCP,0.982,0.13301764429463364,inf,14.875538776271355,
0.1,20.0,Pooling,0.885,0.31918157352340526,7.962382728056708,7.521181655871464,2.22909018814916
0.1,20.0,Repeated,0.962,0.19129190414806516,inf,15.032821293128151,
0.1,20.0,S-HCP-derandomized,0.944,0.23003677296666486,9.809598247244713,9.115475510937483,2.9196313163414858
0.1,20.0,S-HCP-within,0.889,0.31428932176861785,8.340107382081856,7.7425137607375545,2.6241646743942075
0.1,20.0,Std-CP,0.91,0.28632495871296626,6.9721323508143636,6.4580973096162175,2.925736874105913
0.1,20.0,Subsampling,0.955,0.20740785428237313,inf,15.910595833286981,
