tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std
5.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,
5.0,0.05,0,Donor-HCP-within,1.0,0.0,,,
5.0,0.05,0,HCP,1.0,0.0,,,
5.0,0.05,0,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,0,Repeated,1.0,0.0,,,
5.0,0.05,0,S-HCP-within,1.0,0.0,,,
5.0,0.05,0,Std-CP,1.0,0.0,,,
5.0,0.05,0,Subsampling,1.0,0.0,,,
5.0,0.05,5,Donor-HCP-no-within,1.0,0.0,,,
5.0,0.05,5,Donor-HCP-within,1.0,0.0,,,
5.0,0.05,5,HCP,1.0,0.0,,,
5.0,0.05,5,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,5,Repeated,1.0,0.0,,,
5.0,0.05,5,S-HCP-within,0.9604,0.19503704235241584,31.517651635738567,29.076377949273986,10.576900645285416
5.0,0.05,5,Std-CP,0.7628,0.425408456040655,6.189973106257634,5.049533437709755,4.743653900368571
5.0,0.05,5,Subsampling,1.0,0.0,,,
5.0,0.05,10,Donor-HCP-no-within,0.993,0.08338099590491602,37.5711398985563,34.50147789331912,12.084259416929756
5.0,0.05,10,Donor-HCP-within,1.0,0.0,,,
5.0,0.05,10,HCP,1.0,0.0,,,
5.0,0.05,10,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,10,Repeated,1.0,0.0,,,
5.0,0.05,10,S-HCP-within,0.9602,0.19550857966069962,31.315419226539042,28.876579253848973,10.487928809471935
5.0,0.05,10,Std-CP,0.8402,0.3664571164046793,111.8001930453512,11.944977207143701,2377.059567191306
5.0,0.05,10,Subsampling,1.0,0.0,,,
5.0,0.05,15,Donor-HCP-no-within,0.9684,0.17495016865468407,33.5104972040704,30.59391893845561,11.85545167287886
5.0,0.05,15,Donor-HCP-within,0.9824,0.1315055084007815,24.007060348126608,22.696348087205756,7.278758726765815
5.0,0.05,15,HCP,1.0,0.0,,,
5.0,0.05,15,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,15,Repeated,1.0,0.0,,,
5.0,0.05,15,S-HCP-within,0.9652,0.18329124129599655,31.511811938043376,28.93978454356496,10.498701330478022
5.0,0.05,15,Std-CP,0.8894,0.3136675269508985,9.119620108037571,7.559900560455587,6.704782301955845
5.0,0.05,15,Subsampling,1.0,0.0,,,
5.0,0.05,20,Donor-HCP-no-within,0.9444,0.22917055619945112,31.755349118215598,28.716094837750433,11.836588624153949
5.0,0.05,20,Donor-HCP-within,0.9494,0.21920139107672176,17.444719655265946,16.22169646136407,5.724462272888144
5.0,0.05,20,HCP,1.0,0.0,,,
5.0,0.05,20,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,20,Repeated,1.0,0.0,,,
5.0,0.05,20,S-HCP-within,0.957,0.2028773813079449,30.843494218960554,28.47538059803957,10.39255040188334
5.0,0.05,20,Std-CP,0.9126,0.28244857131712936,6.90480414043388,6.368615435063189,2.91925568315258
5.0,0.05,20,Subsampling,1.0,0.0,,,
5.0,0.05,25,Donor-HCP-no-within,0.9624,0.19024583752539556,16.345218589949468,14.909004931916158,7.847205521269518
5.0,0.05,25,Donor-HCP-within,1.0,0.0,,,
5.0,0.05,25,HCP,1.0,0.0,,,
5.0,0.05,25,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,25,Repeated,1.0,0.0,,,
5.0,0.05,25,S-HCP-within,1.0,0.0,,,
5.0,0.05,25,Std-CP,0.9344,0.24760634438631846,6.771804872210265,6.375209022983807,2.4990045514873587
5.0,0.05,25,Subsampling,1.0,0.0,,,
5.0,0.05,30,Donor-HCP-no-within,0.9672,0.17813058721404387,16.59283057936017,15.146523024137615,7.8454114661362455
5.0,0.05,30,Donor-HCP-within,1.0,0.0,,,
5.0,0.05,30,HCP,1.0,0.0,,,
5.0,0.05,30,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,30,Repeated,1.0,0.0,,,
5.0,0.05,30,S-HCP-within,1.0,0.0,,,
5.0,0.05,30,Std-CP,0.9418,0.2341446662748248,6.477355191378299,6.198367884582163,2.108215017924096
5.0,0.05,30,Subsampling,1.0,0.0,,,
5.0,0.05,35,Donor-HCP-no-within,0.9704,0.1694980410423183,16.791462221628976,15.350701665857851,7.835992994000911
5.0,0.05,35,Donor-HCP-within,1.0,0.0,,,
5.0,0.05,35,HCP,1.0,0.0,,,
5.0,0.05,35,Pooling,0.9072,0.2901809797354059,31.606752203247215,28.426192495762606,12.785204364691673
5.0,0.05,35,Repeated,1.0,0.0,,,
5.0,0.05,35,S-HCP-within,1.0,0.0,,,
5.0,0.05,35,Std-CP,0.9494,0.21920139107672193,6.508334492093624,6.268035713919476,2.040287267123391
5.0,0.05,35,Subsampling,1.0,0.0,,,
