alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std
0.1,0.0,Donor-HCP-derandomized,1.0,0.0,inf,inf,
0.1,0.0,Donor-HCP-within,0.968,0.17608806605504815,11.783754500611037,11.336373403073738,2.7370280713247093
0.1,0.0,HCP,0.968,0.17608806605504815,11.783754500611037,11.336373403073738,2.7370280713247093
0.1,0.0,Pooling,0.883,0.32158111638343195,8.189662664053618,7.767338100593308,2.2248638473617355
0.1,0.0,Repeated,0.915,0.2790212408632232,9.372622596748817,8.917155726996135,2.487209437551125
0.1,0.0,S-HCP-derandomized,1.0,0.0,inf,inf,
0.1,0.0,S-HCP-within,0.898,0.30279974849343516,9.253855718584575,8.827042128217458,3.113442027903202
0.1,0.0,Std-CP,1.0,0.0,inf,inf,
0.1,0.0,Subsampling,0.898,0.30279974849343544,9.423376604659326,9.061172066066192,3.074398113927526
0.1,5.0,Donor-HCP-derandomized,1.0,0.0,inf,inf,
0.1,5.0,Donor-HCP-within,0.953,0.21174474216810169,10.856986337943075,10.313789024397032,2.644931631649957
0.1,5.0,HCP,0.968,0.17608806605504815,11.783754500611037,11.336373403073738,2.7370280713247093
0.1,5.0,Pooling,0.883,0.32158111638343195,8.189662664053618,7.767338100593308,2.2248638473617355
0.1,5.0,Repeated,0.915,0.2790212408632232,9.372622596748817,8.917155726996135,2.487209437551125
0.1,5.0,S-HCP-derandomized,0.964,0.18638331132035058,10.03916068869038,9.490518247622964,2.5793596525707123
0.1,5.0,S-HCP-within,0.901,0.29881145943268,8.55719000310113,8.08735517130167,2.509597966684604
0.1,5.0,Std-CP,0.742,0.43775292989039793,6.017196525193624,4.985395767998638,4.515282124544589
0.1,5.0,Subsampling,0.898,0.30279974849343544,9.423376604659326,9.061172066066192,3.074398113927526
0.1,10.0,Donor-HCP-derandomized,0.992,0.08912880535463233,14.2254251249764,13.559198178661969,3.5104087143464198
0.1,10.0,Donor-HCP-within,0.938,0.24127621974453708,10.001907727746215,9.54767382973877,2.5315773916788316
0.1,10.0,HCP,0.968,0.17608806605504815,11.783754500611037,11.336373403073738,2.7370280713247093
0.1,10.0,Pooling,0.883,0.32158111638343195,8.189662664053618,7.767338100593308,2.2248638473617355
0.1,10.0,Repeated,0.915,0.2790212408632232,9.372622596748817,8.917155726996135,2.487209437551125
0.1,10.0,S-HCP-derandomized,0.96,0.19605723255834862,9.852251981332747,9.255155519129856,2.5626062741221913
0.1,10.0,S-HCP-within,0.898,0.30279974849343533,8.462509005523694,8.001446477662288,2.370239145889596
0.1,10.0,Std-CP,0.82,0.38437969216355294,67.61832499658831,12.153008423998433,683.135480019971
0.1,10.0,Subsampling,0.898,0.30279974849343544,9.423376604659326,9.061172066066192,3.074398113927526
0.1,15.0,Donor-HCP-derandomized,0.967,0.1787258877245905,11.166437801004234,10.478910981931914,3.0794244285161003
0.1,15.0,Donor-HCP-within,0.921,0.2698737331268678,9.115119481323518,8.676036395305829,2.4229925327568353
0.1,15.0,HCP,0.968,0.17608806605504815,11.783754500611037,11.336373403073738,2.7370280713247093
0.1,15.0,Pooling,0.883,0.32158111638343195,8.189662664053618,7.767338100593308,2.2248638473617355
0.1,15.0,Repeated,0.915,0.2790212408632232,9.372622596748817,8.917155726996135,2.487209437551125
0.1,15.0,S-HCP-derandomized,0.954,0.20958990416508136,9.699130661435614,9.088048919098778,2.538484493205244
0.1,15.0,S-HCP-within,0.905,0.29336165574434064,8.418005205801714,7.955742166760979,2.3139813284458595
0.1,15.0,Std-CP,0.889,0.31428932176861774,8.989980086139497,7.488606047049437,6.2647219520781325
0.1,15.0,Subsampling,0.898,0.30279974849343544,9.423376604659326,9.061172066066192,3.074398113927526
0.1,20.0,Donor-HCP-derandomized,0.948,0.22213812222431648,10.179887786561244,9.48420906629078,2.973682068526924
0.1,20.0,Donor-HCP-within,0.897,0.3041109723168228,8.239157319121034,7.829573119234995,2.156274173292462
0.1,20.0,HCP,0.968,0.17608806605504815,11.783754500611037,11.336373403073738,2.7370280713247093
0.1,20.0,Pooling,0.883,0.32158111638343195,8.189662664053618,7.767338100593308,2.2248638473617355
0.1,20.0,Repeated,0.915,0.2790212408632232,9.372622596748817,8.917155726996135,2.487209437551125
0.1,20.0,S-HCP-derandomized,0.955,0.20740785428237296,9.678414217930692,9.061433140884567,2.5458500047770025
0.1,20.0,S-HCP-within,0.888,0.3155242550986462,8.186946582510268,7.698007093537864,2.2624269163682627
0.1,20.0,Std-CP,0.907,0.290577761426155,6.950181463450318,6.34698545046335,3.100548708131176
0.1,20.0,Subsampling,0.898,0.30279974849343544,9.423376604659326,9.061172066066192,3.074398113927526
