dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,D-HCP,0,0.1,0.9,0.9428,0.0032841485959073176,0.2322476001804064,5000.0
fixedN21,D-HCP,0,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP,5,0.1,0.9,0.9494,0.0030996657884359074,0.21920139107672196,5000.0
fixedN21,D-HCP,5,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP,10,0.1,0.9,0.9422,0.0033002775640845715,0.23338820452371228,5000.0
fixedN21,D-HCP,10,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP,15,0.1,0.9,0.9224,0.003783602516121375,0.2675678577701409,5000.0
fixedN21,D-HCP,15,0.05,0.95,0.9836,0.0017961648031291546,0.1270207339506849,5000.0
fixedN21,D-HCP,20,0.1,0.9,0.9058,0.0041310134349817835,0.2921359763632976,5000.0
fixedN21,D-HCP,20,0.05,0.95,0.9498,0.003088040155179334,0.21837925244761675,5000.0
fixedN21,D-HCP,25,0.1,0.9,0.9356,0.0034713870426675273,0.24548868189508805,5000.0
fixedN21,D-HCP,25,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP,30,0.1,0.9,0.9418,0.0033109744789110054,0.23414466627482464,5000.0
fixedN21,D-HCP,30,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP,35,0.1,0.9,0.9508,0.0030587369942510594,0.21630699883163446,5000.0
fixedN21,D-HCP,35,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP no within,0,0.1,0.9,0.9428,0.0032841485959073176,0.2322476001804064,5000.0
fixedN21,D-HCP no within,0,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP no within,5,0.1,0.9,0.9378,0.003415586626042444,0.24154260196849983,5000.0
fixedN21,D-HCP no within,5,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,D-HCP no within,10,0.1,0.9,0.932,0.0035602247120090596,0.25177108200813514,5000.0
fixedN21,D-HCP no within,10,0.05,0.95,0.993,0.0011790674280973083,0.08338099590491599,5000.0
fixedN21,D-HCP no within,15,0.1,0.9,0.9186,0.003867144683096303,0.27347577186939237,5000.0
fixedN21,D-HCP no within,15,0.05,0.95,0.9684,0.0024739215832358134,0.17495016865468424,5000.0
fixedN21,D-HCP no within,20,0.1,0.9,0.9068,0.004111295659521459,0.29074157964286196,5000.0
fixedN21,D-HCP no within,20,0.05,0.95,0.9444,0.003240636974423392,0.22917055619945104,5000.0
fixedN21,D-HCP no within,25,0.1,0.9,0.9234,0.0037611817291909734,0.26598231015964874,5000.0
fixedN21,D-HCP no within,25,0.05,0.95,0.9624,0.0026902133744370524,0.19024583752539542,5000.0
fixedN21,D-HCP no within,30,0.1,0.9,0.9046,0.00415448769404845,0.2937960231532145,5000.0
fixedN21,D-HCP no within,30,0.05,0.95,0.9672,0.002518894995826545,0.17813058721404432,5000.0
fixedN21,D-HCP no within,35,0.1,0.9,0.9184,0.003871471038248898,0.27378172197255474,5000.0
fixedN21,D-HCP no within,35,0.05,0.95,0.9704,0.0023968245659622216,0.16949804104231836,5000.0
fixedN21,HCP,0,0.1,0.9,0.9428,0.0032841485959073176,0.2322476001804064,5000.0
fixedN21,HCP,0,0.05,0.95,1.0,0.0,0.0,5000.0
fixedN21,HCP,5,0.1,0.9,0.9428,0.0032841485959073176,0.2322476001804064,5000.0
