dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.05,D-HCP,0,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP,5,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP,10,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP,15,0.95,0.9836,0.1270207339506849,0.0017961648031291546,5000.0,22.74368047312137,7.219103342842201,0.10209353855620389,20.822999719028918,17.65175104509389,26.711648159573237,10.852474895950072,61.02928977731921,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP,20,0.95,0.9498,0.21837925244761675,0.003088040155179334,5000.0,17.252139998355542,5.802199761830111,0.08205549594778085,15.757355102867706,13.203497283930073,20.135438327682955,8.029478415128189,68.41971873287777,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP,25,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP,30,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP,35,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP no within,0,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP no within,5,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,D-HCP no within,10,0.95,0.993,0.08338099590491599,0.0011790674280973083,5000.0,37.5711398985563,12.084259416929736,0.17089723558656822,34.5014778933191,29.220178501563225,43.61441814809206,17.264008167154053,123.3669487854612,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,15,0.95,0.9684,0.17495016865468424,0.0024739215832358134,5000.0,33.5104972040704,11.85545167287888,0.1676614054384411,30.59391893845562,25.194943492079297,39.842873449766486,13.515994237880632,108.7150701784326,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,20,0.95,0.9444,0.22917055619945104,0.003240636974423392,5000.0,31.755349118215598,11.83658862415396,0.1673946416450962,28.716094837750447,23.613356208597235,37.72398901405559,12.446381701990443,91.23526575363508,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,25,0.95,0.9624,0.19024583752539542,0.0026902133744370524,5000.0,16.345218589949468,7.847205521269533,0.11097624474908406,14.909004931916183,10.164484614567124,20.9228853491988,2.8941228720350027,70.22614618707068,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,30,0.95,0.9672,0.17813058721404432,0.002518894995826545,5000.0,16.59283057936017,7.845411466136249,0.11095087297807271,15.14652302413761,10.436945557070505,21.167059009589433,3.4588711794854774,72.14104617185531,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,35,0.95,0.9704,0.16949804104231836,0.0023968245659622216,5000.0,16.79146222162898,7.83599299400093,0.1108176756677667,15.350701665857862,10.665170249227835,21.41029199003536,3.4588711794854774,72.14104617185531,5000.0,5000.0,0.0,1.0,0.0
fixedN21,0.05,HCP,0,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,HCP,5,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,HCP,10,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,HCP,15,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,HCP,20,0.95,1.0,0.0,0.0,5000.0,,,,,,,,,0.0,0.0,0.0,,
