experiment,o,alpha,coverage,width,method,dataset,nominal_coverage
0,0,0.05,1,,D-HCP,fixedN21,0.95
1,0,0.05,1,,D-HCP,fixedN21,0.95
2,0,0.05,1,,D-HCP,fixedN21,0.95
3,0,0.05,1,,D-HCP,fixedN21,0.95
4,0,0.05,1,,D-HCP,fixedN21,0.95
5,0,0.05,1,,D-HCP,fixedN21,0.95
6,0,0.05,1,,D-HCP,fixedN21,0.95
7,0,0.05,1,,D-HCP,fixedN21,0.95
8,0,0.05,1,,D-HCP,fixedN21,0.95
9,0,0.05,1,,D-HCP,fixedN21,0.95
10,0,0.05,1,,D-HCP,fixedN21,0.95
11,0,0.05,1,,D-HCP,fixedN21,0.95
12,0,0.05,1,,D-HCP,fixedN21,0.95
13,0,0.05,1,,D-HCP,fixedN21,0.95
14,0,0.05,1,,D-HCP,fixedN21,0.95
15,0,0.05,1,,D-HCP,fixedN21,0.95
16,0,0.05,1,,D-HCP,fixedN21,0.95
17,0,0.05,1,,D-HCP,fixedN21,0.95
18,0,0.05,1,,D-HCP,fixedN21,0.95
19,0,0.05,1,,D-HCP,fixedN21,0.95
20,0,0.05,1,,D-HCP,fixedN21,0.95
21,0,0.05,1,,D-HCP,fixedN21,0.95
22,0,0.05,1,,D-HCP,fixedN21,0.95
23,0,0.05,1,,D-HCP,fixedN21,0.95
24,0,0.05,1,,D-HCP,fixedN21,0.95
25,0,0.05,1,,D-HCP,fixedN21,0.95
26,0,0.05,1,,D-HCP,fixedN21,0.95
27,0,0.05,1,,D-HCP,fixedN21,0.95
28,0,0.05,1,,D-HCP,fixedN21,0.95
29,0,0.05,1,,D-HCP,fixedN21,0.95
30,0,0.05,1,,D-HCP,fixedN21,0.95
31,0,0.05,1,,D-HCP,fixedN21,0.95
32,0,0.05,1,,D-HCP,fixedN21,0.95
33,0,0.05,1,,D-HCP,fixedN21,0.95
34,0,0.05,1,,D-HCP,fixedN21,0.95
35,0,0.05,1,,D-HCP,fixedN21,0.95
36,0,0.05,1,,D-HCP,fixedN21,0.95
37,0,0.05,1,,D-HCP,fixedN21,0.95
38,0,0.05,1,,D-HCP,fixedN21,0.95
39,0,0.05,1,,D-HCP,fixedN21,0.95
40,0,0.05,1,,D-HCP,fixedN21,0.95
41,0,0.05,1,,D-HCP,fixedN21,0.95
42,0,0.05,1,,D-HCP,fixedN21,0.95
43,0,0.05,1,,D-HCP,fixedN21,0.95
44,0,0.05,1,,D-HCP,fixedN21,0.95
45,0,0.05,1,,D-HCP,fixedN21,0.95
46,0,0.05,1,,D-HCP,fixedN21,0.95
47,0,0.05,1,,D-HCP,fixedN21,0.95
48,0,0.05,1,,D-HCP,fixedN21,0.95
49,0,0.05,1,,D-HCP,fixedN21,0.95
50,0,0.05,1,,D-HCP,fixedN21,0.95
51,0,0.05,1,,D-HCP,fixedN21,0.95
52,0,0.05,1,,D-HCP,fixedN21,0.95
53,0,0.05,1,,D-HCP,fixedN21,0.95
54,0,0.05,1,,D-HCP,fixedN21,0.95
55,0,0.05,1,,D-HCP,fixedN21,0.95
56,0,0.05,1,,D-HCP,fixedN21,0.95
57,0,0.05,1,,D-HCP,fixedN21,0.95
58,0,0.05,1,,D-HCP,fixedN21,0.95
59,0,0.05,1,,D-HCP,fixedN21,0.95
60,0,0.05,1,,D-HCP,fixedN21,0.95
61,0,0.05,1,,D-HCP,fixedN21,0.95
62,0,0.05,1,,D-HCP,fixedN21,0.95
