dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,D-HCP,0,0.1,0.9,0.9392,0.003379448475713159,0.2389869932791141,5000.0
poissonNmean21,D-HCP,0,0.05,0.95,1.0,0.0,0.0,5000.0
poissonNmean21,D-HCP,5,0.1,0.9,0.9532,0.002986963675708158,0.21123135121649758,5000.0
poissonNmean21,D-HCP,5,0.05,0.95,1.0,0.0,0.0,5000.0
poissonNmean21,D-HCP,10,0.1,0.9,0.9392,0.003379448475713159,0.23898699327911407,5000.0
poissonNmean21,D-HCP,10,0.05,0.95,0.9946,0.001036420763975709,0.07329334473795404,5000.0
poissonNmean21,D-HCP,15,0.1,0.9,0.9136,0.003973286800622377,0.2809819036273212,5000.0
poissonNmean21,D-HCP,15,0.05,0.95,0.9752,0.002199316257385465,0.15553069780461964,5000.0
poissonNmean21,D-HCP,20,0.1,0.9,0.918,0.0038801030914139374,0.27439216135240146,5000.0
poissonNmean21,D-HCP,20,0.05,0.95,0.9696,0.0024279967051048477,0.1717024645928807,5000.0
poissonNmean21,D-HCP,25,0.1,0.9,0.941,0.003332236486205625,0.23564826759644175,5000.0
poissonNmean21,D-HCP,25,0.05,0.95,0.9794,0.0020087628033194937,0.14205518623122157,5000.0
poissonNmean21,D-HCP,30,0.1,0.9,0.9462,0.0031907854832313614,0.22564517089587738,5000.0
poissonNmean21,D-HCP,30,0.05,0.95,0.999,0.0004469899327725404,0.03161012242886752,5000.0
poissonNmean21,D-HCP,35,0.1,0.9,0.948,0.00313993630508646,0.22204923141554544,5000.0
poissonNmean21,D-HCP,35,0.05,0.95,1.0,0.0,0.0,5000.0
poissonNmean21,D-HCP no within,0,0.1,0.9,0.9392,0.003379448475713159,0.2389869932791141,5000.0
poissonNmean21,D-HCP no within,0,0.05,0.95,1.0,0.0,0.0,5000.0
poissonNmean21,D-HCP no within,5,0.1,0.9,0.937,0.003436015133843271,0.24298726008108396,5000.0
poissonNmean21,D-HCP no within,5,0.05,0.95,0.9998,0.00019997999899988897,0.01414213562373095,5000.0
poissonNmean21,D-HCP no within,10,0.1,0.9,0.93,0.003608323710533742,0.25517253497294906,5000.0
poissonNmean21,D-HCP no within,10,0.05,0.95,0.9796,0.0019991918367180265,0.1413783490054736,5000.0
poissonNmean21,D-HCP no within,15,0.1,0.9,0.9074,0.004099396053079039,0.2899000662464256,5000.0
poissonNmean21,D-HCP no within,15,0.05,0.95,0.9626,0.002683327784673352,0.18975890410818058,5000.0
poissonNmean21,D-HCP no within,20,0.1,0.9,0.909,0.004067407036429965,0.28763787495637966,5000.0
poissonNmean21,D-HCP no within,20,0.05,0.95,0.9602,0.0027646323444537775,0.1955085796606998,5000.0
poissonNmean21,D-HCP no within,25,0.1,0.9,0.921,0.0038146821623826,0.26976574043221685,5000.0
poissonNmean21,D-HCP no within,25,0.05,0.95,0.9694,0.002435719195638116,0.17224858174969962,5000.0
