method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
GHCP,0,0.1,0.9,0.975,0.011039701082909813,0.15651673213169873,200.0
GHCP,5,0.1,0.9,0.965,0.012995191418367032,0.1842409390393201,200.0
GHCP,10,0.1,0.9,0.95,0.015411035007422448,0.21849186132974538,200.0
GHCP,15,0.1,0.9,0.955,0.014658615214269054,0.2078243363368914,200.0
GHCP,20,0.1,0.9,0.925,0.01862458053218917,0.2640523018086611,200.0
HCP,0,0.1,0.9,0.98,0.009899494936611668,0.1403513179927839,200.0
HCP,5,0.1,0.9,,,,0.0
HCP,10,0.1,0.9,,,,0.0
HCP,15,0.1,0.9,,,,0.0
HCP,20,0.1,0.9,,,,0.0
Pooled-Income-Quantile,0,0.1,0.9,0.915,0.019719913792915014,0.2795815250436421,200.0
Pooled-Income-Quantile,5,0.1,0.9,0.915,0.019719913792915014,0.2795815250436421,200.0
Pooled-Income-Quantile,10,0.1,0.9,0.915,0.019719913792915014,0.2795815250436421,200.0
Pooled-Income-Quantile,15,0.1,0.9,0.915,0.019719913792915014,0.2795815250436421,200.0
Pooled-Income-Quantile,20,0.1,0.9,0.915,0.019719913792915014,0.2795815250436421,200.0
Pooling,0,0.1,0.9,0.875,0.023385358667337135,0.3315488246330816,200.0
Pooling,5,0.1,0.9,,,,0.0
Pooling,10,0.1,0.9,,,,0.0
Pooling,15,0.1,0.9,,,,0.0
Pooling,20,0.1,0.9,,,,0.0
Repeated,0,0.1,0.9,0.955,0.014658615214269054,0.2078243363368914,200.0
Repeated,5,0.1,0.9,,,,0.0
Repeated,10,0.1,0.9,,,,0.0
Repeated,15,0.1,0.9,,,,0.0
Repeated,20,0.1,0.9,,,,0.0
S-HCP,0,0.1,0.9,0.905,0.02073342711661533,0.29395073596757565,200.0
S-HCP,5,0.1,0.9,0.9,0.021213203435596423,0.3007528242702513,200.0
S-HCP,10,0.1,0.9,0.905,0.02073342711661533,0.29395073596757565,200.0
S-HCP,15,0.1,0.9,0.905,0.02073342711661533,0.29395073596757565,200.0
S-HCP,20,0.1,0.9,0.885,0.022558257911461158,0.3198225010233083,200.0
Subsampling,0,0.1,0.9,0.87,0.02378024390118823,0.33714735904132886,200.0
Subsampling,5,0.1,0.9,,,,0.0
Subsampling,10,0.1,0.9,,,,0.0
Subsampling,15,0.1,0.9,,,,0.0
Subsampling,20,0.1,0.9,,,,0.0
GHCP,0,0.2,0.8,0.835,0.02624642832844119,0.37211199481260626,200.0
GHCP,5,0.2,0.8,0.83,0.026561249970586856,0.37657541771354475,200.0
GHCP,10,0.2,0.8,0.825,0.02686773157525585,0.38092059869815764,200.0
GHCP,15,0.2,0.8,0.815,0.027456784225396828,0.38927196574706346,200.0
GHCP,20,0.2,0.8,0.82,0.027166155414412252,0.3851515397122457,200.0
HCP,0,0.2,0.8,0.845,0.02559052559053839,0.36281285234835015,200.0
HCP,5,0.2,0.8,,,,0.0
HCP,10,0.2,0.8,,,,0.0
HCP,15,0.2,0.8,,,,0.0
HCP,20,0.2,0.8,,,,0.0
Pooled-Income-Quantile,0,0.2,0.8,0.815,0.027456784225396828,0.38927196574706346,200.0
Pooled-Income-Quantile,5,0.2,0.8,0.815,0.027456784225396828,0.38927196574706346,200.0
Pooled-Income-Quantile,10,0.2,0.8,0.815,0.027456784225396828,0.38927196574706346,200.0
Pooled-Income-Quantile,15,0.2,0.8,0.815,0.027456784225396828,0.38927196574706346,200.0
Pooled-Income-Quantile,20,0.2,0.8,0.815,0.027456784225396828,0.38927196574706346,200.0
Pooling,0,0.2,0.8,0.755,0.030411757594719844,0.43116646740332826,200.0
Pooling,5,0.2,0.8,,,,0.0
Pooling,10,0.2,0.8,,,,0.0
Pooling,15,0.2,0.8,,,,0.0
Pooling,20,0.2,0.8,,,,0.0
Repeated,0,0.2,0.8,0.83,0.026561249970586856,0.37657541771354464,200.0
Repeated,5,0.2,0.8,,,,0.0
Repeated,10,0.2,0.8,,,,0.0
Repeated,15,0.2,0.8,,,,0.0
Repeated,20,0.2,0.8,,,,0.0
S-HCP,0,0.2,0.8,0.82,0.027166155414412252,0.3851515397122457,200.0
S-HCP,5,0.2,0.8,0.76,0.030199337741083,0.4281548585670527,200.0
S-HCP,10,0.2,0.8,0.8,0.0282842712474619,0.40100376569366847,200.0
S-HCP,15,0.2,0.8,0.755,0.030411757594719844,0.43116646740332826,200.0
S-HCP,20,0.2,0.8,0.77,0.02975735203273302,0.4218885513364207,200.0
Subsampling,0,0.2,0.8,0.77,0.02975735203273302,0.4218885513364207,200.0
Subsampling,5,0.2,0.8,,,,0.0
Subsampling,10,0.2,0.8,,,,0.0
Subsampling,15,0.2,0.8,,,,0.0
Subsampling,20,0.2,0.8,,,,0.0
