alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.1,GHCP,0,0.9,0.975,0.15651673213169873,0.011039701082909813,200.0,529798.2206230982,244280.29915577095,17273.22560433241,430821.9476176496,314057.3784430581,785075.839957804,208700.41310643224,1003673.0684166402,200.0,200.0,0.0,1.0,0.0
0.1,GHCP,5,0.9,0.965,0.1842409390393201,0.012995191418367032,200.0,319537.73519359925,135869.15791487982,9607.40029157174,280776.9033591263,234338.05328212556,361599.43689863675,141697.12530583402,881750.2557930634,200.0,200.0,0.0,1.0,0.0
0.1,GHCP,10,0.9,0.95,0.21849186132974538,0.015411035007422448,200.0,255273.904442906,93939.51053704467,6642.526492208942,236691.75561564844,197947.63741364234,283932.9099387451,134368.90166945406,805715.6457347263,200.0,200.0,0.0,1.0,0.0
0.1,GHCP,15,0.9,0.955,0.2078243363368914,0.014658615214269054,200.0,211124.60429391437,56153.040017922445,3970.619538091253,203349.88657809442,174598.0839396154,240943.1469692023,112860.8340591794,448315.71852533094,200.0,200.0,0.0,1.0,0.0
0.1,GHCP,20,0.9,0.925,0.2640523018086611,0.01862458053218917,200.0,183790.10935430505,50047.16758527585,3538.869157872812,180750.2004553402,147803.78682582607,209322.76797630818,98443.09869506671,362544.1861690751,200.0,200.0,0.0,1.0,0.0
0.1,HCP,0,0.9,0.98,0.1403513179927839,0.009899494936611668,200.0,528823.1231511406,249778.8154614776,17662.02942095541,410182.55471136747,320599.06936581526,813152.2411120688,226351.1469709833,981321.0465553212,200.0,200.0,0.0,1.0,0.0
0.1,HCP,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooled-Income-Quantile,0,0.9,0.915,0.2795815250436421,0.019719913792915014,200.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,200.0,200.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,5,0.9,0.915,0.2795815250436421,0.019719913792915014,200.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,200.0,200.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,10,0.9,0.915,0.2795815250436421,0.019719913792915014,200.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,200.0,200.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,15,0.9,0.915,0.2795815250436421,0.019719913792915014,200.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,200.0,200.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,20,0.9,0.915,0.2795815250436421,0.019719913792915014,200.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,200.0,200.0,0.0,1.0,0.0
0.1,Pooling,0,0.9,0.875,0.3315488246330816,0.023385358667337135,200.0,151818.1967132262,26170.12493096557,1850.5072803184883,151219.45528064825,132827.1219931034,166461.77776102518,85383.13309647376,218759.66838478536,200.0,200.0,0.0,1.0,0.0
0.1,Pooling,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,0,0.9,0.955,0.2078243363368914,0.014658615214269054,200.0,250678.64787342757,57884.9354087523,4093.083035607405,249915.85229627148,208360.50658765604,289959.12755268486,114612.19680863924,430792.8661445678,200.0,200.0,0.0,1.0,0.0
0.1,Repeated,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
