method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,0.981,0.13659303663678346,0.004317290817167639,403117.3353441897,523134.71757407027,243116.9833439316,1000
Donor-HCP,5,0.97,0.17067257872642908,0.0053944415837044735,281853.752678354,319332.39994231326,140232.04772474285,1000
Donor-HCP,10,0.956,0.2051977244174655,0.006485676526007139,235730.1483490558,255227.39137220517,99918.16047165368,1000
Donor-HCP,15,0.955,0.2074078542823729,0.00655553201502365,200648.74174892023,209065.82286219668,61780.9934428578,1000
Donor-HCP,20,0.937,0.24308453280719053,0.007683163410991592,176620.14447874803,183960.82093121915,53489.0730913959,1000
HCP,0,0.983,0.1293357171384909,0.004087909000944127,410721.85485442745,531276.8991476219,244186.2563720818,1000
Pooled-Income-Quantile,0,0.917,0.27602026589942125,0.008724161850859943,180000.0,180000.0,0.0,1000
Pooled-Income-Quantile,5,0.917,0.27602026589942125,0.008724161850859943,180000.0,180000.0,0.0,1000
Pooled-Income-Quantile,10,0.917,0.27602026589942125,0.008724161850859943,180000.0,180000.0,0.0,1000
Pooled-Income-Quantile,15,0.917,0.27602026589942125,0.008724161850859943,180000.0,180000.0,0.0,1000
Pooled-Income-Quantile,20,0.917,0.27602026589942125,0.008724161850859943,180000.0,180000.0,0.0,1000
Pooling,0,0.882,0.3227695465501357,0.01020176455325254,152014.49617458356,152895.04740666182,26953.95995438915,1000
Repeated,0,0.958,0.20068950215762726,0.006343185319695463,244345.04843008792,247916.7186049791,57538.19730605564,1000
S-HCP,0,0.901,0.29881145943268017,0.009444522221901962,181971.86184816126,245882.5965500316,204143.66154404162,1000
S-HCP,5,0.902,0.2974634170523906,0.009401914698613255,149640.36470317843,160018.6488572843,49905.34578984742,1000
S-HCP,10,0.911,0.2848862231842041,0.009004387819280108,146465.34019440392,151226.12591152312,39259.26632960961,1000
S-HCP,15,0.913,0.2819760814510878,0.008912407082264588,142913.73428538925,146265.8825295457,32673.549339072735,1000
S-HCP,20,0.894,0.30799165387857325,0.009734680272099335,135820.58738121338,140527.5073121529,29526.977060856352,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,1.0,0.0,0.0,,,,1000
Std-CP,10,1.0,0.0,0.0,,,,1000
Std-CP,15,1.0,0.0,0.0,,,,1000
Std-CP,20,0.909,0.28775302222878874,0.009094998625618366,148587.0,219811.14048000003,226137.07630241913,1000
Subsampling,0,0.897,0.304110972316823,0.009612023720320294,186317.32021127394,248822.74267893945,205398.91221087475,1000
