method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
GHCP,0,0.1,0.9,0.981,0.004317290817167639,0.13659303663678346,1000.0
GHCP,5,0.1,0.9,0.97,0.0053944415837044735,0.17067257872642908,1000.0
GHCP,10,0.1,0.9,0.956,0.006485676526007139,0.2051977244174655,1000.0
GHCP,15,0.1,0.9,0.955,0.00655553201502365,0.2074078542823729,1000.0
GHCP,20,0.1,0.9,0.937,0.007683163410991592,0.24308453280719053,1000.0
HCP,0,0.1,0.9,0.983,0.004087909000944127,0.1293357171384909,1000.0
HCP,5,0.1,0.9,,,,0.0
HCP,10,0.1,0.9,,,,0.0
HCP,15,0.1,0.9,,,,0.0
HCP,20,0.1,0.9,,,,0.0
Pooled-Income-Quantile,0,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
Pooled-Income-Quantile,5,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
Pooled-Income-Quantile,10,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
Pooled-Income-Quantile,15,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
Pooled-Income-Quantile,20,0.1,0.9,0.917,0.008724161850859943,0.27602026589942125,1000.0
Pooling,0,0.1,0.9,0.882,0.01020176455325254,0.3227695465501357,1000.0
Pooling,5,0.1,0.9,,,,0.0
Pooling,10,0.1,0.9,,,,0.0
Pooling,15,0.1,0.9,,,,0.0
Pooling,20,0.1,0.9,,,,0.0
Repeated,0,0.1,0.9,0.958,0.006343185319695463,0.20068950215762726,1000.0
Repeated,5,0.1,0.9,,,,0.0
Repeated,10,0.1,0.9,,,,0.0
Repeated,15,0.1,0.9,,,,0.0
Repeated,20,0.1,0.9,,,,0.0
S-HCP,0,0.1,0.9,0.901,0.009444522221901962,0.29881145943268017,1000.0
S-HCP,5,0.1,0.9,0.902,0.009401914698613255,0.2974634170523906,1000.0
S-HCP,10,0.1,0.9,0.911,0.009004387819280108,0.2848862231842041,1000.0
S-HCP,15,0.1,0.9,0.913,0.008912407082264588,0.2819760814510878,1000.0
S-HCP,20,0.1,0.9,0.894,0.009734680272099335,0.30799165387857325,1000.0
Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,5,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,10,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,15,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,20,0.1,0.9,0.909,0.009094998625618366,0.28775302222878874,1000.0
Subsampling,0,0.1,0.9,0.897,0.009612023720320294,0.304110972316823,1000.0
Subsampling,5,0.1,0.9,,,,0.0
Subsampling,10,0.1,0.9,,,,0.0
Subsampling,15,0.1,0.9,,,,0.0
Subsampling,20,0.1,0.9,,,,0.0
GHCP,0,0.2,0.8,0.857,0.011070275515993268,0.35024801737293776,1000.0
GHCP,5,0.2,0.8,0.855,0.011134406135937382,0.3522770203960217,1000.0
GHCP,10,0.2,0.8,0.854,0.011166198995181844,0.35328290194801226,1000.0
GHCP,15,0.2,0.8,0.838,0.011651437679531227,0.3686351745179669,1000.0
GHCP,20,0.2,0.8,0.834,0.011766222843376714,0.37226681638655706,1000.0
HCP,0,0.2,0.8,0.858,0.011037934589405756,0.34922479573758497,1000.0
HCP,5,0.2,0.8,,,,0.0
HCP,10,0.2,0.8,,,,0.0
HCP,15,0.2,0.8,,,,0.0
HCP,20,0.2,0.8,,,,0.0
Pooled-Income-Quantile,0,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,5,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,10,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,15,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooled-Income-Quantile,20,0.2,0.8,0.835,0.011737759581794136,0.37136627864268035,1000.0
Pooling,0,0.2,0.8,0.78,0.01309961831505025,0.4144535821678609,1000.0
Pooling,5,0.2,0.8,,,,0.0
Pooling,10,0.2,0.8,,,,0.0
Pooling,15,0.2,0.8,,,,0.0
Pooling,20,0.2,0.8,,,,0.0
Repeated,0,0.2,0.8,0.838,0.011651437679531227,0.36863517451796685,1000.0
Repeated,5,0.2,0.8,,,,0.0
Repeated,10,0.2,0.8,,,,0.0
Repeated,15,0.2,0.8,,,,0.0
Repeated,20,0.2,0.8,,,,0.0
S-HCP,0,0.2,0.8,0.806,0.012504559168559281,0.3956267439399421,1000.0
S-HCP,5,0.2,0.8,0.819,0.012175343937647102,0.3852108349818153,1000.0
S-HCP,10,0.2,0.8,0.807,0.012480024038438387,0.394850486775573,1000.0
S-HCP,15,0.2,0.8,0.814,0.012304633273690038,0.38930136855083824,1000.0
S-HCP,20,0.2,0.8,0.797,0.012719709116170855,0.402433787041984,1000.0
Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
Std-CP,5,0.2,0.8,1.0,0.0,0.0,1000.0
Std-CP,10,0.2,0.8,0.834,0.011766222843376714,0.37226681638655706,1000.0
Std-CP,15,0.2,0.8,0.902,0.009401914698613255,0.2974634170523906,1000.0
Std-CP,20,0.2,0.8,0.822,0.012096115078817663,0.38270414482007176,1000.0
Subsampling,0,0.2,0.8,0.808,0.01245536029185828,0.3940701603665156,1000.0
Subsampling,5,0.2,0.8,,,,0.0
Subsampling,10,0.2,0.8,,,,0.0
Subsampling,15,0.2,0.8,,,,0.0
Subsampling,20,0.2,0.8,,,,0.0
