alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.1,GHCP,0,0.9,0.981,0.13659303663678346,0.004317290817167639,1000.0,523134.71757407027,243116.9833439316,7688.034052360429,403117.3353441897,315129.770528664,785156.5335743793,205649.35015320376,1036913.8345821698,1000.0,1000.0,0.0,1.0,0.0
0.1,GHCP,5,0.9,0.97,0.17067257872642908,0.0053944415837044735,1000.0,319332.39994231326,140232.04772474285,4434.5267175962035,281853.752678354,233541.63285020416,353901.9130625214,134962.4705918691,948546.6177531196,1000.0,1000.0,0.0,1.0,0.0
0.1,GHCP,10,0.9,0.956,0.2051977244174655,0.006485676526007139,1000.0,255227.39137220517,99918.16047165368,3159.6896670462966,235730.1483490558,196142.71013603915,281499.48737109476,110658.14068656652,939759.0018727904,1000.0,1000.0,0.0,1.0,0.0
0.1,GHCP,15,0.9,0.955,0.2074078542823729,0.00655553201502365,1000.0,209065.82286219668,61780.9934428578,1953.6865538735835,200648.74174892023,170179.82980713405,240121.53350458038,93904.3701741442,832821.0641223664,1000.0,1000.0,0.0,1.0,0.0
0.1,GHCP,20,0.9,0.937,0.24308453280719053,0.007683163410991592,1000.0,183960.82093121915,53489.0730913959,1691.4730090003484,176620.14447874803,149046.6652459465,208495.85524353987,98443.09869506671,784691.700618048,1000.0,1000.0,0.0,1.0,0.0
0.1,HCP,0,0.9,0.983,0.1293357171384909,0.004087909000944127,1000.0,531276.8991476219,244186.2563720818,7721.847434455829,410721.85485442745,322913.50114058924,795963.8240849581,201579.0626814575,1040524.4941012084,1000.0,1000.0,0.0,1.0,0.0
0.1,HCP,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooled-Income-Quantile,0,0.9,0.917,0.27602026589942125,0.008724161850859943,1000.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,5,0.9,0.917,0.27602026589942125,0.008724161850859943,1000.0,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
