method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
GHCP,0,0.1,0.9,523134.71757407027,7688.034052360429,243116.9833439316,403117.3353441897,315129.770528664,785156.5335743793,205649.35015320376,1036913.8345821698,1000.0,1000.0,0.0,1.0,0.0
GHCP,5,0.1,0.9,319332.39994231326,4434.5267175962035,140232.04772474285,281853.752678354,233541.63285020416,353901.9130625214,134962.4705918691,948546.6177531196,1000.0,1000.0,0.0,1.0,0.0
GHCP,10,0.1,0.9,255227.39137220517,3159.6896670462966,99918.16047165368,235730.1483490558,196142.71013603915,281499.48737109476,110658.14068656652,939759.0018727904,1000.0,1000.0,0.0,1.0,0.0
GHCP,15,0.1,0.9,209065.82286219668,1953.6865538735835,61780.9934428578,200648.74174892023,170179.82980713405,240121.53350458038,93904.3701741442,832821.0641223664,1000.0,1000.0,0.0,1.0,0.0
GHCP,20,0.1,0.9,183960.82093121915,1691.4730090003484,53489.0730913959,176620.14447874803,149046.6652459465,208495.85524353987,98443.09869506671,784691.700618048,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.1,0.9,531276.8991476219,7721.847434455829,244186.2563720818,410721.85485442745,322913.50114058924,795963.8240849581,201579.0626814575,1040524.4941012084,1000.0,1000.0,0.0,1.0,0.0
HCP,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.1,0.9,180000.0,0.0,0.0,180000.0,180000.0,180000.0,180000.0,180000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.1,0.9,152895.04740666182,852.3590541683792,26953.95995438915,152014.49617458356,133415.59705837647,170804.04551574696,79359.78537506572,247414.8159746849,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.1,0.9,247916.7186049791,1819.517559473002,57538.19730605564,244345.04843008792,205890.6557309719,284203.8998045265,114612.19680863924,447003.0320946931,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.1,0.9,245882.5965500316,6455.589403656975,204143.66154404162,181971.86184816126,133736.39090676946,264888.2325447134,36300.29978406189,1066695.9775044108,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.1,0.9,160018.6488572843,1578.145601142126,49905.34578984742,149640.36470317843,125150.58891946114,186779.96853305306,64249.00300267734,430812.19844588183,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.1,0.9,151226.12591152312,1241.487008687251,39259.26632960961,146465.34019440392,123045.61057749727,173502.65321791562,63100.78264284061,399027.2936398066,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.1,0.9,146265.8825295457,1033.2283515335903,32673.549339072735,142913.73428538925,123621.92951135105,164247.33238033566,77791.3233517746,281309.5948203627,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.1,0.9,140527.5073121529,933.7249993185023,29526.977060856352,135820.58738121338,119366.16120032215,157716.49222976255,76344.13692779481,275831.3459973602,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,10,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,15,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,20,0.1,0.9,219811.14048000003,7151.082245269322,226137.07630241913,148587.0,94263.7,237502.2,16780.0,1259538.0,1000.0,1000.0,0.0,1.0,0.0
