method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
D-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
D-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
D-HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
D-HCP,15,0.05,0.95,0.9994444444444445,0.0007451489204046549,0.005341017586161566,1000.0
D-HCP,20,0.05,0.95,0.9579259259259258,0.006348531039924391,0.044117981909201534,1000.0
HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
HCP,5,0.05,0.95,,,,0.0
HCP,10,0.05,0.95,,,,0.0
HCP,15,0.05,0.95,,,,0.0
HCP,20,0.05,0.95,,,,0.0
Pooled-Income-Quantile,0,0.05,0.95,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,5,0.05,0.95,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,10,0.05,0.95,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,15,0.05,0.95,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,20,0.05,0.95,1.0,0.0,0.0,1000.0
Pooling,0,0.05,0.95,0.935111111111111,0.0077896290661144075,0.04922251849341292,1000.0
Pooling,5,0.05,0.95,,,,0.0
Pooling,10,0.05,0.95,,,,0.0
Pooling,15,0.05,0.95,,,,0.0
Pooling,20,0.05,0.95,,,,0.0
Repeated,0,0.05,0.95,1.0,0.0,0.0,1000.0
Repeated,5,0.05,0.95,,,,0.0
Repeated,10,0.05,0.95,,,,0.0
Repeated,15,0.05,0.95,,,,0.0
Repeated,20,0.05,0.95,,,,0.0
S-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
S-HCP,5,0.05,0.95,0.9644074074074073,0.005858818988937143,0.03622130263612369,1000.0
S-HCP,10,0.05,0.95,0.9511851851851851,0.006814097788365691,0.042619962223972435,1000.0
S-HCP,15,0.05,0.95,0.9354074074074074,0.007773055356470838,0.048093275714285094,1000.0
S-HCP,20,0.05,0.95,0.9451851851851851,0.007197926846782512,0.04346098603619859,1000.0
Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
Std-CP,5,0.05,0.95,0.14229629629629625,0.011047536393090222,0.06859821657676167,1000.0
Std-CP,10,0.05,0.95,0.09018518518518513,0.009058245832295512,0.05150290932569319,1000.0
Std-CP,15,0.05,0.95,0.06666666666666662,0.007888106377466153,0.04693055321693687,1000.0
Std-CP,20,0.05,0.95,0.053481481481481435,0.00711485858046577,0.041970466919986536,1000.0
Subsampling,0,0.05,0.95,1.0,0.0,0.0,1000.0
Subsampling,5,0.05,0.95,,,,0.0
Subsampling,10,0.05,0.95,,,,0.0
Subsampling,15,0.05,0.95,,,,0.0
Subsampling,20,0.05,0.95,,,,0.0
D-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
D-HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
D-HCP,10,0.075,0.925,0.986,0.0037153734670958734,0.11754921445002436,1000.0
D-HCP,15,0.075,0.925,0.954,0.006624499981130654,0.20958990416508122,1000.0
D-HCP,20,0.075,0.925,0.92,0.008579044235810886,0.27142894774447635,1000.0
HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
HCP,5,0.075,0.925,,,,0.0
HCP,10,0.075,0.925,,,,0.0
HCP,15,0.075,0.925,,,,0.0
HCP,20,0.075,0.925,,,,0.0
Pooled-Income-Quantile,0,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,5,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,10,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,15,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooled-Income-Quantile,20,0.075,0.925,0.91,0.009049861877399012,0.28632495871296654,1000.0
Pooling,0,0.075,0.925,0.902,0.009401914698613255,0.2974634170523906,1000.0
Pooling,5,0.075,0.925,,,,0.0
Pooling,10,0.075,0.925,,,,0.0
Pooling,15,0.075,0.925,,,,0.0
Pooling,20,0.075,0.925,,,,0.0
Repeated,0,0.075,0.925,1.0,0.0,0.0,1000.0
Repeated,5,0.075,0.925,,,,0.0
Repeated,10,0.075,0.925,,,,0.0
Repeated,15,0.075,0.925,,,,0.0
Repeated,20,0.075,0.925,,,,0.0
S-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,10,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,15,0.075,0.925,1.0,0.0,0.0,1000.0
S-HCP,20,0.075,0.925,1.0,0.0,0.0,1000.0
Std-CP,0,0.075,0.925,1.0,0.0,0.0,1000.0
Std-CP,5,0.075,0.925,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.075,0.925,0.907,0.009184280047995052,0.290577761426155,1000.0
Std-CP,15,0.075,0.925,0.861,0.010939789760319894,0.3461196307619647,1000.0
Std-CP,20,0.075,0.925,0.907,0.009184280047995052,0.290577761426155,1000.0
Subsampling,0,0.075,0.925,1.0,0.0,0.0,1000.0
Subsampling,5,0.075,0.925,,,,0.0
Subsampling,10,0.075,0.925,,,,0.0
Subsampling,15,0.075,0.925,,,,0.0
Subsampling,20,0.075,0.925,,,,0.0
D-HCP,0,0.1,0.9,1.0,0.0,0.0,1000.0
D-HCP,5,0.1,0.9,0.9972962962962963,0.001642069940649981,0.01227154921508469,1000.0
D-HCP,10,0.1,0.9,0.9759629629629629,0.004843475806434588,0.03305637192882545,1000.0
D-HCP,15,0.1,0.9,0.9349629629629628,0.0077978984893675215,0.050868322308410735,1000.0
D-HCP,20,0.1,0.9,0.8999999999999999,0.009486832980505141,0.06290721807759299,1000.0
HCP,0,0.1,0.9,1.0,0.0,0.0,1000.0
HCP,5,0.1,0.9,,,,0.0
HCP,10,0.1,0.9,,,,0.0
HCP,15,0.1,0.9,,,,0.0
HCP,20,0.1,0.9,,,,0.0
Pooled-Income-Quantile,0,0.1,0.9,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,5,0.1,0.9,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,10,0.1,0.9,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,15,0.1,0.9,1.0,0.0,0.0,1000.0
Pooled-Income-Quantile,20,0.1,0.9,1.0,0.0,0.0,1000.0
Pooling,0,0.1,0.9,0.8848518518518519,0.010094010705670974,0.06489613088698275,1000.0
Pooling,5,0.1,0.9,,,,0.0
Pooling,10,0.1,0.9,,,,0.0
Pooling,15,0.1,0.9,,,,0.0
Pooling,20,0.1,0.9,,,,0.0
Repeated,0,0.1,0.9,1.0,0.0,0.0,1000.0
Repeated,5,0.1,0.9,,,,0.0
Repeated,10,0.1,0.9,,,,0.0
Repeated,15,0.1,0.9,,,,0.0
Repeated,20,0.1,0.9,,,,0.0
S-HCP,0,0.1,0.9,1.0,0.0,0.0,1000.0
S-HCP,5,0.1,0.9,0.8993333333333332,0.00951487723982233,0.06138796126021922,1000.0
S-HCP,10,0.1,0.9,0.888,0.00997276290703835,0.06283540785675239,1000.0
S-HCP,15,0.1,0.9,0.8837037037037037,0.010137626337760748,0.06386471226265297,1000.0
S-HCP,20,0.1,0.9,0.8925185185185185,0.009794345951620632,0.06107310956625726,1000.0
Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
Std-CP,5,0.1,0.9,0.14229629629629625,0.011047536393090222,0.06859821657676167,1000.0
Std-CP,10,0.1,0.9,0.09018518518518513,0.009058245832295512,0.05150290932569319,1000.0
Std-CP,15,0.1,0.9,0.06666666666666662,0.007888106377466153,0.04693055321693687,1000.0
Std-CP,20,0.1,0.9,0.053481481481481435,0.00711485858046577,0.041970466919986536,1000.0
Subsampling,0,0.1,0.9,1.0,0.0,0.0,1000.0
Subsampling,5,0.1,0.9,,,,0.0
Subsampling,10,0.1,0.9,,,,0.0
Subsampling,15,0.1,0.9,,,,0.0
Subsampling,20,0.1,0.9,,,,0.0
D-HCP,0,0.125,0.875,0.959,0.006270486424512857,0.19838941090279585,1000.0
D-HCP,5,0.125,0.875,0.93,0.008068457101577721,0.25527468571161765,1000.0
D-HCP,10,0.125,0.875,0.912,0.008958571314668425,0.28343665312788385,1000.0
D-HCP,15,0.125,0.875,0.892,0.009815090422405694,0.3105357184486713,1000.0
D-HCP,20,0.125,0.875,0.866,0.010772372069326236,0.3408227694273963,1000.0
HCP,0,0.125,0.875,0.946,0.0071473071852271785,0.2261307920985887,1000.0
HCP,5,0.125,0.875,,,,0.0
HCP,10,0.125,0.875,,,,0.0
HCP,15,0.125,0.875,,,,0.0
HCP,20,0.125,0.875,,,,0.0
Pooled-Income-Quantile,0,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,5,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,10,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,15,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooled-Income-Quantile,20,0.125,0.875,0.85,0.011291589790636216,0.3572500911513216,1000.0
Pooling,0,0.125,0.875,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooling,5,0.125,0.875,,,,0.0
Pooling,10,0.125,0.875,,,,0.0
Pooling,15,0.125,0.875,,,,0.0
Pooling,20,0.125,0.875,,,,0.0
Repeated,0,0.125,0.875,0.917,0.008724161850859943,0.27602026589942125,1000.0
Repeated,5,0.125,0.875,,,,0.0
