alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.05,D-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,D-HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,D-HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,D-HCP,15,0.95,0.9994444444444445,0.005341017586161566,0.0007451489204046549,1000.0,672786.2865631231,173711.31455267227,19926.05435486065,663935.3980206652,531034.7079597982,778764.3733600349,365057.0366843191,1118789.0150608097,1000.0,76.0,924.0,0.076,0.924
0.05,D-HCP,20,0.95,0.9579259259259258,0.044117981909201534,0.006348531039924391,1000.0,392925.7896487826,159047.50856512281,5077.9961434203615,344017.63023852714,292271.2579947648,430519.4646988808,182045.62244011855,1166527.998961335,1000.0,981.0,19.0,0.981,0.019
0.05,HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,HCP,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,HCP,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,HCP,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,HCP,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooled-Income-Quantile,0,0.95,1.0,0.0,0.0,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,5,0.95,1.0,0.0,0.0,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,10,0.95,1.0,0.0,0.0,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,15,0.95,1.0,0.0,0.0,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooled-Income-Quantile,20,0.95,1.0,0.0,0.0,1000.0,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooling,0,0.95,0.935111111111111,0.04922251849341292,0.0077896290661144075,1000.0,296460.4051358173,54358.24423138896,1718.9586137889798,293695.8399576155,257687.55288275017,331291.8584156354,177345.19668484866,526020.8098286117,1000.0,1000.0,0.0,1.0,0.0
0.05,Pooling,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooling,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooling,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Pooling,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Repeated,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Repeated,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,S-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,S-HCP,5,0.95,0.9644074074074073,0.03622130263612369,0.005858818988937143,1000.0,455642.9829661415,76198.53503552653,2409.609250804031,454456.7647732962,399983.4404001317,508412.56350247073,270254.13892320683,718426.3477457374,1000.0,1000.0,0.0,1.0,0.0
0.05,S-HCP,10,0.95,0.9511851851851851,0.042619962223972435,0.006814097788365691,1000.0,359370.7082034728,59549.27165969039,1883.1133144873693,355134.53335910075,315110.67563255836,396242.2288356917,228809.57628001503,589495.4494464807,1000.0,1000.0,0.0,1.0,0.0
0.05,S-HCP,15,0.95,0.9354074074074074,0.048093275714285094,0.007773055356470838,1000.0,284488.4282141519,37408.60273271647,1182.963887197831,281148.7493649192,256513.11313926635,307230.9266033304,195236.3354974672,445483.41575928667,1000.0,1000.0,0.0,1.0,0.0
0.05,S-HCP,20,0.95,0.9451851851851851,0.04346098603619859,0.007197926846782512,1000.0,311941.52970184066,42374.697232598475,1340.00558415045,308071.2188811747,281828.6579403759,339692.1661223185,208194.29231219125,454724.9580180174,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Std-CP,5,0.95,0.14229629629629625,0.06859821657676167,0.011047536393090222,1000.0,20878.140492997652,4441.340977951538,140.4475335576653,20312.285809057394,17664.266968885287,23600.759493201716,9265.3793527185,43831.61515134244,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,10,0.95,0.09018518518518513,0.05150290932569319,0.009058245832295512,1000.0,11527.013473617131,2128.359061765804,67.30462313838935,11355.461927605258,10022.177785706512,12892.163219277389,6102.0674507141775,20851.54110508601,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,15,0.95,0.06666666666666662,0.04693055321693687,0.007888106377466153,1000.0,8048.4944794191715,1409.0845910143757,44.55916723452258,7977.741450626081,7054.319111570389,8997.78955255509,4063.493869235615,12900.929662852372,1000.0,1000.0,0.0,1.0,0.0
0.05,Std-CP,20,0.95,0.053481481481481435,0.041970466919986536,0.00711485858046577,1000.0,6401.011272099821,1078.4092884795452,34.10229601476943,6357.004901925051,5648.282253342621,7058.926012262613,3746.4426766742145,10272.889658812575,1000.0,1000.0,0.0,1.0,0.0
0.05,Subsampling,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.05,Subsampling,5,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Subsampling,10,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Subsampling,15,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.05,Subsampling,20,0.95,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,D-HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,D-HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,D-HCP,10,0.925,0.986,0.11754921445002436,0.0037153734670958734,1000.0,654929.9492029402,375408.02407085156,12838.68352985854,583774.3955360032,369868.0953893334,865591.3318593177,99557.48859380573,2590223.140094505,1000.0,855.0,145.0,0.855,0.145
0.075,D-HCP,15,0.925,0.954,0.20958990416508122,0.006624499981130654,1000.0,349358.95326179307,185262.48949595596,5858.514318002406,319866.9132897327,206355.93311817112,450373.89080874523,65558.8598926415,1237093.5607778905,1000.0,1000.0,0.0,1.0,0.0
0.075,D-HCP,20,0.925,0.92,0.27142894774447635,0.008579044235810886,1000.0,256010.16259126065,130003.67279813478,4111.0771022938125,232507.41128355882,154956.01195386698,337503.98406148946,55800.93838438326,862338.692783395,1000.0,1000.0,0.0,1.0,0.0
0.075,HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,HCP,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,HCP,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,HCP,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,HCP,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooled-Income-Quantile,0,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,5,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,10,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,15,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooled-Income-Quantile,20,0.925,0.91,0.28632495871296654,0.009049861877399012,1000.0,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooling,0,0.925,0.902,0.2974634170523906,0.009401914698613255,1000.0,249540.2342870646,118249.30375255305,3739.371315871634,244450.9002524153,152005.7185393344,336769.5563197858,23113.32679801838,647720.0682481619,1000.0,1000.0,0.0,1.0,0.0
0.075,Pooling,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooling,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooling,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Pooling,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Repeated,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Repeated,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,S-HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,10,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,15,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,S-HCP,20,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Std-CP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Std-CP,5,0.925,0.775,0.41779127509983927,0.013205112646244256,1000.0,206019.61600041582,199997.0661148094,6324.462542740801,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
0.075,Std-CP,10,0.925,0.907,0.290577761426155,0.009184280047995052,1000.0,321544.9190705471,289322.2373454033,9149.172477473025,221753.96208609408,135849.2318909185,455504.8198699523,21098.185555605072,1985870.828916534,1000.0,1000.0,0.0,1.0,0.0
0.075,Std-CP,15,0.925,0.861,0.3461196307619647,0.010939789760319894,1000.0,243218.82068951154,180300.19432244336,5701.592766298803,180639.46166030972,119896.31321265988,301956.45073976746,21837.68833136584,1271773.7073021624,1000.0,1000.0,0.0,1.0,0.0
0.075,Std-CP,20,0.925,0.907,0.290577761426155,0.009184280047995052,1000.0,289892.2158307926,216029.51315721165,6831.453033941014,203766.77331818658,140355.7928954216,420152.8174142102,33672.08131466054,1320379.104293167,1000.0,1000.0,0.0,1.0,0.0
0.075,Subsampling,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.075,Subsampling,5,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Subsampling,10,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Subsampling,15,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.075,Subsampling,20,0.925,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,D-HCP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,D-HCP,5,0.9,0.9972962962962963,0.01227154921508469,0.001642069940649981,1000.0,632061.9580395792,171414.06413485785,10841.177313046615,614932.1673279061,516183.15173171,728749.7043999017,280810.7757892291,1133300.2295684265,1000.0,250.0,750.0,0.25,0.75
0.1,D-HCP,10,0.9,0.9759629629629629,0.03305637192882545,0.004843475806434588,1000.0,493318.7280205484,169832.14430559488,5370.563959160751,449601.3486468159,365165.91119443846,584912.0964925225,205760.30905404652,1281161.8917055828,1000.0,1000.0,0.0,1.0,0.0
0.1,D-HCP,15,0.9,0.9349629629629628,0.050868322308410735,0.0077978984893675215,1000.0,281375.6670089655,64249.105019211,2031.7350948806304,271530.44774473656,237055.21058346718,310735.94770132203,157751.925502847,769677.0369798514,1000.0,1000.0,0.0,1.0,0.0
0.1,D-HCP,20,0.9,0.8999999999999999,0.06290721807759299,0.009486832980505141,1000.0,215441.30000426658,35912.02840185926,1135.6380514653188,209918.01793829043,190228.62289688078,233085.5748286395,141964.71113125992,421359.5181559739,1000.0,1000.0,0.0,1.0,0.0
0.1,HCP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,HCP,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,HCP,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooled-Income-Quantile,0,0.9,1.0,0.0,0.0,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,5,0.9,1.0,0.0,0.0,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,10,0.9,1.0,0.0,0.0,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,15,0.9,1.0,0.0,0.0,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooled-Income-Quantile,20,0.9,1.0,0.0,0.0,1000.0,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooling,0,0.9,0.8848518518518519,0.06489613088698275,0.010094010705670974,1000.0,214162.37856821687,38039.14725805477,1202.9034558600188,209904.95168844805,185643.07009117125,238756.85576259965,128136.4959537544,377430.829298529,1000.0,1000.0,0.0,1.0,0.0
0.1,Pooling,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Pooling,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,Repeated,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,S-HCP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,S-HCP,5,0.9,0.8993333333333332,0.06138796126021922,0.00951487723982233,1000.0,234494.50322811597,29594.764072323385,935.8686128386202,232182.1796248476,214540.22376616148,254190.14611913826,154886.67053241548,351422.860970423,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,10,0.9,0.888,0.06283540785675239,0.00997276290703835,1000.0,207569.7694251405,21065.274048961666,666.1424553035619,205502.7301951957,192703.53137486294,221802.91750355827,158012.63900024278,281756.40345996566,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,15,0.9,0.8837037037037037,0.06386471226265297,0.010137626337760748,1000.0,196830.17827412576,17361.31375602575,549.012946418542,195874.7011733831,184407.72016582906,208348.00010414023,153773.3474243587,266730.2987342297,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,20,0.9,0.8925185185185185,0.06107310956625726,0.009794345951620632,1000.0,205002.14821836867,17703.853966897423,559.8450189840306,203953.80760090286,192576.508628652,215365.26468173004,158792.54583598327,280734.680098908,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,Std-CP,5,0.9,0.14229629629629625,0.06859821657676167,0.011047536393090222,1000.0,20878.140492997652,4441.340977951538,140.4475335576653,20312.285809057394,17664.266968885287,23600.759493201716,9265.3793527185,43831.61515134244,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,10,0.9,0.09018518518518513,0.05150290932569319,0.009058245832295512,1000.0,11527.013473617131,2128.359061765804,67.30462313838935,11355.461927605258,10022.177785706512,12892.163219277389,6102.0674507141775,20851.54110508601,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,15,0.9,0.06666666666666662,0.04693055321693687,0.007888106377466153,1000.0,8048.4944794191715,1409.0845910143757,44.55916723452258,7977.741450626081,7054.319111570389,8997.78955255509,4063.493869235615,12900.929662852372,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,20,0.9,0.053481481481481435,0.041970466919986536,0.00711485858046577,1000.0,6401.011272099821,1078.4092884795452,34.10229601476943,6357.004901925051,5648.282253342621,7058.926012262613,3746.4426766742145,10272.889658812575,1000.0,1000.0,0.0,1.0,0.0
0.1,Subsampling,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,Subsampling,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Subsampling,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.125,D-HCP,0,0.875,0.959,0.19838941090279585,0.006270486424512857,1000.0,368717.75712252466,177235.5103358391,5604.678949235658,369681.13855965715,223475.00254948478,487558.51455115905,30903.394207031393,985438.199089216,1000.0,1000.0,0.0,1.0,0.0
