method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
D-HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
D-HCP,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
D-HCP,10,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
D-HCP,15,0.05,0.95,672786.2865631231,19926.05435486065,173711.31455267227,663935.3980206652,531034.7079597982,778764.3733600349,365057.0366843191,1118789.0150608097,1000.0,76.0,924.0,0.076,0.924
D-HCP,20,0.05,0.95,392925.7896487826,5077.9961434203615,159047.50856512281,344017.63023852714,292271.2579947648,430519.4646988808,182045.62244011855,1166527.998961335,1000.0,981.0,19.0,0.981,0.019
HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
HCP,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.05,0.95,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.05,0.95,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.05,0.95,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.05,0.95,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.05,0.95,238000.0,0.0,0.0,238000.0,238000.0,238000.0,238000.0,238000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.05,0.95,296460.4051358173,1718.9586137889798,54358.24423138896,293695.8399576155,257687.55288275017,331291.8584156354,177345.19668484866,526020.8098286117,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Repeated,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,5,0.05,0.95,455642.9829661415,2409.609250804031,76198.53503552653,454456.7647732962,399983.4404001317,508412.56350247073,270254.13892320683,718426.3477457374,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.05,0.95,359370.7082034728,1883.1133144873693,59549.27165969039,355134.53335910075,315110.67563255836,396242.2288356917,228809.57628001503,589495.4494464807,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.05,0.95,284488.4282141519,1182.963887197831,37408.60273271647,281148.7493649192,256513.11313926635,307230.9266033304,195236.3354974672,445483.41575928667,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.05,0.95,311941.52970184066,1340.00558415045,42374.697232598475,308071.2188811747,281828.6579403759,339692.1661223185,208194.29231219125,454724.9580180174,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.05,0.95,20878.140492997652,140.4475335576653,4441.340977951538,20312.285809057394,17664.266968885287,23600.759493201716,9265.3793527185,43831.61515134244,1000.0,1000.0,0.0,1.0,0.0
Std-CP,10,0.05,0.95,11527.013473617131,67.30462313838935,2128.359061765804,11355.461927605258,10022.177785706512,12892.163219277389,6102.0674507141775,20851.54110508601,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.05,0.95,8048.4944794191715,44.55916723452258,1409.0845910143757,7977.741450626081,7054.319111570389,8997.78955255509,4063.493869235615,12900.929662852372,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.05,0.95,6401.011272099821,34.10229601476943,1078.4092884795452,6357.004901925051,5648.282253342621,7058.926012262613,3746.4426766742145,10272.889658812575,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Subsampling,5,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.05,0.95,,,,,,,,,0.0,0.0,0.0,,
D-HCP,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
D-HCP,5,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
D-HCP,10,0.075,0.925,654929.9492029402,12838.68352985854,375408.02407085156,583774.3955360032,369868.0953893334,865591.3318593177,99557.48859380573,2590223.140094505,1000.0,855.0,145.0,0.855,0.145
D-HCP,15,0.075,0.925,349358.95326179307,5858.514318002406,185262.48949595596,319866.9132897327,206355.93311817112,450373.89080874523,65558.8598926415,1237093.5607778905,1000.0,1000.0,0.0,1.0,0.0
D-HCP,20,0.075,0.925,256010.16259126065,4111.0771022938125,130003.67279813478,232507.41128355882,154956.01195386698,337503.98406148946,55800.93838438326,862338.692783395,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
HCP,5,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.075,0.925,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.075,0.925,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.075,0.925,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.075,0.925,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.075,0.925,198000.0,0.0,0.0,198000.0,198000.0,198000.0,198000.0,198000.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.075,0.925,249540.2342870646,3739.371315871634,118249.30375255305,244450.9002524153,152005.7185393344,336769.5563197858,23113.32679801838,647720.0682481619,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Repeated,5,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,5,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,10,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,15,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,20,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.075,0.925,206019.61600041582,6324.462542740801,199997.0661148094,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
Std-CP,10,0.075,0.925,321544.9190705471,9149.172477473025,289322.2373454033,221753.96208609408,135849.2318909185,455504.8198699523,21098.185555605072,1985870.828916534,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.075,0.925,243218.82068951154,5701.592766298803,180300.19432244336,180639.46166030972,119896.31321265988,301956.45073976746,21837.68833136584,1271773.7073021624,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.075,0.925,289892.2158307926,6831.453033941014,216029.51315721165,203766.77331818658,140355.7928954216,420152.8174142102,33672.08131466054,1320379.104293167,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Subsampling,5,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.075,0.925,,,,,,,,,0.0,0.0,0.0,,
D-HCP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
D-HCP,5,0.1,0.9,632061.9580395792,10841.177313046615,171414.06413485785,614932.1673279061,516183.15173171,728749.7043999017,280810.7757892291,1133300.2295684265,1000.0,250.0,750.0,0.25,0.75
D-HCP,10,0.1,0.9,493318.7280205484,5370.563959160751,169832.14430559488,449601.3486468159,365165.91119443846,584912.0964925225,205760.30905404652,1281161.8917055828,1000.0,1000.0,0.0,1.0,0.0
D-HCP,15,0.1,0.9,281375.6670089655,2031.7350948806304,64249.105019211,271530.44774473656,237055.21058346718,310735.94770132203,157751.925502847,769677.0369798514,1000.0,1000.0,0.0,1.0,0.0
D-HCP,20,0.1,0.9,215441.30000426658,1135.6380514653188,35912.02840185926,209918.01793829043,190228.62289688078,233085.5748286395,141964.71113125992,421359.5181559739,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
HCP,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.1,0.9,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.1,0.9,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.1,0.9,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.1,0.9,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.1,0.9,176965.0,0.0,0.0,176965.0,176965.0,176965.0,176965.0,176965.0,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.1,0.9,214162.37856821687,1202.9034558600188,38039.14725805477,209904.95168844805,185643.07009117125,238756.85576259965,128136.4959537544,377430.829298529,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Repeated,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,5,0.1,0.9,234494.50322811597,935.8686128386202,29594.764072323385,232182.1796248476,214540.22376616148,254190.14611913826,154886.67053241548,351422.860970423,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.1,0.9,207569.7694251405,666.1424553035619,21065.274048961666,205502.7301951957,192703.53137486294,221802.91750355827,158012.63900024278,281756.40345996566,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.1,0.9,196830.17827412576,549.012946418542,17361.31375602575,195874.7011733831,184407.72016582906,208348.00010414023,153773.3474243587,266730.2987342297,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.1,0.9,205002.14821836867,559.8450189840306,17703.853966897423,203953.80760090286,192576.508628652,215365.26468173004,158792.54583598327,280734.680098908,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.1,0.9,20878.140492997652,140.4475335576653,4441.340977951538,20312.285809057394,17664.266968885287,23600.759493201716,9265.3793527185,43831.61515134244,1000.0,1000.0,0.0,1.0,0.0
Std-CP,10,0.1,0.9,11527.013473617131,67.30462313838935,2128.359061765804,11355.461927605258,10022.177785706512,12892.163219277389,6102.0674507141775,20851.54110508601,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.1,0.9,8048.4944794191715,44.55916723452258,1409.0845910143757,7977.741450626081,7054.319111570389,8997.78955255509,4063.493869235615,12900.929662852372,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.1,0.9,6401.011272099821,34.10229601476943,1078.4092884795452,6357.004901925051,5648.282253342621,7058.926012262613,3746.4426766742145,10272.889658812575,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Subsampling,5,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.1,0.9,,,,,,,,,0.0,0.0,0.0,,
D-HCP,0,0.125,0.875,368717.75712252466,5604.678949235658,177235.5103358391,369681.13855965715,223475.00254948478,487558.51455115905,30903.394207031393,985438.199089216,1000.0,1000.0,0.0,1.0,0.0
D-HCP,5,0.125,0.875,283599.3506287323,4339.642884815021,137231.557477592,265533.120791699,176727.2314566013,370857.11702279304,39437.1808402525,1128221.1517457422,1000.0,1000.0,0.0,1.0,0.0
D-HCP,10,0.125,0.875,240784.80012572662,3710.020596368035,117321.15250659204,225342.81291954507,150677.81293042778,306212.4475637736,43018.081097900205,816293.4204644631,1000.0,1000.0,0.0,1.0,0.0
D-HCP,15,0.125,0.875,210847.61903401563,3183.1748854210077,100660.82828575894,197847.668322925,133546.79600243134,271844.91020122194,45206.26133398301,598801.5133748594,1000.0,1000.0,0.0,1.0,0.0
D-HCP,20,0.125,0.875,188757.330135539,2793.880761359893,88350.26716822611,175832.29609847494,119213.36070787605,241138.66916061973,40872.58705947108,512211.1512468129,1000.0,1000.0,0.0,1.0,0.0
HCP,0,0.125,0.875,340825.1953084046,5096.155386581472,161154.5833173334,334732.1736302705,205423.034277822,458101.93726547126,32529.20979647392,857377.8222919947,1000.0,1000.0,0.0,1.0,0.0
HCP,5,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
HCP,10,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.125,0.875,162568.75,0.0,0.0,162568.75,162568.75,162568.75,162568.75,162568.75,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.125,0.875,162568.75,0.0,0.0,162568.75,162568.75,162568.75,162568.75,162568.75,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.125,0.875,162568.75,0.0,0.0,162568.75,162568.75,162568.75,162568.75,162568.75,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.125,0.875,162568.75,0.0,0.0,162568.75,162568.75,162568.75,162568.75,162568.75,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.125,0.875,162568.75,0.0,0.0,162568.75,162568.75,162568.75,162568.75,162568.75,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.125,0.875,194538.97012505584,2881.970269276295,91135.90199801876,194661.4181332001,118578.20890067257,261741.3111689841,17734.874663530252,504998.2992617827,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.125,0.875,274131.1458535666,4071.5147443715873,128752.6011917244,270137.44298204524,164463.64071640727,371275.8280338599,24009.176715375695,641610.3499376391,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.125,0.875,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.125,0.875,302117.4385265657,6942.953720216062,219555.47445022193,243361.29262764973,141956.21088969382,409914.4107852132,13934.392875731508,1743406.1923262067,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.125,0.875,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,10,0.125,0.875,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,15,0.125,0.875,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,20,0.125,0.875,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,0,0.125,0.875,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.125,0.875,206019.61600041582,6324.462542740801,199997.0661148094,143962.1087971392,84791.07832323166,245402.99667006588,8237.767322928787,1932429.3861427037,1000.0,1000.0,0.0,1.0,0.0
Std-CP,10,0.125,0.875,186373.4665312916,4409.91390283916,139453.72218214226,145677.50178585213,96044.61457299827,228636.19342650933,11159.79788553411,866757.1376692767,1000.0,1000.0,0.0,1.0,0.0
Std-CP,15,0.125,0.875,243218.82068951154,5701.592766298803,180300.19432244336,180639.46166030972,119896.31321265988,301956.45073976746,21837.68833136584,1271773.7073021624,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.125,0.875,218724.29082613855,4899.670395834979,154941.18234937315,169361.64653097614,110701.81615542757,279001.49188480596,32615.830333096783,927203.1441645093,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.125,0.875,308768.94091626303,7032.006459259621,222371.56932276444,253810.83990833373,152714.91410659283,412204.52707900765,15651.301734549426,1825536.4017241416,1000.0,1000.0,0.0,1.0,0.0
