dataset,alpha,nominal_coverage,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,coverage_mean,n_finite_total,n_datasets,n_reruns,base_seed
poissonNmean21,0.05,0.95,0,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.05,0.95,5,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.05,0.95,10,8.513741712372974,0.3366550231615439,0.582136476682278,0.044089955238055,0.9944,250,25,50,456
poissonNmean21,0.05,0.95,15,7.52850228641926,0.4170144754930376,0.7924146123284881,0.0549037440084061,1.0,1209,25,50,456
poissonNmean21,0.05,0.95,20,6.884124250105293,0.4164226458853687,0.7077783281793775,0.0594239106219614,0.9416,1176,25,50,456
poissonNmean21,0.075,0.925,0,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.075,0.925,5,10.440211723969387,0.2088370850713983,0.3822939409004129,0.0270924957424097,0.9968,399,25,50,456
poissonNmean21,0.075,0.925,10,7.518456562385556,0.424966850604039,0.7073521049938499,0.0558292768243728,0.9824,1250,25,50,456
poissonNmean21,0.075,0.925,15,6.352011413439807,0.3404677228983685,0.4944335765177552,0.0540285834250503,0.9496,1250,25,50,456
poissonNmean21,0.075,0.925,20,6.06902846231759,0.3176677100770276,0.577848818549157,0.0517862437688833,0.9552,1244,25,50,456
poissonNmean21,0.1,0.9,0,12.032529267858676,0.5010819524793767,0.8973130175604279,0.0595027338169753,0.9936,693,25,50,456
poissonNmean21,0.1,0.9,5,8.495542578677062,0.4961930332903391,0.6752125343244938,0.056455901800348,0.9336,1250,25,50,456
poissonNmean21,0.1,0.9,10,6.53512264243178,0.3699154848779889,0.4542138249039354,0.0548725880319563,0.9696,1250,25,50,456
poissonNmean21,0.1,0.9,15,5.682182728772451,0.2528820675154118,0.3561717951606791,0.0439495739779635,0.8512000000000001,1250,25,50,456
poissonNmean21,0.1,0.9,20,5.36708695022054,0.22104108967731,0.3399878481916891,0.0409673250755686,0.9344,1231,25,50,456
poissonNmean21,0.125,0.875,0,10.498579250215538,0.7614793453757528,1.2293217392659723,0.0688560139694275,0.9824,1250,25,50,456
poissonNmean21,0.125,0.875,5,6.826222693142332,0.4233602490499341,0.510938938372827,0.060917601975053,0.9144,1250,25,50,456
poissonNmean21,0.125,0.875,10,5.702892776373537,0.2382703674101852,0.333262936888855,0.0419078133333631,0.9112,1250,25,50,456
poissonNmean21,0.125,0.875,15,5.433047893587904,0.3042642373233146,0.398605485377817,0.0521801601628724,0.8968,1250,25,50,456
poissonNmean21,0.125,0.875,20,5.017001612108812,0.2500171278458563,0.3381216824750753,0.0507537290427604,0.8144,1239,25,50,456
poissonNmean21,0.15,0.85,0,9.268007185531744,0.7381265982626126,0.9480630028696692,0.0727376366203441,0.8448,1250,25,50,456
poissonNmean21,0.15,0.85,5,6.45524983307762,0.5159320054011481,0.4724473514972617,0.0741797755967004,0.9496,1250,25,50,456
poissonNmean21,0.15,0.85,10,5.2930980863914305,0.2555551920418468,0.3408111035423347,0.0475554624245983,0.7951999999999999,1250,25,50,456
poissonNmean21,0.15,0.85,15,4.824749086089575,0.2297609981535307,0.2714255192780196,0.04817093417898,0.8704000000000001,1250,25,50,456
poissonNmean21,0.15,0.85,20,4.6383355954233085,0.1951466236575109,0.2195504715724446,0.0422987145888648,0.8,1250,25,50,456
poissonNmean21,0.175,0.825,0,7.47214528315424,0.6280643397798045,0.6566804874903327,0.0809921436880775,0.8664000000000001,1250,25,50,456
poissonNmean21,0.175,0.825,5,5.8460498470327185,0.3023910586911609,0.3809018317452686,0.0506775153566345,0.88,1250,25,50,456
poissonNmean21,0.175,0.825,10,5.294545391861355,0.3515733738803569,0.4263393219339398,0.059687654675242,0.8912,1250,25,50,456
poissonNmean21,0.175,0.825,15,4.5036421994089055,0.2265275790309521,0.2543129848870494,0.04969488336543,0.7792,1250,25,50,456
poissonNmean21,0.175,0.825,20,4.36730223493164,0.1746002836012094,0.2303063896599569,0.040036433820113,0.8351999999999999,1250,25,50,456
poissonNmean21,0.2,0.8,0,7.615023009829018,0.868260497847106,0.8376724854137351,0.1036433238474598,0.9208,1250,25,50,456
poissonNmean21,0.2,0.8,5,5.6631571377846255,0.3632063428291363,0.4649265666309221,0.0628825000094525,0.8759999999999999,1250,25,50,456
poissonNmean21,0.2,0.8,10,4.624953768467954,0.2672871780486848,0.2527387804982459,0.0568221119573988,0.8079999999999999,1250,25,50,456
poissonNmean21,0.2,0.8,15,4.269869312169003,0.1931471386160761,0.1804216752184898,0.044491567601576,0.7824,1250,25,50,456
poissonNmean21,0.2,0.8,20,4.062100689902258,0.2068864368497042,0.2019468134563711,0.0504019146410182,0.9408,1250,25,50,456
poissonNmean21,0.225,0.775,0,6.783855257725483,0.4784539940520042,0.5906316552236452,0.0685573244393806,0.7888,1250,25,50,456
poissonNmean21,0.225,0.775,5,5.541341201525228,0.5422078205992141,0.6026126250811049,0.0833058753547769,0.848,1250,25,50,456
poissonNmean21,0.225,0.775,10,4.330252363686808,0.240919673970882,0.2468819341644988,0.0556764089263107,0.768,1250,25,50,456
poissonNmean21,0.225,0.775,15,3.967061824104207,0.2404947667902815,0.2190832946042858,0.0606869346705431,0.8416,1250,25,50,456
poissonNmean21,0.225,0.775,20,3.857621134803954,0.1647788193985594,0.1988355774688998,0.0430542681325515,0.8176000000000001,1250,25,50,456
poissonNmean21,0.25,0.75,0,6.613206889466709,0.6195368955450661,0.7667446404262478,0.0913602103309811,0.9104,1250,25,50,456
poissonNmean21,0.25,0.75,5,4.8416483314231735,0.360768654122695,0.3692311327559497,0.0730754320802052,0.8704000000000001,1250,25,50,456
poissonNmean21,0.25,0.75,10,4.048888206070351,0.1883633153195046,0.1916440861594257,0.0461274216736471,0.7879999999999999,1250,25,50,456
poissonNmean21,0.25,0.75,15,3.846603142354513,0.2121395305587964,0.2117905791378484,0.0551653262625954,0.8464,1250,25,50,456
poissonNmean21,0.25,0.75,20,3.489018242188761,0.158446855265019,0.1544441014691089,0.0463254530702419,0.8,1250,25,50,456
