dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,D-HCP,0,0.25,0.75,0.81,0.012405643876881197,0.3924972026066607,1000.0
fixedN21,D-HCP,0,0.225,0.775,0.839,0.011622349160131098,0.3677148544921924,1000.0
fixedN21,D-HCP,0,0.2,0.8,0.852,0.011229247525992114,0.3552776691859794,1000.0
fixedN21,D-HCP,0,0.175,0.825,0.89,0.009894442884771228,0.3130463192532345,1000.0
fixedN21,D-HCP,0,0.15,0.85,0.908,0.009139803061335619,0.28917057184232914,1000.0
fixedN21,D-HCP,0,0.125,0.875,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,D-HCP,0,0.1,0.9,0.965,0.005811626278418119,0.1838717183495298,1000.0
fixedN21,D-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,D-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,D-HCP,5,0.25,0.75,0.807,0.012480024038438387,0.394850486775573,1000.0
fixedN21,D-HCP,5,0.225,0.775,0.832,0.011822690049223148,0.3740533597174551,1000.0
fixedN21,D-HCP,5,0.2,0.8,0.855,0.011134406135937382,0.3522770203960217,1000.0
fixedN21,D-HCP,5,0.175,0.825,0.881,0.010239091756596383,0.32395052700056526,1000.0
fixedN21,D-HCP,5,0.15,0.85,0.901,0.009444522221901962,0.29881145943268017,1000.0
fixedN21,D-HCP,5,0.125,0.875,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,D-HCP,5,0.1,0.9,0.96,0.00619677335393187,0.19605723255834875,1000.0
fixedN21,D-HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,D-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,D-HCP,10,0.25,0.75,0.79,0.01288021738946979,0.4075120440748544,1000.0
fixedN21,D-HCP,10,0.225,0.775,0.821,0.012122664723566351,0.3835441384066586,1000.0
fixedN21,D-HCP,10,0.2,0.8,0.852,0.011229247525992114,0.3552776691859794,1000.0
fixedN21,D-HCP,10,0.175,0.825,0.88,0.010276186062932104,0.32512413891574665,1000.0
fixedN21,D-HCP,10,0.15,0.85,0.896,0.009653186002558947,0.305413289293831,1000.0
fixedN21,D-HCP,10,0.125,0.875,0.915,0.008819013550278736,0.2790212408632233,1000.0
fixedN21,D-HCP,10,0.1,0.9,0.954,0.006624499981130654,0.20958990416508122,1000.0
fixedN21,D-HCP,10,0.075,0.925,0.972,0.005216895628628201,0.16505527329729044,1000.0
fixedN21,D-HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,D-HCP,15,0.25,0.75,0.777,0.013163244280951409,0.41646661864361284,1000.0
fixedN21,D-HCP,15,0.225,0.775,0.803,0.012577400367325513,0.3979313374809144,1000.0
