dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.05,D-HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,15,0.95,0.986,0.11754921445002436,0.0037153734670958734,1000.0,14.18344459728539,3.8278469204052885,0.12104714802941972,13.573343803755549,11.50932629202925,15.927358963279628,7.816188418214397,40.33323671421387,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP,20,0.95,0.951,0.21597603025716913,0.006826346021115546,1000.0,9.843602967086847,2.5767792095977633,0.08148491329697341,9.356290279571743,8.135063477501221,10.95735567318964,5.057696985061305,28.554077402399805,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP,35,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP no within,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,D-HCP no within,10,0.95,0.996,0.06315051850925683,0.0019959959919799443,1000.0,39.05332262893899,12.91264695194393,0.4083337498977361,36.599097189143414,29.761188622423422,45.63980038717621,16.160700372694258,125.68780029501696,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,15,0.95,0.979,0.1434558454005259,0.00453420334788814,1000.0,34.89962371446005,12.51344008880563,0.39570972044685465,32.04440395135295,26.100097517959316,40.905330207218405,11.819462536824863,121.47611328807264,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,20,0.95,0.965,0.1838717183495298,0.005811626278418119,1000.0,33.12130398868866,12.312186278825289,0.3893455161736086,30.378531482435335,24.519434636337408,38.908403963137516,11.316902782170422,118.0176294610682,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,25,0.95,0.966,0.18131981931624816,0.005730968504537434,1000.0,16.326742409190963,7.616774880103763,0.24086357045883816,15.06899982613265,10.548469429394387,20.448351238633116,3.930461083573114,50.98994135549282,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,30,0.95,0.97,0.17067257872642908,0.0053944415837044735,1000.0,16.55035846616009,7.652769299267533,0.24200181393496142,15.271737173747027,10.791085832102,20.82872954488118,3.930461083573114,50.98994135549282,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,D-HCP no within,35,0.95,0.973,0.162164414398774,0.005125524363418832,1000.0,16.741566229558472,7.6243761348936445,0.24110394324095105,15.386886385258068,11.012334396847457,21.086105238794882,3.930461083573114,55.31202936366334,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,HCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,15,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,20,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,HCP,35,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,Std-CP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.05,Std-CP,5,0.95,0.761,0.42668613881993056,0.01348625225924534,1000.0,6.284147618909103,5.103775294061123,0.1613955459492879,4.948570492014727,3.280242031898819,7.536961763808594,0.2169761753223742,52.61438612057687,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,10,0.95,0.824,0.3810107205436209,0.012042591083317579,1000.0,42.875838696033256,209.92822041457734,6.638513216559215,12.875167410374086,6.988952847787396,26.586501991414604,1.4215920221824303,4737.1595449011065,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,15,0.95,0.896,0.305413289293831,0.009653186002558947,1000.0,9.200488023551017,7.3457357149829265,0.23229255948991506,7.660374635444876,5.390007738979719,10.743113071983162,2.202015543400381,112.96715592362324,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,20,0.95,0.906,0.29197474077263813,0.009228434320078352,1000.0,6.754247748608624,2.9210078220406834,0.09237037780816347,6.235074474491613,4.758174581820932,7.956202148543776,1.8945314197269916,25.931609449088143,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,25,0.95,0.937,0.24308453280719053,0.007683163410991592,1000.0,6.632256408543384,2.3457039702769866,0.07417767262575187,6.276433532652586,4.929086421085151,8.002064845734527,2.270295207976231,16.81241046657423,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,30,0.95,0.932,0.2518718710762268,0.00796090447122687,1000.0,6.394802414307889,2.1810180278973545,0.068969845860443,6.1551966271230185,4.896424311778526,7.544657753527927,2.522306540346552,26.558533240276915,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,Std-CP,35,0.95,0.941,0.2357426023750789,0.007451107300260817,1000.0,6.418055344557658,2.046681058370978,0.06472173788376318,6.111558976481636,4.935243375601517,7.525677655748214,2.2916967236606887,14.246520015224494,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,0,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,D-HCP,5,0.925,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,0.075,D-HCP,10,0.925,0.972,0.16505527329729044,0.005216895628628201,1000.0,15.909359782762747,4.9436889288994195,0.1563331705868038,14.710864520769974,12.73968374388458,17.92853255337303,7.3909786187970035,61.60253015061994,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.075,D-HCP,15,0.925,0.951,0.21597603025716916,0.006826346021115546,1000.0,12.171055116015152,3.7644963167717638,0.11904382604313496,11.317575290910924,9.808958892179781,13.580658905670175,6.158979375221847,48.7449059055801,1000.0,1000.0,0.0,1.0,0.0
