dataset,method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,D-HCP,0,0.25,0.75,23.867104337533878,0.303501956853894,9.597574579764562,21.926880044446005,17.83789556187132,27.54372787357663,7.943340098187351,113.095653140838,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.225,0.775,25.185057074226656,0.3118986014246404,9.863099795229017,23.244471756792528,18.92770534400534,29.170531179927572,8.231139460000723,115.05259782454296,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.2,0.8,26.43053300628761,0.318322800011688,10.066250791992077,24.518010323540945,20.053972117327554,30.345251764269257,8.529862470075624,115.83050799260164,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.175,0.825,29.552761901793282,0.38537770414215133,12.186713045357042,26.801845991178915,21.849949192596238,34.09172398306781,9.011780286379448,148.42096044250408,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.15,0.85,31.55875572653967,0.40383121421747725,12.770264271985996,28.81178299027211,23.3614794873072,36.52984437578216,9.90677643480586,154.47006139423405,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.125,0.875,33.53131982079942,0.4132980768474167,13.0696327540514,30.816034517171907,24.865475441487565,38.69355226594356,10.568398101574868,156.36585919527118,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.1,0.9,36.18092421753743,0.4022347497254424,12.719779632001856,33.308128206655766,27.16946781446409,42.68731047347106,13.145330755907626,124.22033036443102,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,5,0.25,0.75,14.414077096076522,0.1750398650889282,5.535246550096046,13.277277265625823,11.051015582016571,16.49071143176561,5.852443746765972,69.09483873565546,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.225,0.775,15.216686020228869,0.1816489559906273,5.744244355220698,14.07947255205978,11.637532267212887,17.42535137391336,6.242349529019158,70.59033198032492,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.2,0.8,16.246789576185076,0.18820065094150387,5.951427141014648,15.060358558691995,12.53197235560266,18.66199552132017,6.563689651283719,71.59632338102355,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.175,0.825,17.31589557056871,0.19587871059849155,6.19422870628197,16.013202264034042,13.365742497704787,19.828751320138718,7.00907936890298,72.73125259984633,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.15,0.85,18.945422774171266,0.2333491591873623,7.379148331172707,17.268452333667668,14.275425025468712,21.556505297861605,7.451862349156993,93.10149241293637,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.125,0.875,20.25338823801421,0.24275902357044646,7.676714370411118,18.52481824929268,15.314402839786927,22.92925330887566,8.086064615174507,95.53150264693636,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.1,0.9,22.21692505233774,0.23811294983458675,7.529792618587076,20.677163312027496,17.01838000109295,25.807359897305638,8.74424203669448,72.48501257894138,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.075,0.925,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,10,0.25,0.75,9.260535012030502,0.10322390566128771,3.264226508680184,8.517748221549462,7.256738738142267,10.411678080752477,3.873793749921059,43.070552285674864,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.225,0.775,9.876378859721136,0.10838137944286994,3.4273201499042,9.125847865074963,7.7564462795260205,11.089722831867281,4.155421519317905,44.13481179987781,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.2,0.8,10.417849839242841,0.11237850638573892,3.553720402267117,9.575349166758107,8.160651027131104,11.76269867643791,4.347302715269112,44.98526380390726,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.175,0.825,11.181295494083706,0.11802229742434446,3.7321927454675254,10.333731094180791,8.840511225268195,12.645627168752162,4.738919480559999,46.024466018185024,1000.0,1000.0,0.0,1.0,0.0
