dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,D-HCP,0,0.25,0.75,0.799,0.01267276607532862,0.40094857495663927,1000.0
poissonNmean21,D-HCP,0,0.225,0.775,0.821,0.012122664723566351,0.3835441384066586,1000.0
poissonNmean21,D-HCP,0,0.2,0.8,0.841,0.011563693181678596,0.3658590614606298,1000.0
poissonNmean21,D-HCP,0,0.175,0.825,0.887,0.010011543337567888,0.3167512136225074,1000.0
poissonNmean21,D-HCP,0,0.15,0.85,0.901,0.009444522221901962,0.29881145943268017,1000.0
poissonNmean21,D-HCP,0,0.125,0.875,0.926,0.008277922444671728,0.2619018758859749,1000.0
poissonNmean21,D-HCP,0,0.1,0.9,0.968,0.005565608681896351,0.17608806605504818,1000.0
poissonNmean21,D-HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,5,0.25,0.75,0.787,0.012947239087929132,0.40963251677424095,1000.0
poissonNmean21,D-HCP,5,0.225,0.775,0.82,0.012149074038789953,0.38437969216355294,1000.0
poissonNmean21,D-HCP,5,0.2,0.8,0.839,0.011622349160131098,0.3677148544921924,1000.0
poissonNmean21,D-HCP,5,0.175,0.825,0.871,0.010599952830083727,0.33536766610910995,1000.0
poissonNmean21,D-HCP,5,0.15,0.85,0.896,0.009653186002558947,0.305413289293831,1000.0
poissonNmean21,D-HCP,5,0.125,0.875,0.923,0.008430361795320529,0.26672484350382913,1000.0
poissonNmean21,D-HCP,5,0.1,0.9,0.948,0.007021111023192843,0.22213812222431648,1000.0
poissonNmean21,D-HCP,5,0.075,0.925,0.992,0.0028170906978654425,0.08912880535463236,1000.0
poissonNmean21,D-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,10,0.25,0.75,0.778,0.013142145943490354,0.4157990967870047,1000.0
poissonNmean21,D-HCP,10,0.225,0.775,0.804,0.01255324659201754,0.39716714584887525,1000.0
poissonNmean21,D-HCP,10,0.2,0.8,0.83,0.0118785521003193,0.3758207567993567,1000.0
poissonNmean21,D-HCP,10,0.175,0.825,0.857,0.011070275515993268,0.3502480173729377,1000.0
poissonNmean21,D-HCP,10,0.15,0.85,0.89,0.009894442884771228,0.31304631925323445,1000.0
poissonNmean21,D-HCP,10,0.125,0.875,0.915,0.008819013550278736,0.2790212408632233,1000.0
poissonNmean21,D-HCP,10,0.1,0.9,0.937,0.007683163410991592,0.24308453280719053,1000.0
poissonNmean21,D-HCP,10,0.075,0.925,0.969,0.005480784615363026,0.17340435135563662,1000.0
poissonNmean21,D-HCP,10,0.05,0.95,0.993,0.002636474919281427,0.08341437500789631,1000.0
poissonNmean21,D-HCP,15,0.25,0.75,0.75,0.013693063937629153,0.4332293707583636,1000.0
poissonNmean21,D-HCP,15,0.225,0.775,0.776,0.013184233007649704,0.41713067256915787,1000.0
poissonNmean21,D-HCP,15,0.2,0.8,0.797,0.012719709116170855,0.402433787041984,1000.0
poissonNmean21,D-HCP,15,0.175,0.825,0.826,0.011988494484296184,0.37929917989348183,1000.0
poissonNmean21,D-HCP,15,0.15,0.85,0.862,0.01090669519148674,0.3450725649411658,1000.0
poissonNmean21,D-HCP,15,0.125,0.875,0.89,0.009894442884771228,0.31304631925323445,1000.0
poissonNmean21,D-HCP,15,0.1,0.9,0.918,0.008676174272108645,0.27450200609713465,1000.0
poissonNmean21,D-HCP,15,0.075,0.925,0.943,0.007331507348424336,0.23195862735583866,1000.0
poissonNmean21,D-HCP,15,0.05,0.95,0.972,0.005216895628628201,0.16505527329729044,1000.0
poissonNmean21,D-HCP,20,0.25,0.75,0.768,0.013348258313353095,0.4223202035829619,1000.0
poissonNmean21,D-HCP,20,0.225,0.775,0.794,0.0127892142057282,0.40463283075861217,1000.0
poissonNmean21,D-HCP,20,0.2,0.8,0.814,0.012304633273690038,0.38930136855083824,1000.0
poissonNmean21,D-HCP,20,0.175,0.825,0.837,0.011680368144883107,0.36955049393495276,1000.0
poissonNmean21,D-HCP,20,0.15,0.85,0.862,0.01090669519148674,0.3450725649411658,1000.0
poissonNmean21,D-HCP,20,0.125,0.875,0.888,0.00997276290703835,0.3155242550986462,1000.0
poissonNmean21,D-HCP,20,0.1,0.9,0.911,0.009004387819280108,0.2848862231842041,1000.0
poissonNmean21,D-HCP,20,0.075,0.925,0.938,0.00762600813007697,0.24127621974453717,1000.0
poissonNmean21,D-HCP,20,0.05,0.95,0.962,0.006046155803483734,0.19129190414806527,1000.0
poissonNmean21,D-HCP,25,0.25,0.75,0.812,0.01235540367612487,0.3909076729981247,1000.0
poissonNmean21,D-HCP,25,0.225,0.775,0.841,0.011563693181678596,0.36585906146062974,1000.0
poissonNmean21,D-HCP,25,0.2,0.8,0.862,0.01090669519148674,0.3450725649411658,1000.0
poissonNmean21,D-HCP,25,0.175,0.825,0.89,0.009894442884771228,0.31304631925323445,1000.0
poissonNmean21,D-HCP,25,0.15,0.85,0.909,0.009094998625618366,0.2877530222287888,1000.0
poissonNmean21,D-HCP,25,0.125,0.875,0.934,0.007851369307324675,0.2484063318550993,1000.0
poissonNmean21,D-HCP,25,0.1,0.9,0.958,0.006343185319695463,0.20068950215762724,1000.0
poissonNmean21,D-HCP,25,0.075,0.925,0.972,0.005216895628628201,0.16505527329729047,1000.0
poissonNmean21,D-HCP,25,0.05,0.95,0.991,0.0029864694875387575,0.09448771310560927,1000.0
poissonNmean21,D-HCP,30,0.25,0.75,0.787,0.012947239087929132,0.409632516774241,1000.0
poissonNmean21,D-HCP,30,0.225,0.775,0.837,0.011680368144883107,0.36955049393495276,1000.0
poissonNmean21,D-HCP,30,0.2,0.8,0.842,0.011534123287012326,0.36492351139542817,1000.0
poissonNmean21,D-HCP,30,0.175,0.825,0.897,0.009612023720320294,0.304110972316823,1000.0
poissonNmean21,D-HCP,30,0.15,0.85,0.9,0.009486832980505136,0.3001501125938321,1000.0
poissonNmean21,D-HCP,30,0.125,0.875,0.9,0.009486832980505136,0.3001501125938321,1000.0
