dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,GHCP,0,0.125,0.875,0.906,0.009228434320078352,0.29197474077263813,1000.0
fixedN21,GHCP,0,0.1,0.9,0.943,0.007331507348424336,0.23195862735583866,1000.0
fixedN21,GHCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,GHCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,5,0.125,0.875,0.91,0.009049861877399012,0.28632495871296654,1000.0
fixedN21,GHCP,5,0.1,0.9,0.946,0.0071473071852271785,0.22613079209858866,1000.0
fixedN21,GHCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,GHCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,10,0.125,0.875,0.904,0.009315793041926167,0.2947386484173239,1000.0
fixedN21,GHCP,10,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
fixedN21,GHCP,10,0.075,0.925,0.967,0.005648982209212561,0.17872588772459053,1000.0
fixedN21,GHCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,15,0.125,0.875,0.893,0.009775019181566856,0.3092679204939411,1000.0
fixedN21,GHCP,15,0.1,0.9,0.929,0.008121514637061239,0.2569533518462544,1000.0
fixedN21,GHCP,15,0.075,0.925,0.952,0.006759881655768837,0.21387319079712103,1000.0
fixedN21,GHCP,15,0.05,0.95,0.983,0.004087909000944127,0.1293357171384909,1000.0
fixedN21,GHCP,20,0.125,0.875,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,GHCP,20,0.1,0.9,0.904,0.009315793041926167,0.2947386484173239,1000.0
fixedN21,GHCP,20,0.075,0.925,0.915,0.008819013550278736,0.27902124086322333,1000.0
fixedN21,GHCP,20,0.05,0.95,0.955,0.00655553201502365,0.2074078542823729,1000.0
fixedN21,GHCP,25,0.125,0.875,0.929,0.008121514637061239,0.2569533518462544,1000.0
fixedN21,GHCP,25,0.1,0.9,0.93,0.008068457101577721,0.25527468571161765,1000.0
fixedN21,GHCP,25,0.075,0.925,0.929,0.008121514637061239,0.2569533518462544,1000.0
fixedN21,GHCP,25,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,30,0.125,0.875,0.87,0.010634848376916336,0.3364717123521875,1000.0
fixedN21,GHCP,30,0.1,0.9,0.933,0.007906389820898028,0.2501471038680511,1000.0
fixedN21,GHCP,30,0.075,0.925,0.929,0.008121514637061239,0.25695335184625445,1000.0
fixedN21,GHCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP,35,0.125,0.875,0.896,0.009653186002558947,0.305413289293831,1000.0
fixedN21,GHCP,35,0.1,0.9,0.944,0.007270763371201131,0.23003677296666486,1000.0
fixedN21,GHCP,35,0.075,0.925,0.941,0.007451107300260817,0.2357426023750789,1000.0
fixedN21,GHCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP no within,0,0.125,0.875,0.906,0.009228434320078352,0.29197474077263813,1000.0
fixedN21,GHCP no within,0,0.1,0.9,0.943,0.007331507348424336,0.23195862735583866,1000.0
fixedN21,GHCP no within,0,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,GHCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,GHCP no within,5,0.125,0.875,0.898,0.009570579919733181,0.30279974849343533,1000.0
