dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.05,GHCP,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP,10,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP,15,0.95,0.983,0.1293357171384909,0.004087909000944127,1000.0,13.633167407862992,2.568682665163955,0.08122887808109748,13.317211566610634,11.802894831506343,15.058346784435052,7.355219402609329,22.482926578128627,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP,20,0.95,0.955,0.2074078542823729,0.00655553201502365,1000.0,9.418286379818214,1.7039329288406706,0.0538830903529813,9.286874357781013,8.187094284735993,10.380912469546521,5.34937277698036,16.101689439208478,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP,25,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP,30,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP,35,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP no within,0,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP no within,5,0.95,1.0,0.0,0.0,1000.0,,,,,,,,,0.0,0.0,0.0,,
fixedN21,0.05,GHCP no within,10,0.95,0.994,0.07726558075864033,0.002442130217658347,1000.0,35.96938154585695,8.47613069189739,0.2680387873165467,35.28774623910155,30.099158394773223,40.89104949736646,14.25051444909374,67.98086065746406,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP no within,15,0.95,0.956,0.20519772441746548,0.006485676526007139,1000.0,32.56381337399498,8.231194887081399,0.26029323707909696,31.708366253179193,26.852195571953228,37.62812933250754,12.067807479020251,64.2444132613156,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP no within,20,0.95,0.945,0.22809433799861636,0.007209368904418752,1000.0,31.024627303481502,8.085308927356571,0.25567991796539646,30.07822043843467,25.38152720727301,36.062627662616954,11.541904575880686,62.673310873183006,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.05,GHCP no within,25,0.95,0.956,0.2051977244174655,0.006485676526007139,1000.0,17.18985130000198,8.790506638307626,0.27798022763882047,15.54443910686398,10.211575953018114,22.33813396564847,3.166724660532381,49.63622124975093,1000.0,1000.0,0.0,1.0,0.0
