dataset,method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,D-HCP,0,0.1,0.9,33.60438851809167,0.25697663965256357,8.126314867584414,32.563011172515104,27.728673736802467,38.74639199531503,13.187523300121953,67.64871185434993,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,5,0.1,0.9,21.00663391760852,0.15324775586723355,4.846119548498903,20.435083721123437,17.47948561031984,23.84575213054921,9.741985472166885,42.11899416112035,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,10,0.1,0.9,13.533574688693363,0.08803038060467094,2.783765060022707,13.202937985416023,11.542116922517932,15.154720869615488,6.5696168027166175,23.404958208252452,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,15,0.1,0.9,10.449796616927745,0.06129828579225314,1.9384219976745887,10.232708122281014,9.108491985441123,11.654585432284588,5.833156452313734,17.858325873697773,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.05,0.95,13.689560719415814,0.0820431202463443,2.5944312632552267,13.291706987055548,11.869565238798936,15.323719063566172,7.0286669054967135,27.35053781849234,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.1,0.9,7.923950408049643,0.040641241497556345,1.2851889006923052,7.784546371167146,7.02874445811373,8.722008840853995,4.6975532617002465,12.585390329017311,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.05,0.95,9.427243011519957,0.04984000867042984,1.5760794600109862,9.286936932531159,8.320060050945255,10.342374023320048,5.515162309927404,15.399917801806104,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,25,0.1,0.9,7.711236356220069,0.09091929120016022,2.8751204344061017,7.195796286152332,5.548825231578427,9.279946861934611,2.572381253505412,19.742333273774236,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,25,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,30,0.1,0.9,7.509077555333936,0.08363332953260347,2.644718096264523,7.137418902171444,5.495341234184475,8.971154631222522,2.546504337496808,18.956932607183823,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,30,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,35,0.1,0.9,7.566363350663274,0.07825457253186269,2.4746268652353547,7.153853597724435,5.756572564126307,9.023161313067202,3.001756107192235,18.35322341351803,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,35,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP no within,0,0.1,0.9,33.60438851809167,0.25697663965256357,8.126314867584414,32.563011172515104,27.728673736802467,38.74639199531503,13.187523300121953,67.64871185434993,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP no within,5,0.1,0.9,31.55265577878531,0.24906409311731245,7.876098176149742,30.501613793747484,25.947424374132332,36.440883390657,12.0428934235329,63.687965651905785,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP no within,10,0.1,0.9,30.152009911706898,0.24275632758948615,7.676629116007488,29.17910031171965,24.624830085643808,34.928434956282565,11.457438101912166,59.9345296264309,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,10,0.05,0.95,36.06753826800939,0.25827224256637704,8.167285429092429,34.99564799125147,30.05055061405924,41.05113508403142,14.981289421509253,70.66224634252258,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,15,0.1,0.9,28.81763373447986,0.23191016740324513,7.3336434154519115,28.039734595633945,23.495186283048568,33.15967965464242,11.122329394441142,57.9935945189668,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,15,0.05,0.95,32.60202667120193,0.2507893558884926,7.930655775341973,31.703051124712374,26.96466419123577,37.29826775691848,12.151964500708315,65.91091338567547,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,20,0.1,0.9,26.12396653518023,0.18967497269183248,5.998049288364292,25.570184244650005,21.721066268556847,29.962325405489086,10.532412244245585,47.49542528103229,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,20,0.05,0.95,31.030214526799305,0.2447463494016438,7.739559131205827,30.100614723737827,25.545764141824648,35.56338934820436,11.761502391355098,60.94622359600085,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,25,0.1,0.9,15.184035853835919,0.2760884361077979,8.730682937345142,13.231680555741168,8.392885630982713,19.64322146874932,2.8696051356164185,54.29694430248652,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,25,0.05,0.95,16.406603506812065,0.2784352363006405,8.804895275572191,14.522222285191175,9.551592797510512,21.001684464118874,3.1676016697300593,54.8606425097654,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,30,0.1,0.9,14.778633136905505,0.2748319320571721,8.690948790453092,12.805052369647418,7.91497528766053,19.069341277930178,2.662476355871815,54.8606425097654,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,30,0.05,0.95,16.64254066250933,0.2794487539586168,8.836945518052238,14.604292341135551,9.836529772065246,21.274179461263557,3.399625597600397,57.56885615414333,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,35,0.1,0.9,15.012545049521307,0.2752110858329698,8.702938685602827,13.06496023880438,8.185982666111256,19.400425640156815,2.662476355871815,54.8606425097654,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP no within,35,0.05,0.95,16.841711008026238,0.2795917104048467,8.841466197815137,14.829297524565664,10.017394679762736,21.496587779702665,3.399625597600397,57.56885615414333,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,0,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,5,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,5,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,10,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,10,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,15,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,15,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,20,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,20,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,25,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,25,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,30,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,30,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,HCP,35,0.1,0.9,33.76135226154451,0.26378376258074865,8.341574995242611,33.084841901953226,27.710738010261732,38.31920708283265,13.698321330959436,62.36530522768754,1000.0,1000.0,0.0,1.0,0.0
fixedN21,HCP,35,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,Std-CP,0,0.1,0.9,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,Std-CP,0,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
