dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,D-HCP,0,0.1,0.9,0.96,0.00619677335393187,0.19605723255834875,1000.0
poissonNmean21,D-HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,5,0.1,0.9,0.941,0.007451107300260817,0.23574260237507888,1000.0
poissonNmean21,D-HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,10,0.1,0.9,0.939,0.007568289106528638,0.239450070654273,1000.0
poissonNmean21,D-HCP,10,0.05,0.95,0.996,0.0019959959919799443,0.06315051850925683,1000.0
poissonNmean21,D-HCP,15,0.1,0.9,0.914,0.008865889690267975,0.28050433629924987,1000.0
poissonNmean21,D-HCP,15,0.05,0.95,0.978,0.004638534251247911,0.14675672910479282,1000.0
poissonNmean21,D-HCP,20,0.1,0.9,0.919,0.008627803892068941,0.272971634998059,1000.0
poissonNmean21,D-HCP,20,0.05,0.95,0.979,0.00453420334788814,0.14345584540052586,1000.0
poissonNmean21,D-HCP,25,0.1,0.9,0.961,0.006122009474020767,0.19369180807797864,1000.0
poissonNmean21,D-HCP,25,0.05,0.95,0.993,0.002636474919281427,0.08341437500789631,1000.0
poissonNmean21,D-HCP,30,0.1,0.9,0.951,0.006826346021115546,0.21597603025716913,1000.0
poissonNmean21,D-HCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP,35,0.1,0.9,0.949,0.006956938982052382,0.22010780869257554,1000.0
poissonNmean21,D-HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP no within,0,0.1,0.9,0.96,0.00619677335393187,0.19605723255834875,1000.0
poissonNmean21,D-HCP no within,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP no within,5,0.1,0.9,0.922,0.008480330182251158,0.26830577330349786,1000.0
poissonNmean21,D-HCP no within,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,D-HCP no within,10,0.1,0.9,0.909,0.009094998625618366,0.28775302222878874,1000.0
poissonNmean21,D-HCP no within,10,0.05,0.95,0.985,0.0038438262187565153,0.121613279660528,1000.0
poissonNmean21,D-HCP no within,15,0.1,0.9,0.889,0.00993373041711924,0.31428932176861785,1000.0
poissonNmean21,D-HCP no within,15,0.05,0.95,0.957,0.006414904519944161,0.20295859723646148,1000.0
poissonNmean21,D-HCP no within,20,0.1,0.9,0.905,0.009272270487857868,0.29336165574434064,1000.0
poissonNmean21,D-HCP no within,20,0.05,0.95,0.963,0.005969170796685251,0.18885620632287056,1000.0
poissonNmean21,D-HCP no within,25,0.1,0.9,0.93,0.008068457101577721,0.2552746857116176,1000.0
poissonNmean21,D-HCP no within,25,0.05,0.95,0.978,0.004638534251247911,0.14675672910479282,1000.0
poissonNmean21,D-HCP no within,30,0.1,0.9,0.916,0.008771772910877251,0.2775266131761439,1000.0
poissonNmean21,D-HCP no within,30,0.05,0.95,0.972,0.005216895628628201,0.16505527329729044,1000.0
poissonNmean21,D-HCP no within,35,0.1,0.9,0.914,0.008865889690267975,0.28050433629924987,1000.0
poissonNmean21,D-HCP no within,35,0.05,0.95,0.973,0.005125524363418832,0.16216441439877397,1000.0
poissonNmean21,HCP,0,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,5,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,10,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,10,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,15,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,15,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,20,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,20,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,25,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,25,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,30,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,30,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,35,0.1,0.9,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,5,0.1,0.9,0.756,0.013581752464244074,0.42970763159228237,1000.0
poissonNmean21,Std-CP,5,0.05,0.95,0.756,0.013581752464244074,0.42970763159228237,1000.0
poissonNmean21,Std-CP,10,0.1,0.9,0.847,0.011383804285035824,0.3601676286407771,1000.0
poissonNmean21,Std-CP,10,0.05,0.95,0.847,0.011383804285035824,0.3601676286407771,1000.0
poissonNmean21,Std-CP,15,0.1,0.9,0.904,0.009315793041926167,0.2947386484173239,1000.0
poissonNmean21,Std-CP,15,0.05,0.95,0.904,0.009315793041926167,0.2947386484173239,1000.0
poissonNmean21,Std-CP,20,0.1,0.9,0.93,0.008068457101577721,0.2552746857116176,1000.0
poissonNmean21,Std-CP,20,0.05,0.95,0.93,0.008068457101577721,0.2552746857116176,1000.0
poissonNmean21,Std-CP,25,0.1,0.9,0.932,0.00796090447122687,0.2518718710762268,1000.0
poissonNmean21,Std-CP,25,0.05,0.95,0.932,0.00796090447122687,0.2518718710762268,1000.0
poissonNmean21,Std-CP,30,0.1,0.9,0.938,0.00762600813007697,0.24127621974453717,1000.0
poissonNmean21,Std-CP,30,0.05,0.95,0.938,0.00762600813007697,0.24127621974453717,1000.0
poissonNmean21,Std-CP,35,0.1,0.9,0.953,0.00669260786241059,0.21174474216810166,1000.0
poissonNmean21,Std-CP,35,0.05,0.95,0.953,0.00669260786241059,0.21174474216810166,1000.0
