state,split,n_obs,y_mean,y_std,y_min,y_max
AK,test,2,11.0421,0.3144,10.8198,11.2645
AL,test,6,11.1171,0.5497,10.5967,12.1007
AR,test,4,10.3808,0.5022,9.9523,10.9151
DE,test,3,11.3526,0.1714,11.1563,11.4721
FL,test,118,11.3595,0.5682,10.7579,13.1022
GA,test,40,11.4046,0.4339,10.8198,13.0626
IA,test,7,11.299,0.4175,10.8198,11.8494
ID,test,2,11.41,0.2803,11.2118,11.6082
IN,test,13,11.492,0.6706,10.9041,12.9528
KY,test,11,11.0042,0.4145,10.6454,11.7361
MD,test,24,11.6913,0.4876,11.1563,13.1268
MN,test,8,11.6728,0.7433,11.0822,13.0969
MS,test,3,11.0482,0.2353,10.8198,11.2898
NC,test,38,11.298,0.4348,10.7144,12.9341
ND,test,1,10.8396,,10.8396,10.8396
NE,test,6,11.3161,0.1267,11.1273,11.4076
NV,test,9,11.6487,0.6559,11.0822,13.0412
PA,test,28,11.351,0.3141,10.9508,12.0725
SC,test,8,11.3684,0.3772,10.9508,11.8494
SD,test,1,10.9151,,10.9151,10.9151
TN,test,20,11.2742,0.3524,11.0021,12.2061
WA,test,38,12.0126,0.3357,11.6953,13.6158
WV,test,1,11.0021,,11.0021,11.0021
WY,test,1,10.309,,10.309,10.309
AZ,train,19,11.2362,0.5027,10.5967,12.3458
CA,train,239,11.8019,0.394,11.3386,13.2455
CO,train,17,11.2712,0.3255,11.0021,12.0725
CT,train,20,11.5599,0.5462,11.1563,13.5836
HI,train,7,11.0359,0.3531,10.5967,11.5617
IL,train,42,11.6526,0.2911,11.2898,12.4411
KS,train,7,10.6235,0.1977,10.4312,11.0349
LA,train,4,11.383,0.3482,11.0822,11.7118
MA,train,44,11.4963,0.3092,11.0186,12.5245
ME,train,1,10.9682,,10.9682,10.9682
MI,train,25,11.3643,0.1947,11.0822,11.9184
MO,train,6,11.1204,0.2563,10.8198,11.5129
NH,train,2,11.5228,0.2438,11.3504,11.6953
NJ,train,55,11.8127,0.3572,11.3302,12.8739
NM,train,7,10.7452,0.1511,10.5454,10.9331
NY,train,92,11.7277,0.6471,11.0021,13.8586
OH,train,21,11.2308,0.248,11.0021,11.9184
OK,train,8,10.4915,0.2284,10.309,10.8396
OR,train,12,11.4712,0.256,11.0021,11.8505
RI,train,4,11.1043,0.5963,10.309,11.7361
TX,train,107,11.5581,0.4845,10.9331,13.0562
UT,train,7,11.0882,0.3536,10.8198,11.6614
VA,train,34,11.401,0.2573,10.8667,11.7753
VT,train,2,11.2465,0.4458,10.9313,11.5617
WI,train,6,11.2413,0.3269,10.779,11.5899
