replicate,method,o,coverage,width,width_income
1,donor-HCP-randomized,0,0.7667,1.8371,138143.6824
1,donor-HCP-randomized,5,0.9667,1.7949,131811.0417
1,donor-HCP-randomized,10,0.8667,1.7125,118046.6592
1,donor-HCP-randomized,20,0.7586,1.5595,97264.0384
1,donor-HCP-derandomized,0,0.9333,3.1779,308916.6049
1,donor-HCP-derandomized,5,1.0,2.8632,258341.0463
1,donor-HCP-derandomized,10,0.9667,2.5,197908.1701
1,donor-HCP-derandomized,20,0.931,2.1784,150524.6186
1,sample-HCP-randomized,0,0.7667,1.7762,149104.7554
1,sample-HCP-randomized,5,0.9667,1.6192,119717.1806
1,sample-HCP-randomized,10,0.8333,1.5893,108269.8407
1,sample-HCP-randomized,20,0.7586,1.5728,99261.5934
1,sample-HCP-derandomized,0,0.9,3.0653,290496.1263
1,sample-HCP-derandomized,5,1.0,2.1907,175395.0455
1,sample-HCP-derandomized,10,0.9667,2.1422,158849.3783
1,sample-HCP-derandomized,20,0.931,2.1124,144865.8666
1,HCP,0,0.7667,1.8371,138143.6824
1,HCP,5,0.9667,1.8371,135475.7235
1,HCP,10,0.8667,1.8371,128846.0363
1,HCP,20,0.8276,1.8371,118922.2207
1,Pooling,0,0.7667,1.5414,111389.8974
1,Pooling,5,0.9667,1.5414,109238.6324
1,Pooling,10,0.8333,1.5414,103892.8926
1,Pooling,20,0.7241,1.5414,95890.9864
1,Subsampling,0,0.7667,1.6897,124460.7269
1,Subsampling,5,0.9667,1.6897,122057.026
1,Subsampling,10,0.8667,1.6897,116084.0008
1,Subsampling,20,0.7931,1.6897,107143.1265
1,Repeated,0,0.8,1.9869,152811.2447
1,Repeated,5,1.0,1.9869,149860.0122
1,Repeated,10,0.9333,1.9869,142526.4104
1,Repeated,20,0.8966,1.9869,131548.9225
1,Std-CP,0,1.0,,
1,Std-CP,5,0.8,7.9028,190815427.0206
1,Std-CP,10,0.9,6.4176,6256709155002.687
1,Std-CP,20,0.8966,5.532,1053689352.7266
2,donor-HCP-randomized,0,0.8667,2.1509,149684.3427
2,donor-HCP-randomized,5,1.0,2.1558,151184.0831
2,donor-HCP-randomized,10,0.8667,2.1601,140340.0134
2,donor-HCP-randomized,20,0.8,1.8479,119236.0471
2,donor-HCP-derandomized,0,0.9333,3.2532,282261.0418
2,donor-HCP-derandomized,5,1.0,3.0039,248567.5707
2,donor-HCP-derandomized,10,0.9333,2.6278,187462.0343
2,donor-HCP-derandomized,20,0.8667,2.2664,155864.8542
2,sample-HCP-randomized,0,0.7667,1.9666,137453.0837
2,sample-HCP-randomized,5,0.9667,1.8495,123959.1535
2,sample-HCP-randomized,10,0.7333,1.8252,114210.6493
2,sample-HCP-randomized,20,0.7333,1.7377,110333.7688
2,sample-HCP-derandomized,0,0.9333,3.2191,277101.1851
2,sample-HCP-derandomized,5,1.0,2.4165,177123.7735
2,sample-HCP-derandomized,10,0.9333,2.3808,161915.4108
2,sample-HCP-derandomized,20,0.8333,2.2173,151259.9718
2,HCP,0,0.8667,2.1509,149684.3427
2,HCP,5,1.0,2.1509,150758.9775
2,HCP,10,0.8667,2.1509,139499.8328
2,HCP,20,0.8333,2.1509,147327.2559
2,Pooling,0,0.8,1.8624,123865.2312
2,Pooling,5,0.9667,1.8624,124754.5018
