test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
AK,0,1,HCP++,1,2.267047971351822,0,10.460319669638862,12.727367640990684,10.62135173563291,11.593843655314773,25,788,2
AK,0,1,HCP.sample,1,2.076329157980826,0,10.558940921943142,12.635270079923968,10.62135173563291,11.593843655314773,25,788,2
AK,0,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,0,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
AK,0,1,Subsampling,1,2.7909171180250922,0,10.201646941921009,12.992564059946101,10.62135173563291,11.597105500933555,25,788,2
AK,0,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,25,1,HCP++,1,2.2920306636558934,0,10.451415291463778,12.743445955119672,10.62135173563291,11.597430623291725,25,788,2
AK,25,1,HCP.sample,1,2.249439739269146,0,10.472385631298982,12.721825370568128,10.62135173563291,11.597430623291725,25,788,2
AK,25,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,25,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
AK,25,1,Subsampling,1,2.290091006530517,0,10.452059997668297,12.742151004198814,10.62135173563291,11.597105500933555,25,788,2
AK,25,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,50,1,HCP++,1,2.274497067485207,0,10.452326828416895,12.726823895902102,10.62135173563291,11.589575362159499,25,788,2
AK,50,1,HCP.sample,1,2.076329157980826,0,10.558940921943142,12.635270079923968,10.62135173563291,11.589575362159499,25,788,2
AK,50,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,50,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
AK,50,1,Subsampling,1,2.249439739269146,0,10.472385631298982,12.721825370568128,10.62135173563291,11.597105500933555,25,788,2
AK,50,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,75,1,HCP++,1,2.2940852773356077,0,10.445806413275513,12.73989169061112,10.62135173563291,11.592849051943316,25,788,2
AK,75,1,HCP.sample,1,2.290091006530517,0,10.452059997668297,12.742151004198814,10.62135173563291,11.592849051943316,25,788,2
AK,75,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AK,75,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,2
AK,75,1,Subsampling,0,1.8924580888063147,0,10.650876456530398,12.543334545336712,10.62135173563291,11.597105500933555,25,788,2
AK,75,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,2
AL,0,4,HCP++,1,3.699091739412843,0,9.019307411497518,12.718399150910361,10.596659732783579,10.86885328120394,25,788,6
AL,0,4,HCP.sample,1,2.778131907969602,0,9.4683422097632,12.246474117732802,10.596659732783579,10.86885328120394,25,788,6
AL,0,4,HCP,0,2.2537646510347678,0,10.712102170487801,12.96586682152257,10.596659732783579,11.838984496005185,25,788,6
AL,0,4,Pooling,0,1.9912474819854324,0,10.843360755012469,12.834608236997902,10.596659732783579,11.838984496005185,25,788,6
AL,0,4,Subsampling,0,2.243684923298453,0,10.717142034355959,12.960826957654412,10.596659732783579,11.838984496005185,25,788,6
AL,0,4,Repeated,0,2.290091006530517,0,10.693938992739927,12.984029999270444,10.596659732783579,11.838984496005185,25,788,6
AL,25,1,HCP++,1,2.2940852773356077,0,10.445806413275513,12.73989169061112,10.62135173563291,11.592849051943316,25,788,6
AL,25,1,HCP.sample,0,1.8924580888063147,0,10.650876456530398,12.543334545336712,10.62135173563291,11.592849051943316,25,788,6
AL,25,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,6
AL,25,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,6
AL,25,1,Subsampling,1,2.7909171180250922,0,10.201646941921009,12.992564059946101,10.62135173563291,11.597105500933555,25,788,6
AL,25,1,Repeated,1,2.249439739269146,0,10.472385631298982,12.721825370568128,10.62135173563291,11.597105500933555,25,788,6
AL,50,6,HCP++,1,1.9335750332404018,0,10.023203211810742,11.956778245051144,11.002116507732017,10.989990728430943,25,788,6
AL,50,6,HCP.sample,1,1.403345020199751,0,9.632388184015788,11.03573320421554,11.002116507732017,10.989990728430943,25,788,6
AL,50,6,HCP,1,2.2537646510347678,0,10.198375918786024,12.452140569820791,11.002116507732017,11.325258244303408,25,788,6
AL,50,6,Pooling,1,1.9912474819854324,0,10.329634503310691,12.320881985296124,11.002116507732017,11.325258244303408,25,788,6
AL,50,6,Subsampling,1,2.0985632228377433,0,10.275976632884536,12.37453985572228,11.002116507732017,11.325258244303408,25,788,6
AL,50,6,Repeated,1,2.2537646510347678,0,10.198375918786024,12.452140569820791,11.002116507732017,11.325258244303408,25,788,6
AL,75,5,HCP++,1,2.5129663110687837,0,10.426836426565524,12.939802737634308,11.156264806643742,11.683319582099916,25,788,6
AL,75,5,HCP.sample,1,1.6375056110508766,0,10.040848621962823,11.6783542330137,11.156264806643742,11.683319582099916,25,788,6
AL,75,5,HCP,1,2.2537646510347678,0,10.886867862614867,13.140632513649635,11.156264806643742,12.013750188132251,25,788,6
AL,75,5,Pooling,1,1.9912474819854324,0,11.018126447139535,13.009373929124967,11.156264806643742,12.013750188132251,25,788,6
AL,75,5,Subsampling,1,2.243684923298453,0,10.891907726483025,13.135592649781477,11.156264806643742,12.013750188132251,25,788,6
AL,75,5,Repeated,1,2.2537646510347678,0,10.886867862614867,13.140632513649635,11.156264806643742,12.013750188132251,25,788,6
