test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
AL,0,1,HCP++,1,2.267047971351822,0,10.460319669638862,12.727367640990684,10.62135173563291,11.593843655314773,25,788,6
AL,0,1,HCP.sample,1,2.076329157980826,0,10.558940921943142,12.635270079923968,10.62135173563291,11.593843655314773,25,788,6
AL,0,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,6
AL,0,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,6
AL,0,1,Subsampling,1,2.7909171180250922,0,10.201646941921009,12.992564059946101,10.62135173563291,11.597105500933555,25,788,6
AL,0,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,6
AL,25,2,HCP++,1,2.139500731191756,0,10.629051835958922,12.768552567150678,12.100717685412471,11.6988022015548,25,788,6
AL,25,2,HCP.sample,1,2.075594330000154,0,10.669561052041772,12.745155382041926,12.100717685412471,11.6988022015548,25,788,6
AL,25,2,HCP,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,6
AL,25,2,Pooling,1,1.9912474819854324,0,10.713091352170945,12.704338834156378,12.100717685412471,11.708715093163661,25,788,6
AL,25,2,Subsampling,1,2.290091006530517,0,10.563669589898403,12.85376059642892,12.100717685412471,11.708715093163661,25,788,6
AL,25,2,Repeated,1,2.2537646510347678,0,10.581832767646278,12.835597418681045,12.100717685412471,11.708715093163661,25,788,6
AL,50,3,HCP++,1,4.26108492012785,0,8.43107192623187,12.692156846359719,11.225256725762893,10.561614386295794,25,788,6
AL,50,3,HCP.sample,1,2.568456061171691,0,10.656573781005374,13.225029842177065,11.225256725762893,10.561614386295794,25,788,6
AL,50,3,HCP,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,6
AL,50,3,Pooling,1,1.9912474819854324,0,10.525039305393294,12.516286787378727,11.225256725762893,11.52066304638601,25,788,6
AL,50,3,Subsampling,1,2.249439739269146,0,10.395943176751437,12.645382916020584,11.225256725762893,11.52066304638601,25,788,6
AL,50,3,Repeated,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,6
AL,75,4,HCP++,1,4.344397069162856,0,8.726175055178304,13.07057212434116,10.596659732783579,10.898373589759732,25,788,6
AL,75,4,HCP.sample,1,2.778131907969602,0,9.4683422097632,12.246474117732802,10.596659732783579,10.898373589759732,25,788,6
AL,75,4,HCP,0,2.2537646510347678,0,10.712102170487801,12.96586682152257,10.596659732783579,11.838984496005185,25,788,6
AL,75,4,Pooling,0,1.9912474819854324,0,10.843360755012469,12.834608236997902,10.596659732783579,11.838984496005185,25,788,6
AL,75,4,Subsampling,0,2.290091006530517,0,10.693938992739927,12.984029999270444,10.596659732783579,11.838984496005185,25,788,6
AL,75,4,Repeated,0,2.2537646510347678,0,10.712102170487801,12.96586682152257,10.596659732783579,11.838984496005185,25,788,6
FL,0,1,HCP++,1,2.2983860084896754,0,10.4478059462997,12.746191954789376,10.62135173563291,11.596998950544538,25,788,118
FL,0,1,HCP.sample,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.596998950544538,25,788,118
FL,0,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,118
FL,0,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,118
FL,0,1,Subsampling,1,2.243684923298453,0,10.475263039284329,12.718947962582781,10.62135173563291,11.597105500933555,25,788,118
