method,o,coverage_mean,coverage_std,width_income_median,width_income_mean,width_income_std,n,coverage_se
Donor-HCP,0,0.994,0.07726558075864032,inf,inf,,1000,0.002442130217658347
Donor-HCP,5,0.978,0.1467567291047927,402425.86463370087,447809.9332884062,255996.5003171361,1000,0.004638534251247911
Donor-HCP,10,0.973,0.16216441439877402,328526.0875573582,357135.9949311273,191562.54528342033,1000,0.005125524363418832
Donor-HCP,15,0.958,0.2006895021576272,263500.49883244454,287940.4289900977,155452.02173835432,1000,0.006343185319695463
Donor-HCP,20,0.934,0.2484063318550992,231001.30312107346,254188.96084476565,136367.19763210777,1000,0.007851369307324675
HCP,0,0.995,0.07056897321046963,inf,inf,,1000,0.002230470802319547
Pooling,0,0.902,0.2974634170523906,202327.74158520484,220905.40609905127,118142.7913683013,1000,0.009401914698613255
Repeated,0,0.991,0.0944877131056092,inf,inf,,1000,0.0029864694875387575
S-HCP,0,1.0,0.0,inf,inf,,1000,0.0
S-HCP,5,1.0,0.0,inf,inf,,1000,0.0
S-HCP,10,1.0,0.0,inf,inf,,1000,0.0
S-HCP,15,1.0,0.0,inf,inf,,1000,0.0
S-HCP,20,1.0,0.0,inf,inf,,1000,0.0
Std-CP,0,1.0,0.0,inf,inf,,1000,0.0
Std-CP,5,0.785,0.4110279113928202,115033.6471008916,153562.47395074842,108106.84742002664,1000,0.012991343271578961
Std-CP,10,0.839,0.36771485449219277,170490.33041799217,220265.3070821736,138892.91693357116,1000,0.011622349160131098
Std-CP,15,0.832,0.37405335971745496,158885.20316723842,192244.58108812806,133231.40085691857,1000,0.011822690049223148
Std-CP,20,0.859,0.34819569244928966,202308.02629989467,264442.69245713885,235662.00253141348,1000,0.011005407761641547
Subsampling,0,0.974,0.15921478998305832,inf,inf,,1000,0.005032295698784007
