method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,0.872,0.33425697857745273,0.010564847372300274,189390.70823320115,202538.36019917653,103261.25774121181,1000
Donor-HCP,5,0.844,0.3630369069334353,0.011474493452871897,172783.3994686694,182630.94104524286,91919.8663329455,1000
Donor-HCP,10,0.824,0.3810107205436209,0.012042591083317579,158421.7042593367,166110.651650092,82495.97515648203,1000
Donor-HCP,15,0.802,0.3986915536538929,0.012601428490452976,143163.88048027176,152607.90810222982,76084.17007228159,1000
Donor-HCP,20,0.773,0.41910219117375963,0.013246546719805883,134504.23567225994,142226.75164770172,71318.45525142738,1000
HCP,0,0.861,0.3461196307619647,0.010939789760319894,186178.04193837655,198477.82524524452,102694.38627084644,1000
Pooled-Income-Quantile,0,0.85,0.3572500911513216,0.011291589790636216,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,5,0.85,0.3572500911513216,0.011291589790636216,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,10,0.85,0.3572500911513216,0.011291589790636216,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,15,0.85,0.3572500911513216,0.011291589790636216,132000.0,132000.0,0.0,1000
Pooled-Income-Quantile,20,0.85,0.3572500911513216,0.011291589790636216,132000.0,132000.0,0.0,1000
Pooling,0,0.749,0.43380547159664457,0.013711272734505722,130781.89041826579,138936.73158080401,71853.57259709439,1000
Repeated,0,0.826,0.3792991798934818,0.011988494484296184,160079.20159504947,170198.04635899115,87795.4677074373,1000
S-HCP,0,0.799,0.40094857495663927,0.01267276607532862,146092.91275964305,179042.6497469573,127919.5130149789,1000
S-HCP,5,0.753,0.4314825340348983,0.013637851736985557,131951.25654080493,144053.9891135962,76785.71577397657,1000
S-HCP,10,0.76,0.4272968319360472,0.013505554412907307,131270.78312702,141298.9534464686,73828.86973224502,1000
S-HCP,15,0.764,0.4248346554654934,0.013427732496590778,131124.97783831856,139881.52987027456,71792.62825773381,1000
S-HCP,20,0.755,0.4303024054780082,0.013600551459407815,130617.53101258154,139444.62071060212,71246.63904306262,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.811,0.3917045218432287,0.012380589646701,131096.47644247464,153211.68871322434,105367.28518343269,1000
Std-CP,10,0.734,0.4420853304956402,0.013972973913952606,132838.41594227345,151252.85787172962,103080.36696339727,1000
Std-CP,15,0.761,0.42668613881993056,0.01348625225924534,130440.17791794668,152497.1689853521,98944.09953211466,1000
Std-CP,20,0.784,0.4117201883725324,0.013013224043256921,123693.26706335765,152537.33583936028,100049.42657169882,1000
Subsampling,0,0.787,0.40963251677424095,0.012947239087929132,145048.42302388858,179626.69831161792,137338.96420952442,1000
