method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,1.0,0.0,0.0,,,,1000
Donor-HCP,5,1.0,0.0,0.0,,,,1000
Donor-HCP,10,1.0,0.0,0.0,,,,1000
Donor-HCP,15,0.988,0.10893974420691409,0.003443254274665176,592374.1348164778,669589.0967878494,388201.1957860086,1000
Donor-HCP,20,0.951,0.21597603025716916,0.006826346021115546,305251.2324430519,354315.39375506365,209685.65746598516,1000
HCP,0,1.0,0.0,0.0,,,,1000
Pooled-Income-Quantile,0,0.926,0.2619018758859749,0.008277922444671728,238000.0,238000.0,0.0,1000
Pooled-Income-Quantile,5,0.926,0.2619018758859749,0.008277922444671728,238000.0,238000.0,0.0,1000
Pooled-Income-Quantile,10,0.926,0.2619018758859749,0.008277922444671728,238000.0,238000.0,0.0,1000
Pooled-Income-Quantile,15,0.926,0.2619018758859749,0.008277922444671728,238000.0,238000.0,0.0,1000
Pooled-Income-Quantile,20,0.926,0.2619018758859749,0.008277922444671728,238000.0,238000.0,0.0,1000
Pooling,0,0.931,0.2535809600567505,0.008014923580421711,298746.12778893777,303047.1566443508,143400.472222878,1000
Repeated,0,1.0,0.0,0.0,,,,1000
S-HCP,0,1.0,0.0,0.0,,,,1000
S-HCP,5,1.0,0.0,0.0,,,,1000
S-HCP,10,1.0,0.0,0.0,,,,1000
S-HCP,15,1.0,0.0,0.0,,,,1000
S-HCP,20,1.0,0.0,0.0,,,,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.775,0.41779127509983927,0.013205112646244256,143962.1087971392,206019.61600041582,199997.0661148094,1000
Std-CP,10,0.907,0.290577761426155,0.009184280047995052,221753.96208609408,321544.9190705471,289322.2373454033,1000
Std-CP,15,0.939,0.239450070654273,0.007568289106528638,274506.6740266282,399281.6352490529,353771.2417703507,1000
Std-CP,20,0.956,0.2051977244174655,0.006485676526007139,300113.7322790817,444544.9627015302,366715.84207276994,1000
Subsampling,0,1.0,0.0,0.0,,,,1000
