method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,0.893,0.3092679204939411,0.009775019181566856,232265.47106155322,235497.04988508302,111448.84993544313,1000
Donor-HCP,5,0.872,0.33425697857745273,0.010564847372300274,188634.07221677515,198511.69878221367,93343.66959462113,1000
Donor-HCP,10,0.868,0.33866014039253384,0.010704017937204702,171298.9851158143,181380.64112589526,84256.24171056811,1000
Donor-HCP,15,0.849,0.3582280381646966,0.01132249972400088,160341.36160235738,171104.6762861793,79334.14341575949,1000
Donor-HCP,20,0.831,0.3749394345485409,0.011850696182081458,149461.50109431165,158954.63801259096,73134.91031844357,1000
HCP,0,0.887,0.31675121362250747,0.010011543337567888,223355.68219643336,225867.59476162682,106862.64234487082,1000
Pooled-Income-Quantile,0,0.804,0.39716714584887525,0.01255324659201754,144000.0,144000.0,0.0,1000
Pooled-Income-Quantile,5,0.804,0.39716714584887525,0.01255324659201754,144000.0,144000.0,0.0,1000
Pooled-Income-Quantile,10,0.804,0.39716714584887525,0.01255324659201754,144000.0,144000.0,0.0,1000
Pooled-Income-Quantile,15,0.804,0.39716714584887525,0.01255324659201754,144000.0,144000.0,0.0,1000
Pooled-Income-Quantile,20,0.804,0.39716714584887525,0.01255324659201754,144000.0,144000.0,0.0,1000
Pooling,0,0.813,0.39010663052963246,0.012330085157856779,156103.36561568576,158124.95898582283,73345.14048348404,1000
Repeated,0,0.916,0.2775266131761439,0.008771772910877251,271444.8084614425,275885.5683556302,131104.31195556215,1000
S-HCP,0,0.903,0.296105857217784,0.009359006357514668,241340.75275857348,300596.816708609,218703.49743232192,1000
S-HCP,5,1.0,0.0,0.0,,,,1000
S-HCP,10,1.0,0.0,0.0,,,,1000
S-HCP,15,1.0,0.0,0.0,,,,1000
S-HCP,20,1.0,0.0,0.0,,,,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.775,0.41779127509983927,0.013205112646244256,143962.1087971392,206019.61600041582,199997.0661148094,1000
Std-CP,10,0.791,0.40679784228100874,0.012857643641040918,145677.50178585213,186373.4665312916,139453.72218214226,1000
Std-CP,15,0.802,0.3986915536538929,0.012601428490452976,144517.88678443074,179260.48622427863,128315.47886392105,1000
Std-CP,20,0.808,0.3940701603665156,0.01245536029185828,141163.27021753252,177331.36977883065,127817.47682495418,1000
Subsampling,0,0.9,0.3001501125938321,0.009486832980505136,253270.98156873047,301013.2822550895,217672.20666152702,1000
