clinic,split,n_obs,y_mean,y_std,y_min,y_max
8,test,23,132.07,19.76,100.67,173.0
9,test,20,144.18,18.43,121.67,198.0
11,test,21,138.77,15.97,112.5,172.33
12,test,24,143.33,19.36,106.0,181.33
13,test,22,148.86,15.94,125.0,179.67
14,test,21,146.97,16.21,119.0,179.33
16,test,20,138.17,19.75,105.67,169.67
17,test,26,137.27,18.09,106.33,177.0
18,test,21,144.76,21.77,106.0,186.33
20,test,21,133.17,18.66,107.67,182.33
25,test,20,136.55,14.02,111.33,159.67
28,test,20,137.53,21.82,102.33,180.0
29,test,26,137.95,19.02,106.33,180.67
30,test,20,132.37,21.43,101.33,182.67
31,test,23,138.2,23.87,93.67,175.0
1,train,18,135.31,16.72,107.0,160.0
2,train,19,129.86,19.39,97.33,169.33
3,train,17,145.29,21.68,99.67,190.0
4,train,18,140.22,16.3,110.33,186.0
5,train,11,125.99,15.64,94.67,148.0
6,train,16,149.56,13.12,127.33,170.67
7,train,17,147.75,19.24,114.0,183.0
10,train,18,141.11,16.38,113.33,180.67
15,train,18,141.13,15.5,110.33,183.33
19,train,18,133.89,21.79,90.67,168.0
21,train,17,140.02,14.72,119.33,175.33
22,train,17,137.59,16.48,103.0,166.33
23,train,15,131.2,11.59,111.67,154.33
24,train,12,142.03,13.71,114.0,161.33
26,train,12,138.5,21.73,99.67,174.33
27,train,16,137.77,17.82,113.33,172.0
32,train,18,150.87,18.54,122.0,181.67
