model_group,model_name,model_size,family,dataset,stopping_rule,quantile,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gpqa,UncertaintyStoppingRule,0.95,53.7,205.65,0.8559132929550526,3.937271654710191,5.0,10.0,5.0,5.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gsm8k,LengthStoppingRule,0.95,39.19,0.0,0.3254317500604915,0.0,3.0,0.0,1.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gsm8k,UncertaintyStoppingRule,0.95,113.03,1418.09,1.5777114522597175,35.962647645008175,3.0,77.0,2.0,39.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,mmlu,LengthStoppingRule,0.95,93.41791044776119,287.1940298507463,0.9135696863254199,2.4929023615960224,5.970149253731343,14.925373134328357,5.970149253731343,11.940298507462686
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,mmlu,UncertaintyStoppingRule,0.95,119.5223880597015,4111.701492537313,2.990518411102583,61.66148735886577,5.970149253731343,86.56716417910447,5.970149253731343,71.64179104477611
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,icraft,LengthStoppingRule,0.95,19.333333333333332,60.231884057971016,0.304131210479683,0.9102762312983621,2.898550724637681,7.246376811594203,1.4492753623188406,7.246376811594203
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,icraft,UncertaintyStoppingRule,0.95,167.46376811594203,280.4492753623188,3.5837150052823503,6.576357375659466,8.695652173913043,20.28985507246377,2.898550724637681,17.391304347826086
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,imedqa,LengthStoppingRule,0.95,27.44,18.91,0.32297515200807614,0.1931365539781432,5.0,1.0,0.0,1.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,imedqa,UncertaintyStoppingRule,0.95,152.56,177.11,2.7286624406598152,3.96535434988737,9.0,8.0,1.0,7.000000000000001
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gpqa,LengthStoppingRule,0.95,353.45,0.0,1.07861088223626,0.0,5.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gpqa,UncertaintyStoppingRule,0.95,730.55,3826.65,8.172775371912996,41.28071270515412,10.0,55.00000000000001,5.0,45.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gsm8k,LengthStoppingRule,0.95,5.46,24.67,0.049429657794676805,0.20160810736247098,1.0,2.0,0.0,1.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gsm8k,UncertaintyStoppingRule,0.95,96.03,2376.3,1.9898772144237085,52.3817340465497,4.0,98.0,3.0,60.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,mmlu,LengthStoppingRule,0.95,0.0,528.2388059701492,0.0,2.4990833102294245,0.0,8.955223880597014,0.0,8.955223880597014
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,mmlu,UncertaintyStoppingRule,0.95,63.28358208955224,4271.9701492537315,1.5934942911113856,57.90389454356834,2.9850746268656714,83.5820895522388,2.9850746268656714,55.223880597014926
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,icraft,LengthStoppingRule,0.95,90.53623188405797,71.15942028985508,1.067993693939611,0.8539537708026537,4.3478260869565215,5.797101449275362,0.0,4.3478260869565215
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,icraft,UncertaintyStoppingRule,0.95,2.7246376811594204,136.55072463768116,0.04707390603247098,3.815626654884537,1.4492753623188406,7.246376811594203,0.0,5.797101449275362
