model_group,model_name,model_size,family,dataset,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-7B,7B,Nemotron,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-1.1-7B,7B,Nemotron,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,XiaomiMiMo/MiMo-7B-RL-0530,7B,MiMo,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-7B,7B,Skywork,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gsm8k,0.0,2879.219679633867,0.0,48.54091133295023,0.0,78.26086956521739,0.0,14.645308924485127
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,**Average**,,,gsm8k,0.0,319.91329773709634,0.0,5.393434592550026,0.0,8.695652173913043,0.0,1.627256547165014
RL-Tuned Models,**Average**,,,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,**Average**,,,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,**Average**,,,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,**Average**,,,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,gsm8k,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,mmlu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,gpqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,icraft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
