tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
5.0,0.05,0,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,0,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,0,HCP,1.0,,,,100,12345
5.0,0.05,0,0,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,0,Repeated,1.0,,,,100,12345
5.0,0.05,0,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,0,Std-CP,1.0,,,,100,12345
5.0,0.05,0,0,Subsampling,1.0,,,,100,12345
5.0,0.05,0,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,0,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,5,HCP,1.0,,,,100,12345
5.0,0.05,0,5,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,5,Repeated,1.0,,,,100,12345
5.0,0.05,0,5,S-HCP-within,0.97,33.449692470058196,33.43523559879929,2.025222430774289,0,12345
5.0,0.05,0,5,Std-CP,0.68,6.910689295618689,5.016830930165564,6.818783022396568,0,12345
5.0,0.05,0,5,Subsampling,1.0,,,,100,12345
5.0,0.05,0,10,Donor-HCP-no-within,1.0,33.84867851583602,34.02982495606861,3.5817854303764665,0,12345
5.0,0.05,0,10,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,10,HCP,1.0,,,,100,12345
5.0,0.05,0,10,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,10,Repeated,1.0,,,,100,12345
5.0,0.05,0,10,S-HCP-within,0.97,21.5053733827606,21.681715664559384,1.717206577670417,0,12345
5.0,0.05,0,10,Std-CP,0.77,30.09808904440034,14.117862085308703,55.8250386343436,0,12345
5.0,0.05,0,10,Subsampling,1.0,,,,100,12345
5.0,0.05,0,15,Donor-HCP-no-within,1.0,30.790845684080928,30.754880887005015,3.4417782123048215,0,12345
5.0,0.05,0,15,Donor-HCP-within,1.0,21.166005142461668,21.375200747618116,1.8738746400740578,0,12345
5.0,0.05,0,15,HCP,1.0,,,,100,12345
5.0,0.05,0,15,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,15,Repeated,1.0,,,,100,12345
5.0,0.05,0,15,S-HCP-within,0.97,17.67691408098328,17.632957188666914,1.4933148605794044,0,12345
5.0,0.05,0,15,Std-CP,0.88,9.679774196673135,7.517788280862683,8.400450382671421,0,12345
5.0,0.05,0,15,Subsampling,1.0,,,,100,12345
5.0,0.05,0,20,Donor-HCP-no-within,0.99,28.927634219674538,29.2882308440327,3.423999292462378,0,12345
5.0,0.05,0,20,Donor-HCP-within,0.98,15.256474721144382,15.595644868684108,1.4512488687650311,0,12345
5.0,0.05,0,20,HCP,1.0,,,,100,12345
5.0,0.05,0,20,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,20,Repeated,1.0,,,,100,12345
5.0,0.05,0,20,S-HCP-within,0.97,13.405043861264685,13.462886228138846,1.2014638554922876,0,12345
5.0,0.05,0,20,Std-CP,0.91,7.305556826305334,6.85795264769914,2.874312207901266,0,12345
5.0,0.05,0,20,Subsampling,1.0,,,,100,12345
5.0,0.05,0,25,Donor-HCP-no-within,0.97,18.79469330537224,17.689025929214903,10.250177505870614,0,12345
5.0,0.05,0,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,25,HCP,1.0,,,,100,12345
5.0,0.05,0,25,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,25,Repeated,1.0,,,,100,12345
5.0,0.05,0,25,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,25,Std-CP,0.93,7.010909504896644,6.353250677772046,2.6671046076756113,0,12345
5.0,0.05,0,25,Subsampling,1.0,,,,100,12345
5.0,0.05,0,30,Donor-HCP-no-within,0.97,19.178038051149866,18.83783625343744,10.387759476951027,0,12345
5.0,0.05,0,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,30,HCP,1.0,,,,100,12345
5.0,0.05,0,30,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,30,Repeated,1.0,,,,100,12345
5.0,0.05,0,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,30,Std-CP,0.91,6.745112133705735,6.42787570324764,2.24444889968141,0,12345
5.0,0.05,0,30,Subsampling,1.0,,,,100,12345
5.0,0.05,0,35,Donor-HCP-no-within,0.97,19.327098165645648,18.83783625343744,10.433198602985412,0,12345
5.0,0.05,0,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,35,HCP,1.0,,,,100,12345
5.0,0.05,0,35,Pooling,0.97,28.187687081939668,28.187687081939664,1.071183478194952e-15,0,12345
5.0,0.05,0,35,Repeated,1.0,,,,100,12345
5.0,0.05,0,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,35,Std-CP,0.92,6.833800066308834,6.473397284349002,2.335092572988496,0,12345
5.0,0.05,0,35,Subsampling,1.0,,,,100,12345
5.0,0.05,1,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,1,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,0,HCP,1.0,,,,100,12345
5.0,0.05,1,0,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,0,Repeated,1.0,,,,100,12345
5.0,0.05,1,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,0,Std-CP,1.0,,,,100,12345
5.0,0.05,1,0,Subsampling,1.0,,,,100,12345
5.0,0.05,1,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,1,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,5,HCP,1.0,,,,100,12345
5.0,0.05,1,5,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,5,Repeated,1.0,,,,100,12345
5.0,0.05,1,5,S-HCP-within,0.95,17.424475892761958,16.776731080228238,1.7387278861009399,0,12345
5.0,0.05,1,5,Std-CP,0.74,6.125728007368183,5.124648591688386,3.7617865682478855,0,12345
5.0,0.05,1,5,Subsampling,1.0,,,,100,12345
5.0,0.05,1,10,Donor-HCP-no-within,0.97,51.6571862298409,54.20982162643009,14.835291592260877,0,12345
5.0,0.05,1,10,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,10,HCP,1.0,,,,100,12345
5.0,0.05,1,10,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,10,Repeated,1.0,,,,100,12345
5.0,0.05,1,10,S-HCP-within,0.95,11.30683796894461,11.077665282188942,1.2604168441947887,0,12345
5.0,0.05,1,10,Std-CP,0.82,45.7802589150469,14.184793604842426,161.4485477211693,0,12345
5.0,0.05,1,10,Subsampling,1.0,,,,100,12345
5.0,0.05,1,15,Donor-HCP-no-within,0.99,46.83340903936934,48.00962872946386,15.071500548252917,0,12345
5.0,0.05,1,15,Donor-HCP-within,0.98,30.64159917775071,33.93834767681392,9.03611615139338,0,12345
5.0,0.05,1,15,HCP,1.0,,,,100,12345
5.0,0.05,1,15,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,15,Repeated,1.0,,,,100,12345
5.0,0.05,1,15,S-HCP-within,0.93,9.841045358190508,9.801755573285359,1.0050642375553485,0,12345
5.0,0.05,1,15,Std-CP,0.91,8.362769145767476,7.301032654645254,5.1957856696296245,0,12345
5.0,0.05,1,15,Subsampling,1.0,,,,100,12345
5.0,0.05,1,20,Donor-HCP-no-within,0.97,44.94573889984433,47.18480172544615,13.44014223587813,0,12345
5.0,0.05,1,20,Donor-HCP-within,0.94,24.30288431822188,24.5261103151474,7.262937982592663,0,12345
5.0,0.05,1,20,HCP,1.0,,,,100,12345
5.0,0.05,1,20,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,20,Repeated,1.0,,,,100,12345
5.0,0.05,1,20,S-HCP-within,0.94,7.838908734590978,7.721345821002399,0.6870343749847257,0,12345
5.0,0.05,1,20,Std-CP,0.94,6.821000854655108,6.353050640110888,2.611024081133893,0,12345
5.0,0.05,1,20,Subsampling,1.0,,,,100,12345
5.0,0.05,1,25,Donor-HCP-no-within,0.97,18.7165010194074,15.977396249894731,8.690567684157445,0,12345
5.0,0.05,1,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,25,HCP,1.0,,,,100,12345
5.0,0.05,1,25,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,25,Repeated,1.0,,,,100,12345
5.0,0.05,1,25,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,25,Std-CP,0.9,6.6729522215132535,6.5321672813509455,2.1962186664212497,0,12345
5.0,0.05,1,25,Subsampling,1.0,,,,100,12345
5.0,0.05,1,30,Donor-HCP-no-within,0.97,19.164591578407585,16.750221784144614,8.730655796645733,0,12345
5.0,0.05,1,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,30,HCP,1.0,,,,100,12345
5.0,0.05,1,30,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,30,Repeated,1.0,,,,100,12345
5.0,0.05,1,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,30,Std-CP,0.95,6.378179590714665,6.2871268181375335,1.9047047005497981,0,12345
5.0,0.05,1,30,Subsampling,1.0,,,,100,12345
5.0,0.05,1,35,Donor-HCP-no-within,0.97,19.41279973435097,17.12527807296019,8.737165512115473,0,12345
5.0,0.05,1,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,35,HCP,1.0,,,,100,12345
5.0,0.05,1,35,Pooling,0.95,51.58243377536812,51.58243377536813,0.0,0,12345
5.0,0.05,1,35,Repeated,1.0,,,,100,12345
5.0,0.05,1,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,35,Std-CP,0.94,6.316973075792783,6.001053817488536,1.6417724746265885,0,12345
5.0,0.05,1,35,Subsampling,1.0,,,,100,12345
5.0,0.05,2,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,2,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,0,HCP,1.0,,,,100,12345
5.0,0.05,2,0,Pooling,0.9,24.111438388627437,24.11143838862744,1.1291265276791196e-15,0,12345
5.0,0.05,2,0,Repeated,1.0,,,,100,12345
5.0,0.05,2,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,2,0,Std-CP,1.0,,,,100,12345
5.0,0.05,2,0,Subsampling,1.0,,,,100,12345
5.0,0.05,2,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,2,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,5,HCP,1.0,,,,100,12345
5.0,0.05,2,5,Pooling,0.9,24.111438388627437,24.11143838862744,1.1291265276791196e-15,0,12345
5.0,0.05,2,5,Repeated,1.0,,,,100,12345
5.0,0.05,2,5,S-HCP-within,0.97,19.517747801478617,19.647199621984164,1.7442881333178748,0,12345
5.0,0.05,2,5,Std-CP,0.8,5.572825945830357,4.787265644078871,3.427244186166274,0,12345
5.0,0.05,2,5,Subsampling,1.0,,,,100,12345
5.0,0.05,2,10,Donor-HCP-no-within,1.0,33.68112638585283,32.96240557012956,4.741550298454373,0,12345
5.0,0.05,2,10,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,10,HCP,1.0,,,,100,12345
5.0,0.05,2,10,Pooling,0.9,24.111438388627437,24.11143838862744,1.1291265276791196e-15,0,12345
5.0,0.05,2,10,Repeated,1.0,,,,100,12345
5.0,0.05,2,10,S-HCP-within,0.98,12.618230966094286,12.709065578973561,1.403909646892258,0,12345
5.0,0.05,2,10,Std-CP,0.85,68.50782165131673,12.344422745858033,395.3207719095435,0,12345
5.0,0.05,2,10,Subsampling,1.0,,,,100,12345
5.0,0.05,2,15,Donor-HCP-no-within,0.97,29.847138012005253,28.841466672730554,4.87441255183151,0,12345
5.0,0.05,2,15,Donor-HCP-within,0.98,20.223462731310427,19.772870890634394,2.771001148966463,0,12345
5.0,0.05,2,15,HCP,1.0,,,,100,12345
5.0,0.05,2,15,Pooling,0.9,24.111438388627437,24.11143838862744,1.1291265276791196e-15,0,12345
5.0,0.05,2,15,Repeated,1.0,,,,100,12345
5.0,0.05,2,15,S-HCP-within,0.99,10.558122228080036,10.719077972163188,1.1107035037192379,0,12345
5.0,0.05,2,15,Std-CP,0.89,10.029488860797136,8.841905835591586,6.686412879468115,0,12345
5.0,0.05,2,15,Subsampling,1.0,,,,100,12345
5.0,0.05,2,20,Donor-HCP-no-within,0.95,28.717377448043845,28.994242828797244,4.844772257956562,0,12345
5.0,0.05,2,20,Donor-HCP-within,0.97,16.862287790240444,17.8737431272966,2.5170041308921975,0,12345
5.0,0.05,2,20,HCP,1.0,,,,100,12345
5.0,0.05,2,20,Pooling,0.9,24.111438388627437,24.11143838862744,1.1291265276791196e-15,0,12345
5.0,0.05,2,20,Repeated,1.0,,,,100,12345
5.0,0.05,2,20,S-HCP-within,0.96,8.235612375009737,8.24748434830726,0.7743665285160045,0,12345
5.0,0.05,2,20,Std-CP,0.89,7.2187723700534185,6.379155378869479,3.1410272855605843,0,12345
5.0,0.05,2,20,Subsampling,1.0,,,,100,12345
5.0,0.05,2,25,Donor-HCP-no-within,0.97,16.426285899599783,16.35371368179049,6.837149291023753,0,12345
5.0,0.05,2,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,25,HCP,1.0,,,,100,12345
5.0,0.05,2,25,Pooling,0.9,24.111438388627437,24.11143838862744,1.1291265276791196e-15,0,12345
5.0,0.05,2,25,Repeated,1.0,,,,100,12345
5.0,0.05,2,25,S-HCP-within,1.0,,,,100,12345
5.0,0.05,2,25,Std-CP,0.89,6.738886069849133,6.380671032852888,2.3522115626454103,0,12345
