tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,0,5,35.1624055029461,3.570611593983174e-15,7.141223187966347e-15,1.0154628339304056e-16,100,True
5.0,0.1,0,1,87.58274285449905,0.0,1.4282446375932695e-14,0.0,100,True
5.0,0.1,0,4,66.9447558822659,1.4282446375932695e-14,2.856489275186539e-14,2.1334675416623945e-16,100,True
5.0,0.1,0,3,38.142852528995725,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,2,45.90184425736141,7.141223187966347e-15,7.141223187966347e-15,1.555759535047677e-16,100,True
5.0,0.1,0,0,47.83598074545716,3.570611593983174e-15,7.141223187966347e-15,7.464280105352003e-17,100,True
5.0,0.1,0,9,43.27357051287646,0.0,1.4282446375932695e-14,0.0,100,True
5.0,0.1,0,7,13.553286343144428,1.785305796991587e-15,3.570611593983174e-15,1.3172493753846177e-16,100,True
5.0,0.1,0,6,31.45886978068536,7.141223187966347e-15,7.141223187966347e-15,2.270018992338627e-16,100,True
5.0,0.1,0,11,44.03698876311997,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,8,31.141867486107863,1.785305796991587e-15,3.570611593983174e-15,5.732815470324628e-17,100,True
5.0,0.1,0,12,29.595197576629857,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,10,26.860279784589743,3.570611593983174e-15,0.0,1.3293277741774312e-16,100,True
5.0,0.1,0,13,39.173330104033646,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,14,26.386526020092916,0.0,1.0711834781949522e-14,0.0,100,True
5.0,0.1,0,16,55.98038835426341,1.4282446375932695e-14,0.0,2.5513303490408813e-16,100,True
5.0,0.1,0,15,25.15932348952213,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,17,29.669593304490505,7.141223187966347e-15,7.141223187966347e-15,2.406916439560875e-16,100,True
5.0,0.1,0,20,40.423660126851594,1.4282446375932695e-14,7.141223187966347e-15,3.5331898029801407e-16,100,True
5.0,0.1,0,19,37.675276800240624,7.141223187966347e-15,1.4282446375932695e-14,1.895466681195223e-16,100,True
5.0,0.1,0,21,46.255167538211545,3.570611593983174e-15,1.4282446375932695e-14,7.719378793803914e-17,100,True
5.0,0.1,0,23,37.261257147702274,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,22,29.543336106690063,7.141223187966347e-15,1.0711834781949522e-14,2.41720270255776e-16,100,True
5.0,0.1,0,24,29.459743651869047,1.785305796991587e-15,0.0,6.060153876723635e-17,100,True
5.0,0.1,0,26,23.90576007378494,3.570611593983174e-15,7.141223187966347e-15,1.4936197732105187e-16,100,True
5.0,0.1,0,18,34.96117998916656,3.570611593983174e-15,7.141223187966347e-15,1.0213075173920333e-16,100,True
5.0,0.1,0,27,27.758012301682502,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,28,39.40691534796351,7.141223187966347e-15,7.141223187966347e-15,1.812175128377663e-16,100,True
5.0,0.1,0,29,28.13003778316181,7.141223187966347e-15,1.4282446375932695e-14,2.538646852526081e-16,100,True
5.0,0.1,0,30,49.96256220193182,2.856489275186539e-14,1.4282446375932695e-14,5.717259382418326e-16,100,True
5.0,0.1,0,31,25.25738198757841,1.0711834781949522e-14,3.570611593983174e-15,4.241070902446503e-16,100,True
5.0,0.1,0,25,18.712222041076302,2.6779586954873804e-15,0.0,1.431128109536556e-16,100,True
5.0,0.1,0,34,51.57618585119348,7.141223187966347e-15,7.141223187966347e-15,1.3845969937695767e-16,100,True
5.0,0.1,0,33,56.072452243193766,1.0711834781949522e-14,0.0,1.9103560399839218e-16,100,True
5.0,0.1,0,35,59.696766733971444,3.570611593983174e-15,0.0,5.981247878792164e-17,100,True
5.0,0.1,0,36,24.60886497208964,7.141223187966347e-15,7.141223187966347e-15,2.9018905163101298e-16,100,True
5.0,0.1,0,37,41.72829059950991,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,32,39.6168284027841,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,0,38,50.280302335158005,1.4282446375932695e-14,7.141223187966347e-15,2.840564935494796e-16,100,True
5.0,0.1,0,40,22.00977066124112,7.141223187966347e-15,0.0,3.2445695586196796e-16,100,True
5.0,0.1,0,39,43.37931788840911,0.0,2.1423669563899043e-14,0.0,100,True
5.0,0.1,0,41,39.19241594031051,1.0711834781949522e-14,1.4282446375932695e-14,2.733139696788147e-16,100,True
5.0,0.1,0,42,67.01365774849671,1.4282446375932695e-14,1.4282446375932695e-14,2.13127396053129e-16,100,True
5.0,0.1,0,45,26.24982905216867,7.141223187966347e-15,7.141223187966347e-15,2.72048369296956e-16,100,True
5.0,0.1,0,47,38.80338634863604,7.141223187966347e-15,0.0,1.840360818977173e-16,100,True
5.0,0.1,0,43,43.49432590931572,7.141223187966347e-15,1.4282446375932695e-14,1.641874667250981e-16,100,True
5.0,0.1,0,46,36.37840263674859,7.141223187966347e-15,7.141223187966347e-15,1.9630392404180097e-16,100,True
5.0,0.1,0,44,33.47572399678496,7.141223187966347e-15,1.4282446375932695e-14,2.13325429157326e-16,100,True
5.0,0.1,0,48,23.848029736108835,0.0,0.0,0.0,100,True
5.0,0.1,0,49,36.97235300668279,0.0,7.141223187966347e-15,0.0,100,True
5.0,0.1,5,2,32.090751077861334,1.8796921217060711,5.621214840171005,0.05857426387887902,100,True
5.0,0.1,5,4,44.252142073789784,8.561006578705193,9.572973161760045,0.19345971014080726,100,True
5.0,0.1,5,5,28.71577618751214,4.05724226018972,3.105613447614039,0.141289660209642,100,True
5.0,0.1,5,1,45.31729124427432,29.11909256659934,21.72129061323895,0.6425603068294253,100,True
5.0,0.1,5,0,45.79192177618113,4.051865261688461,17.0584513634681,0.08848428073171756,100,True
5.0,0.1,5,3,27.9304533083918,5.247457696572035,5.009028839033253,0.18787585144546934,100,True
5.0,0.1,5,7,19.440983004815887,2.111290428132921,4.060723626082262,0.10859998322152309,100,True
5.0,0.1,5,8,20.880414488601904,1.9285736865935734,3.2360719805980556,0.09236280666968243,100,True
5.0,0.1,5,10,24.815352686178603,1.9904791077752955,2.865004210169152,0.08021159855946483,100,True
5.0,0.1,5,11,39.17554893929301,4.348873826683867,7.785893048845217,0.11100990144191583,100,True
5.0,0.1,5,6,28.968798708592175,2.508295897515523,1.8272681880182733,0.08658612056189821,100,True
5.0,0.1,5,9,36.38794260668326,2.9494599961578647,6.907129034248957,0.08105597032617465,100,True
5.0,0.1,5,13,36.15213761092211,0.3832754785777522,3.989769531321515,0.010601737653874134,100,True
5.0,0.1,5,14,22.479669032149722,2.0379494949683883,1.8599256821821082,0.09065745105293928,100,True
5.0,0.1,5,16,55.55349686396353,4.3792420630893885,6.215370215356847,0.07882927826871178,100,True
5.0,0.1,5,12,24.9743606386964,1.8096418079683152,1.648037967849159,0.0724599854285909,100,True
5.0,0.1,5,15,21.142834606315475,2.683637620351143,1.0373653563803629,0.12692894166374108,100,True
5.0,0.1,5,17,24.03271222612482,1.9328114282045465,2.4772976343101965,0.08042419057901751,100,True
5.0,0.1,5,19,32.87989665792569,1.750803574197185,3.166977830259839,0.05324845124703743,100,True
5.0,0.1,5,18,28.0462082796509,2.4481253669245815,3.5161387305329894,0.08728899616355035,100,True
5.0,0.1,5,20,32.51987154484606,3.6276299090176796,1.0403415533330949,0.11155117584074858,100,True
5.0,0.1,5,22,23.18361146148213,1.4994301279608548,1.5523853113540635,0.0646762964627857,100,True
5.0,0.1,5,21,38.36685824904242,6.3342517264734575,7.309678257618183,0.16509696168910443,100,True
5.0,0.1,5,23,41.52730070852555,9.255727743787503,15.073890226222675,0.22288296098877677,100,True
5.0,0.1,5,25,26.70046227477818,1.6973135087886402,5.810644911659414,0.06356869372976956,100,True
5.0,0.1,5,24,29.325837253682856,7.017285054386348,5.56436088526763,0.23928677615180755,100,True
5.0,0.1,5,26,20.433173564272543,2.451523858970357,1.7408242117086146,0.11997763593888582,100,True
5.0,0.1,5,27,32.428040897230154,7.308222258187981,6.120288330566077,0.22536736898010432,100,True
5.0,0.1,5,28,30.646472213814768,2.20149357387688,3.431877196987549,0.07183513843020713,100,True
5.0,0.1,5,29,24.043520537271778,1.9474494892757568,1.8391468235980069,0.08099685261386161,100,True
5.0,0.1,5,32,32.4886040505457,3.605813436980607,4.022101428121779,0.11098702275329189,100,True
5.0,0.1,5,31,25.76322462809359,2.987581405516327,4.3476275734197385,0.11596302282201543,100,True
5.0,0.1,5,33,43.64792160873827,2.7389634436880272,5.543669361724738,0.06275129130409017,100,True
5.0,0.1,5,34,38.0059332727007,5.300947039741511,6.968227323482324,0.1394768285705835,100,True
5.0,0.1,5,30,37.80345067748405,2.3009956776574136,2.7358538844604654,0.06086734508148749,100,True
5.0,0.1,5,35,42.64871283352558,2.6182823510641198,8.913007592034754,0.0613918258514457,100,True
5.0,0.1,5,36,23.36140948782322,1.012056841224047,2.988447446370603,0.04332173714739113,100,True
5.0,0.1,5,37,43.366254179166255,8.034918384465131,9.322465068060074,0.1852804337508407,100,True
5.0,0.1,5,39,30.593706020075977,3.594106109149468,5.7281076268397415,0.1174786116723149,100,True
5.0,0.1,5,38,34.56184108413303,4.8694004282769825,8.968232889056369,0.14088949765215117,100,True
5.0,0.1,5,40,17.086686728626795,1.0462400282709448,1.5943196297629465,0.06123129924996453,100,True
5.0,0.1,5,41,35.39677862503482,2.0825442629404884,4.0686768121777,0.05883428785995748,100,True
5.0,0.1,5,42,58.11906256426943,21.62162473358012,28.596473588659983,0.37202294358534116,100,True
5.0,0.1,5,43,29.69769746906383,1.7279157337928162,4.033241203803063,0.05818349168627603,100,True
