tau_B,alpha,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,n_finite_total,base_seed
5.0,0.05,0,,,,,0,12345
5.0,0.05,5,,,,,0,12345
5.0,0.05,10,,,,,0,12345
5.0,0.05,15,23.128425118175702,2.02847475071924,3.5647062868424935,0.08703769051071529,5000,12345
5.0,0.05,20,17.592377629593784,1.6197694445355173,2.86485139208776,0.09137597807619362,5000,12345
5.0,0.05,25,,,,,0,12345
5.0,0.05,30,,,,,0,12345
5.0,0.05,35,,,,,0,12345
5.0,0.1,0,38.41938440903592,5.445182680824339e-15,7.926757738642646e-15,1.4284358343793973e-16,5000,12345
5.0,0.1,5,32.438038680584306,4.332862432605666,5.716294189030869,0.12200725513211332,5000,12345
5.0,0.1,10,25.62114280705682,3.4830784675680952,4.521963202087185,0.12332902807399851,5000,12345
5.0,0.1,15,21.477130772446674,3.072399354002329,3.9152669490307654,0.12863340789452124,5000,12345
5.0,0.1,20,16.85903778265317,2.4792880611782877,2.869671993011719,0.13165021491747614,5000,12345
5.0,0.1,25,5.95020305194253,2.7984668367843123e-15,9.997712463152887e-16,4.564848226351749e-16,5000,12345
5.0,0.1,30,6.082029846009331,2.7627607208444805e-15,1.356832405713606e-15,4.568322858521036e-16,5000,12345
5.0,0.1,35,6.187186784135029,2.682421959979859e-15,1.1247426521046996e-15,4.52451995003986e-16,5000,12345
