tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,S-HCP-within,0.9584,0.199693303550962,19.921256885771403,18.59402741842556,6.455003593459387,0.0,0,12345
5.0,0.05,5,Std-CP,0.7564,0.42929698249561005,6.190652652076855,5.124804733670848,4.554628433561673,0.0,0,12345
5.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Donor-HCP-no-within,0.993,0.08338099590491599,37.5711398985563,34.5014778933191,12.084259416929736,0.0,0,12345
5.0,0.05,10,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,S-HCP-within,0.956,0.20511561247963694,13.338187231421525,12.484380835152027,3.9662107797193995,0.0,0,12345
5.0,0.05,10,Std-CP,0.8344,0.3717583635322433,69.28479388097892,12.479604161522602,737.6325018697886,0.0,0,12345
5.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Donor-HCP-no-within,0.9684,0.174950168654684,33.5104972040704,30.59391893845562,11.855451672878857,0.0,0,12345
5.0,0.05,15,Donor-HCP-within,0.9836,0.12702073395068472,22.74368047312137,20.822999719028918,7.219103342842204,0.0,0,12345
5.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,S-HCP-within,0.9594,0.19738143754258466,11.398144272618346,10.704710756622163,3.140214660500228,0.0,0,12345
5.0,0.05,15,Std-CP,0.893,0.30914416381812004,9.117876197395214,7.507182191881275,7.241256485515248,0.0,0,12345
5.0,0.05,15,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Donor-HCP-no-within,0.9444,0.2291705561994509,31.755349118215598,28.716094837750447,11.836588624153949,0.0,0,12345
5.0,0.05,20,Donor-HCP-within,0.9498,0.21837925244761633,17.252139998355542,15.757355102867706,5.8021997618301135,0.0,0,12345
5.0,0.05,20,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,20,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,S-HCP-within,0.951,0.215889605271613,9.187071289833272,8.643604090150923,2.279764192291454,0.0,0,12345
5.0,0.05,20,Std-CP,0.9086,0.28820592035991555,6.917814448393464,6.362333280740447,2.920727478021447,0.0,0,12345
5.0,0.05,20,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Donor-HCP-no-within,0.9624,0.1902458375253955,16.345218589949468,14.909004931916183,7.847205521269516,0.0,0,12345
5.0,0.05,25,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,25,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Std-CP,0.9288,0.25718434780863225,6.753660793271227,6.382939172592363,2.490327893838234,0.0,0,12345
5.0,0.05,25,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Donor-HCP-no-within,0.9672,0.1781305872140439,16.59283057936017,15.146523024137611,7.845411466136244,0.0,0,12345
5.0,0.05,30,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,30,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Std-CP,0.9398,0.23788080514301924,6.488750658945544,6.207313156338268,2.119938793648869,0.0,0,12345
5.0,0.05,30,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Donor-HCP-no-within,0.9704,0.1694980410423183,16.79146222162898,15.350701665857862,7.835992994000911,0.0,0,12345
5.0,0.05,35,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Pooling,0.9072,0.29018097973540596,31.606752203247197,28.426192495762578,12.785204364691646,0.0,0,12345
5.0,0.05,35,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Std-CP,0.9516,0.21463143602619358,6.497310711341715,6.220601358725457,2.0173517537956616,0.0,0,12345
5.0,0.05,35,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.1,0,Donor-HCP-no-within,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,0,Donor-HCP-within,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
