tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
5.0,0.05,0,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,0,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,0,HCP,1.0,,,,100,12345
5.0,0.05,0,0,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,0,Repeated,1.0,,,,100,12345
5.0,0.05,0,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,0,Std-CP,1.0,,,,100,12345
5.0,0.05,0,0,Subsampling,1.0,,,,100,12345
5.0,0.05,0,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,0,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,5,HCP,1.0,,,,100,12345
5.0,0.05,0,5,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,5,Repeated,1.0,,,,100,12345
5.0,0.05,0,5,S-HCP-within,0.95,24.692902369186392,24.086054668040465,2.8485303815765124,0,12345
5.0,0.05,0,5,Std-CP,0.71,5.628765363320823,4.451620434809451,4.21218783082246,0,12345
5.0,0.05,0,5,Subsampling,1.0,,,,100,12345
5.0,0.05,0,10,Donor-HCP-no-within,0.97,37.735125089534385,39.30473753930805,7.293528481689423,0,12345
5.0,0.05,0,10,Donor-HCP-within,0.99,29.724155626543638,29.456359473949178,2.544530868235523,31,12345
5.0,0.05,0,10,HCP,1.0,,,,100,12345
5.0,0.05,0,10,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,10,Repeated,1.0,,,,100,12345
5.0,0.05,0,10,S-HCP-within,0.94,15.551605432489962,15.104585270951755,2.1506304434905976,0,12345
5.0,0.05,0,10,Std-CP,0.82,36.81300785876019,9.376419438333892,94.04689759073077,0,12345
5.0,0.05,0,10,Subsampling,1.0,,,,100,12345
5.0,0.05,0,15,Donor-HCP-no-within,0.97,39.32718297353052,39.47591364239452,8.234693522806635,0,12345
5.0,0.05,0,15,Donor-HCP-within,0.97,25.97601449308262,27.09685612492859,5.344360916015778,0,12345
5.0,0.05,0,15,HCP,1.0,,,,100,12345
5.0,0.05,0,15,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,15,Repeated,1.0,,,,100,12345
5.0,0.05,0,15,S-HCP-within,0.95,13.525308686504667,12.92816765650311,1.8420103625382527,0,12345
5.0,0.05,0,15,Std-CP,0.91,8.642053232111586,7.042925429356701,7.15005216766383,0,12345
5.0,0.05,0,15,Subsampling,1.0,,,,100,12345
5.0,0.05,0,20,Donor-HCP-no-within,0.97,30.314718701989644,26.94987447407084,7.316615208122555,0,12345
5.0,0.05,0,20,Donor-HCP-within,0.96,14.816334957628184,13.898203541702202,3.234073386169947,0,12345
5.0,0.05,0,20,HCP,1.0,,,,100,12345
5.0,0.05,0,20,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,20,Repeated,1.0,,,,100,12345
5.0,0.05,0,20,S-HCP-within,0.99,10.720267293548357,10.710319027465093,1.0622992903660518,0,12345
5.0,0.05,0,20,Std-CP,0.92,6.689334734232456,6.019353925508944,2.773968987299558,0,12345
5.0,0.05,0,20,Subsampling,1.0,,,,100,12345
5.0,0.05,0,25,Donor-HCP-no-within,0.94,19.258231147258986,16.764306558780692,9.425257366005606,0,12345
5.0,0.05,0,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,25,HCP,1.0,,,,100,12345
5.0,0.05,0,25,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,25,Repeated,1.0,,,,100,12345
5.0,0.05,0,25,S-HCP-within,0.93,8.521424390371285,7.87734029437218,2.9755777080323154,0,12345
5.0,0.05,0,25,Std-CP,0.95,6.976802914583182,6.650973850051452,2.7213115058019097,0,12345
5.0,0.05,0,25,Subsampling,1.0,,,,100,12345
5.0,0.05,0,30,Donor-HCP-no-within,0.97,19.44495724392209,16.947801274949537,9.431550124450547,0,12345
5.0,0.05,0,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,30,HCP,1.0,,,,100,12345
5.0,0.05,0,30,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,30,Repeated,1.0,,,,100,12345
5.0,0.05,0,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,30,Std-CP,0.91,6.245679543575001,6.003024513092413,2.130120716947737,0,12345
5.0,0.05,0,30,Subsampling,1.0,,,,100,12345
5.0,0.05,0,35,Donor-HCP-no-within,0.98,19.649325463589353,16.947801274949537,9.466671559996792,0,12345
5.0,0.05,0,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,0,35,HCP,1.0,,,,100,12345
5.0,0.05,0,35,Pooling,0.91,27.620570503515005,27.620570503515005,8.746176474924478e-16,0,12345
5.0,0.05,0,35,Repeated,1.0,,,,100,12345
5.0,0.05,0,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,0,35,Std-CP,0.91,6.249070982130167,6.287188452981213,1.8685477534598018,0,12345
5.0,0.05,0,35,Subsampling,1.0,,,,100,12345
5.0,0.05,1,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,1,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,0,HCP,1.0,,,,100,12345
5.0,0.05,1,0,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,0,Repeated,1.0,,,,100,12345
5.0,0.05,1,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,0,Std-CP,1.0,,,,100,12345
5.0,0.05,1,0,Subsampling,1.0,,,,100,12345
5.0,0.05,1,5,Donor-HCP-no-within,1.0,27.50942787500404,27.509427875004036,3.552713678800501e-15,86,12345
5.0,0.05,1,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,5,HCP,1.0,,,,100,12345
5.0,0.05,1,5,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,5,Repeated,1.0,,,,100,12345
5.0,0.05,1,5,S-HCP-within,0.97,27.469154838870285,27.08358525943288,1.97689222956973,0,12345
5.0,0.05,1,5,Std-CP,0.73,5.788691995435666,5.250836180321917,3.43652107131717,0,12345
5.0,0.05,1,5,Subsampling,1.0,,,,100,12345
5.0,0.05,1,10,Donor-HCP-no-within,0.99,38.58849482349731,42.91460276338468,8.735737269387105,0,12345
5.0,0.05,1,10,Donor-HCP-within,0.99,29.535899980117954,31.289876995614172,7.467238840469441,70,12345
5.0,0.05,1,10,HCP,1.0,,,,100,12345
5.0,0.05,1,10,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,10,Repeated,1.0,,,,100,12345
5.0,0.05,1,10,S-HCP-within,0.98,17.722260221955473,17.702204824920063,1.283338364013622,0,12345
5.0,0.05,1,10,Std-CP,0.84,67.77204943040732,12.98323322624106,253.09827118930332,0,12345
5.0,0.05,1,10,Subsampling,1.0,,,,100,12345
5.0,0.05,1,15,Donor-HCP-no-within,0.97,38.883717020103546,39.26586755768806,13.77335510222881,0,12345
5.0,0.05,1,15,Donor-HCP-within,0.99,25.187694954850148,26.421604484221767,8.1988681992576,0,12345
5.0,0.05,1,15,HCP,1.0,,,,100,12345
5.0,0.05,1,15,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,15,Repeated,1.0,,,,100,12345
5.0,0.05,1,15,S-HCP-within,0.94,8.731927971095532,8.70686739756361,0.6795771926907445,0,12345
5.0,0.05,1,15,Std-CP,0.87,8.647888893041769,7.408851837323706,6.220586207637987,0,12345
5.0,0.05,1,15,Subsampling,1.0,,,,100,12345
5.0,0.05,1,20,Donor-HCP-no-within,0.93,29.201704531726847,29.677542540382227,3.2313326705625838,0,12345
5.0,0.05,1,20,Donor-HCP-within,0.97,15.11777448370435,15.357981444632003,2.278472295369615,0,12345
5.0,0.05,1,20,HCP,1.0,,,,100,12345
5.0,0.05,1,20,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,20,Repeated,1.0,,,,100,12345
5.0,0.05,1,20,S-HCP-within,0.96,8.263603379291332,8.09503462083033,0.8949644480393129,0,12345
5.0,0.05,1,20,Std-CP,0.94,6.206316588406082,5.701037910994861,2.2689797302233097,0,12345
5.0,0.05,1,20,Subsampling,1.0,,,,100,12345
5.0,0.05,1,25,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,1,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,25,HCP,1.0,,,,100,12345
5.0,0.05,1,25,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,25,Repeated,1.0,,,,100,12345
5.0,0.05,1,25,S-HCP-within,0.94,7.732006466104902,7.176831991175109,2.2672712672836224,0,12345
5.0,0.05,1,25,Std-CP,0.93,7.041654378774066,6.394077458903537,3.0780048977980297,0,12345
5.0,0.05,1,25,Subsampling,1.0,,,,100,12345
5.0,0.05,1,30,Donor-HCP-no-within,0.96,18.896678484480084,17.050485149054783,7.1930098400887825,0,12345
5.0,0.05,1,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,30,HCP,1.0,,,,100,12345
5.0,0.05,1,30,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,30,Repeated,1.0,,,,100,12345
5.0,0.05,1,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,30,Std-CP,0.98,6.645384081955189,6.36112216954421,2.265584112557387,0,12345
5.0,0.05,1,30,Subsampling,1.0,,,,100,12345
5.0,0.05,1,35,Donor-HCP-no-within,0.96,19.27446155546744,17.050485149054783,7.071880088903632,0,12345
5.0,0.05,1,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,1,35,HCP,1.0,,,,100,12345
5.0,0.05,1,35,Pooling,0.93,51.05234726850887,51.05234726850887,7.141223187966347e-16,0,12345
5.0,0.05,1,35,Repeated,1.0,,,,100,12345
5.0,0.05,1,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,1,35,Std-CP,0.97,6.379252717743671,6.016099265167075,2.131915433026868,0,12345
5.0,0.05,1,35,Subsampling,1.0,,,,100,12345
5.0,0.05,2,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,2,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,0,HCP,1.0,,,,100,12345
5.0,0.05,2,0,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,0,Repeated,1.0,,,,100,12345
5.0,0.05,2,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,2,0,Std-CP,1.0,,,,100,12345
5.0,0.05,2,0,Subsampling,1.0,,,,100,12345
5.0,0.05,2,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,2,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,5,HCP,1.0,,,,100,12345
5.0,0.05,2,5,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,5,Repeated,1.0,,,,100,12345
5.0,0.05,2,5,S-HCP-within,0.91,14.030832736728268,13.70866001043363,2.188734764013522,0,12345
5.0,0.05,2,5,Std-CP,0.74,6.2081752503511805,5.320837117345624,4.357591853834491,0,12345
5.0,0.05,2,5,Subsampling,1.0,,,,100,12345
5.0,0.05,2,10,Donor-HCP-no-within,0.96,28.626811830061357,26.54507204521356,7.743104086194776,0,12345
5.0,0.05,2,10,Donor-HCP-within,1.0,21.06676549445755,24.472387419089266,6.388960046313425,79,12345
5.0,0.05,2,10,HCP,1.0,,,,100,12345
5.0,0.05,2,10,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,10,Repeated,1.0,,,,100,12345
5.0,0.05,2,10,S-HCP-within,0.9,10.043615271510866,9.77635082512684,1.3409655216862801,0,12345
5.0,0.05,2,10,Std-CP,0.83,117.14889397617935,10.592601149921798,903.1210656407648,0,12345
5.0,0.05,2,10,Subsampling,1.0,,,,100,12345
5.0,0.05,2,15,Donor-HCP-no-within,0.96,22.19173559273605,21.84994475660337,3.410349840161946,0,12345
5.0,0.05,2,15,Donor-HCP-within,0.96,15.38845419246008,15.201573932180743,1.7323889253128086,0,12345
5.0,0.05,2,15,HCP,1.0,,,,100,12345
5.0,0.05,2,15,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,15,Repeated,1.0,,,,100,12345
5.0,0.05,2,15,S-HCP-within,0.94,9.108357526506062,9.018169836386715,0.8661643404845278,0,12345
5.0,0.05,2,15,Std-CP,0.85,8.791609503740588,7.377166104864903,5.446570295226822,0,12345
5.0,0.05,2,15,Subsampling,1.0,,,,100,12345
5.0,0.05,2,20,Donor-HCP-no-within,0.96,28.095106427749172,28.802141478536583,4.208662052908866,0,12345
5.0,0.05,2,20,Donor-HCP-within,0.99,14.897192753438903,14.829907841110073,1.5716417084237708,0,12345
5.0,0.05,2,20,HCP,1.0,,,,100,12345
5.0,0.05,2,20,Pooling,0.9,23.67105789890569,23.67105789890569,2.7887368044695623e-15,0,12345
5.0,0.05,2,20,Repeated,1.0,,,,100,12345
5.0,0.05,2,20,S-HCP-within,0.93,9.01939326452327,8.984022706780273,0.635103175846088,0,12345
5.0,0.05,2,20,Std-CP,0.9,6.9914239062030346,6.067791627387526,3.422821223744878,0,12345
5.0,0.05,2,20,Subsampling,1.0,,,,100,12345
5.0,0.05,2,25,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,2,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,2,25,HCP,1.0,,,,100,12345
