tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,0,4,63.923806637047484,2.1423669563899043e-14,7.141223187966347e-15,3.3514383280614593e-16,100,True
5.0,0.1,0,0,45.99118145168967,7.141223187966347e-15,1.4282446375932695e-14,1.5527374950060098e-16,100,True
5.0,0.1,0,5,35.06340273710197,3.570611593983174e-15,1.4282446375932695e-14,1.0183300293912914e-16,100,True
5.0,0.1,0,2,44.06107405938473,7.141223187966347e-15,0.0,1.620755585381676e-16,100,True
5.0,0.1,0,3,36.39302411529223,3.570611593983174e-15,7.141223187966347e-15,9.811252790291792e-17,100,True
5.0,0.1,0,1,85.12186303077885,0.0,2.856489275186539e-14,0.0,100,True
5.0,0.1,0,6,28.143687224225715,7.141223187966347e-15,0.0,2.5374156311043977e-16,100,True
5.0,0.1,0,8,31.359821764639996,3.570611593983174e-15,3.570611593983174e-15,1.1385943519644756e-16,100,True
5.0,0.1,0,9,43.1240112982522,2.1423669563899043e-14,0.0,4.96792133174479e-16,100,True
5.0,0.1,0,7,11.642723340637556,0.0,0.0,0.0,100,True
5.0,0.1,0,10,29.013859369200368,7.141223187966347e-15,3.570611593983174e-15,2.46131446943839e-16,100,True
5.0,0.1,0,11,43.99137874092723,3.570611593983174e-15,1.4282446375932695e-14,8.116616701220294e-17,100,True
5.0,0.1,0,15,26.009268808009747,1.4282446375932695e-14,3.570611593983174e-15,5.491291001434961e-16,100,True
5.0,0.1,0,14,26.910587298743796,1.0711834781949522e-14,3.570611593983174e-15,3.980528058727859e-16,100,True
5.0,0.1,0,16,50.35593600727692,1.785305796991587e-15,7.141223187966347e-15,3.5453730752489495e-17,100,True
5.0,0.1,0,12,30.3662424303982,7.141223187966347e-15,1.0711834781949522e-14,2.3516980095033454e-16,100,True
5.0,0.1,0,17,36.792821913922836,7.141223187966347e-15,0.0,1.940928370396081e-16,100,True
5.0,0.1,0,13,38.10341675131828,7.141223187966347e-15,0.0,1.8741687220790455e-16,100,True
5.0,0.1,0,19,41.09840969315616,1.4282446375932695e-14,0.0,3.47518224733427e-16,100,True
5.0,0.1,0,20,42.472485343554624,7.141223187966347e-15,7.141223187966347e-15,1.6813763381638456e-16,100,True
5.0,0.1,0,21,53.99871398271327,3.570611593983174e-15,2.1423669563899043e-14,6.612401167787517e-17,100,True
5.0,0.1,0,22,26.3180530288173,2.1423669563899043e-14,1.0711834781949522e-14,8.140294246098263e-16,100,True
5.0,0.1,0,24,31.887546309987908,0.0,3.570611593983174e-15,0.0,100,True
5.0,0.1,0,23,36.70488604889399,7.141223187966347e-15,7.141223187966347e-15,1.9455783566399413e-16,100,True
5.0,0.1,0,18,38.54066374612961,7.141223187966347e-15,0.0,1.852906124037237e-16,100,True
