tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-no-within,0.9998,0.014142135623730947,28.860027170852263,27.50942787500404,3.393879648718953,0.9932,4966,12345
5.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,S-HCP-within,0.9476,0.22285460020956904,19.465919405510117,18.1978759395134,6.2669904088715445,0.0,0,12345
5.0,0.05,5,Std-CP,0.7506,0.4327090100951016,6.274347224833578,5.098760098851439,5.097431273374922,0.0,0,12345
5.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Donor-HCP-no-within,0.9796,0.1413783490054738,33.263039249884095,30.950894157428575,10.151133807030792,0.1112,556,12345
5.0,0.05,10,Donor-HCP-within,0.9946,0.07329334473795396,23.112560468737733,21.42760692702123,6.43411065697201,0.7376,3688,12345
5.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,S-HCP-within,0.9482,0.22164517887168975,13.038560559876078,12.152356926235472,3.7948259964157653,0.0,0,12345
5.0,0.05,10,Std-CP,0.8262,0.378975308505569,45.3472039948722,11.85825222046588,249.62625739853908,0.0,0,12345
5.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Donor-HCP-no-within,0.9626,0.18975890410818025,31.096071949360457,29.371439604411954,9.573586226501805,0.0,0,12345
5.0,0.05,15,Donor-HCP-within,0.9752,0.15553069780461953,20.579705835368607,19.28404426275663,5.8797186261852445,0.045,225,12345
5.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,S-HCP-within,0.957,0.2028773813079445,11.289510416662294,10.743898501211486,2.936818098098347,0.0,0,12345
5.0,0.05,15,Std-CP,0.8932,0.30888969320538057,9.070058784099551,7.512466050152584,6.522521153989816,0.0,0,12345
5.0,0.05,15,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Donor-HCP-no-within,0.9602,0.19550857966069984,30.17109669448404,29.49378906601219,9.222139269698907,0.0202,101,12345
5.0,0.05,20,Donor-HCP-within,0.9696,0.17170246459288038,16.722864789599683,15.927306889219892,4.972793121249993,0.0742,371,12345
5.0,0.05,20,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,20,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,S-HCP-within,0.9484,0.22124020757061577,9.304764220814674,9.00945728580721,1.8377110306240931,0.0,0,12345
5.0,0.05,20,Std-CP,0.9108,0.2850607162033806,6.941630394947978,6.3876346690758234,3.0164228117254295,0.0,0,12345
5.0,0.05,20,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Donor-HCP-no-within,0.9694,0.17224858174969931,21.900352243532843,20.69024905545116,8.532795726253504,0.2744,1372,12345
5.0,0.05,25,Donor-HCP-within,0.9794,0.14205518623122154,9.161743680800294,9.006058107308547,2.3624663520959452,0.5268,2634,12345
5.0,0.05,25,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,25,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,S-HCP-within,0.95,0.2179667449414706,8.35083996026591,8.02528648872,1.971922940811675,0.0,0,12345
5.0,0.05,25,Std-CP,0.9296,0.25584552250582254,6.743458274728923,6.384344119005432,2.4200610020325235,0.0,0,12345
5.0,0.05,25,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Donor-HCP-no-within,0.9738,0.1597456219517347,16.72178418864754,15.281469540522664,7.668744693357028,0.2904,1452,12345
5.0,0.05,30,Donor-HCP-within,0.999,0.03161012242886751,6.842400664376408,6.9028567064254815,1.9219380250612352,0.9702,4851,12345
5.0,0.05,30,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,30,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,30,S-HCP-within,0.983,0.12928396214756765,8.583483131106815,8.294560870400755,2.477203091456494,0.44,2200,12345
5.0,0.05,30,Std-CP,0.9442,0.2295580523089442,6.4515673241497415,6.171012958306619,2.1534653941344097,0.0,0,12345
5.0,0.05,30,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Donor-HCP-no-within,0.9692,0.17279274135881206,16.800371935113734,15.468407587770589,7.639987340598178,0.0,0,12345
5.0,0.05,35,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,Pooling,0.9076,0.28961874214760475,31.43247060484672,28.863777653516777,12.312108121747492,0.0,0,12345
5.0,0.05,35,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,35,S-HCP-within,1.0,0.0,10.032656649136525,10.248759481078487,0.9037420444464156,0.98,4900,12345
5.0,0.05,35,Std-CP,0.9504,0.2171388262240793,6.450466276252453,6.167272630283155,2.0386275858417164,0.0,0,12345
