method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,1.0,0.0,0.0,,,,1000
Donor-HCP,5,0.9972962962962963,0.012271549215084679,0.001642069940649981,614932.1673279061,632061.9580395792,171414.06413485785,1000
Donor-HCP,10,0.975962962962963,0.033056371928825455,0.004843475806434578,449601.348646816,493318.7280205484,169832.14430559488,1000
Donor-HCP,15,0.934962962962963,0.050868322308410756,0.007797898489367509,271530.44774473656,281375.6670089655,64249.105019211,1000
Donor-HCP,20,0.9,0.062907218077593,0.009486832980505136,209918.01793829043,215441.30000426658,35912.02840185926,1000
HCP,0,1.0,0.0,0.0,,,,1000
Pooled-Income-Quantile,0,1.0,0.0,0.0,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,5,1.0,0.0,0.0,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,10,1.0,0.0,0.0,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,15,1.0,0.0,0.0,176965.0,176965.0,0.0,1000
Pooled-Income-Quantile,20,1.0,0.0,0.0,176965.0,176965.0,0.0,1000
Pooling,0,0.8848518518518519,0.06489613088698275,0.010094010705670974,209904.95168844805,214162.37856821687,38039.14725805477,1000
Repeated,0,1.0,0.0,0.0,,,,1000
S-HCP,0,1.0,0.0,0.0,,,,1000
S-HCP,5,0.8993333333333333,0.06138796126021923,0.009514877239822325,232182.1796248476,234494.50322811597,29594.764072323385,1000
S-HCP,10,0.888,0.06283540785675239,0.00997276290703835,205502.7301951957,207569.7694251405,21065.274048961666,1000
S-HCP,15,0.8837037037037037,0.06386471226265299,0.010137626337760748,195874.7011733831,196830.17827412576,17361.31375602575,1000
S-HCP,20,0.8925185185185185,0.06107310956625726,0.009794345951620632,203953.80760090286,205002.14821836867,17703.853966897423,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.1422962962962963,0.06859821657676167,0.011047536393090224,20312.285809057394,20878.140492997652,4441.340977951538,1000
Std-CP,10,0.09018518518518517,0.05150290932569319,0.009058245832295513,11355.461927605258,11527.013473617131,2128.359061765804,1000
Std-CP,15,0.06666666666666665,0.04693055321693688,0.007888106377466154,7977.741450626082,8048.4944794191715,1409.0845910143757,1000
Std-CP,20,0.053481481481481484,0.04197046691998654,0.007114858580465773,6357.004901925051,6401.011272099821,1078.4092884795455,1000
Subsampling,0,1.0,0.0,0.0,,,,1000
