method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n
Donor-HCP,0,1.0,0.0,0.0,,,,1000
Donor-HCP,5,1.0,0.0,0.0,,,,1000
Donor-HCP,10,0.986,0.11754921445002436,0.0037153734670958734,583774.3955360032,654929.9492029402,375408.0240708516,1000
Donor-HCP,15,0.954,0.20958990416508122,0.006624499981130654,319866.9132897327,349358.95326179307,185262.48949595596,1000
Donor-HCP,20,0.92,0.27142894774447635,0.008579044235810886,232507.41128355882,256010.16259126065,130003.67279813478,1000
HCP,0,1.0,0.0,0.0,,,,1000
Pooled-Income-Quantile,0,0.91,0.28632495871296654,0.009049861877399012,198000.0,198000.0,0.0,1000
Pooled-Income-Quantile,5,0.91,0.28632495871296654,0.009049861877399012,198000.0,198000.0,0.0,1000
Pooled-Income-Quantile,10,0.91,0.28632495871296654,0.009049861877399012,198000.0,198000.0,0.0,1000
Pooled-Income-Quantile,15,0.91,0.28632495871296654,0.009049861877399012,198000.0,198000.0,0.0,1000
Pooled-Income-Quantile,20,0.91,0.28632495871296654,0.009049861877399012,198000.0,198000.0,0.0,1000
Pooling,0,0.902,0.2974634170523906,0.009401914698613255,244450.90025241533,249540.2342870646,118249.30375255305,1000
Repeated,0,1.0,0.0,0.0,,,,1000
S-HCP,0,1.0,0.0,0.0,,,,1000
S-HCP,5,1.0,0.0,0.0,,,,1000
S-HCP,10,1.0,0.0,0.0,,,,1000
S-HCP,15,1.0,0.0,0.0,,,,1000
S-HCP,20,1.0,0.0,0.0,,,,1000
Std-CP,0,1.0,0.0,0.0,,,,1000
Std-CP,5,0.775,0.41779127509983927,0.013205112646244256,143962.1087971392,206019.61600041582,199997.0661148094,1000
Std-CP,10,0.907,0.290577761426155,0.009184280047995052,221753.96208609408,321544.9190705471,289322.2373454033,1000
Std-CP,15,0.861,0.3461196307619647,0.010939789760319894,180639.4616603097,243218.82068951154,180300.19432244336,1000
Std-CP,20,0.907,0.290577761426155,0.009184280047995052,203766.77331818658,289892.2158307926,216029.51315721165,1000
Subsampling,0,1.0,0.0,0.0,,,,1000
