dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
fixedN21,0.05,0.95,0,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,2,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,2,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,0,24,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,10,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,10,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,10,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,10,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,10,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,10,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,5,23,,0.0,0.0,,1.0,0,50,456
