dataset,alpha,nominal_coverage,o,mean_width_mean,sd_upper_mean,sd_width_mean,relative_instability_mean,coverage_mean,n_finite_total,n_datasets,n_reruns,base_seed
poissonNmean21,0.05,0.95,0,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.05,0.95,5,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.05,0.95,10,8.513741712372974,0.3366550231615439,0.582136476682278,0.04408995523805502,0.9944,250,25,50,456
poissonNmean21,0.05,0.95,15,7.52850228641926,0.41701447549303766,0.7924146123284881,0.0549037440084061,1.0,1209,25,50,456
poissonNmean21,0.05,0.95,20,6.884124250105293,0.4164226458853687,0.7077783281793775,0.0594239106219614,0.9416,1176,25,50,456
poissonNmean21,0.05,0.95,25,7.050153204582149,0.14699210116916267,0.28947689298451357,0.03290732220138121,1.0,596,25,50,456
poissonNmean21,0.05,0.95,30,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.05,0.95,35,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.075,0.925,0,,0.0,0.0,,1.0,0,25,50,456
poissonNmean21,0.075,0.925,5,10.440211723969389,0.20883708507139837,0.38229394090041297,0.027092495742409767,0.9968,399,25,50,456
poissonNmean21,0.075,0.925,10,7.518456562385556,0.424966850604039,0.7073521049938499,0.055829276824372866,0.9823999999999999,1250,25,50,456
poissonNmean21,0.075,0.925,15,6.352011413439807,0.3404677228983685,0.49443357651775527,0.05402858342505036,0.9495999999999999,1250,25,50,456
poissonNmean21,0.075,0.925,20,6.06902846231759,0.3176677100770276,0.577848818549157,0.05178624376888332,0.9551999999999999,1244,25,50,456
poissonNmean21,0.075,0.925,25,6.251934522268358,0.30042691531830296,0.5893086796408241,0.04422070316414531,0.948,981,25,50,456
poissonNmean21,0.075,0.925,30,5.842028574598185,0.03352308308439,0.061549698200538946,0.007141175082044968,0.92,972,25,50,456
poissonNmean21,0.075,0.925,35,6.087946338945389,1.399625277455251e-15,4.1271001771116377e-16,2.2628512701857595e-16,0.96,1250,25,50,456
poissonNmean21,0.1,0.9,0,12.032529267858676,0.5010819524793767,0.8973130175604279,0.0595027338169753,0.9936,693,25,50,456
poissonNmean21,0.1,0.9,5,8.495542578677062,0.4961930332903391,0.6752125343244938,0.056455901800348,0.9336,1250,25,50,456
poissonNmean21,0.1,0.9,10,6.53512264243178,0.3699154848779889,0.4542138249039354,0.0548725880319563,0.9695999999999999,1250,25,50,456
poissonNmean21,0.1,0.9,15,5.682182728772451,0.2528820675154118,0.3561717951606791,0.04394957397796358,0.8512000000000001,1250,25,50,456
poissonNmean21,0.1,0.9,20,5.36708695022054,0.22104108967731004,0.3399878481916891,0.040967325075568654,0.9344,1231,25,50,456
poissonNmean21,0.1,0.9,25,5.457662174442313,0.1342147711569103,0.2525173734838906,0.028819245404538955,0.8448,962,25,50,456
poissonNmean21,0.1,0.9,30,5.613633603322961,9.869152597440871e-16,3.409343624570483e-16,1.6781548733016111e-16,0.92,1150,25,50,456
poissonNmean21,0.1,0.9,35,5.870250262157554,8.97195690676443e-16,5.921491558464524e-16,1.5699499255112687e-16,0.92,1250,25,50,456
poissonNmean21,0.125,0.875,0,10.498579250215538,0.7614793453757528,1.2293217392659725,0.0688560139694275,0.9823999999999999,1250,25,50,456
poissonNmean21,0.125,0.875,5,6.826222693142332,0.4233602490499341,0.510938938372827,0.06091760197505302,0.9144,1250,25,50,456
poissonNmean21,0.125,0.875,10,5.702892776373537,0.23827036741018526,0.333262936888855,0.041907813333363145,0.9112,1250,25,50,456
poissonNmean21,0.125,0.875,15,5.433047893587904,0.3042642373233146,0.39860548537781704,0.05218016016287245,0.8968,1250,25,50,456
poissonNmean21,0.125,0.875,20,5.017001612108812,0.25001712784585634,0.33812168247507535,0.05075372904276043,0.8144,1239,25,50,456
poissonNmean21,0.125,0.875,25,5.332007968207832,0.2669120901158664,0.525456673167349,0.05132306395556982,0.8992,1145,25,50,456
poissonNmean21,0.125,0.875,30,4.54486487956034,0.048482859100524495,0.11393990085250243,0.008303575581730543,0.84,1100,25,50,456
poissonNmean21,0.125,0.875,35,4.924067395042801,9.151396044899718e-16,3.9476610389763494e-16,1.7881422079566894e-16,0.96,1250,25,50,456
poissonNmean21,0.15,0.85,0,9.268007185531744,0.7381265982626126,0.9480630028696693,0.07273763662034412,0.8448,1250,25,50,456
poissonNmean21,0.15,0.85,5,6.45524983307762,0.5159320054011481,0.4724473514972617,0.0741797755967004,0.9495999999999999,1250,25,50,456
poissonNmean21,0.15,0.85,10,5.2930980863914305,0.25555519204184685,0.34081110354233474,0.047555462424598384,0.7951999999999999,1250,25,50,456
poissonNmean21,0.15,0.85,15,4.824749086089575,0.2297609981535307,0.2714255192780196,0.048170934178980065,0.8704000000000001,1250,25,50,456
poissonNmean21,0.15,0.85,20,4.6383355954233085,0.19514662365751095,0.21955047157244462,0.04229871458886482,0.8,1250,25,50,456
poissonNmean21,0.15,0.85,25,4.80167292040152,0.11868882125962985,0.2464840049707633,0.027393918071957835,0.92,1110,25,50,456
poissonNmean21,0.15,0.85,30,4.411524603158185,0.01502842651525075,0.02540581063347552,0.003956699543806899,0.92,1150,25,50,456
poissonNmean21,0.15,0.85,35,5.148366778868607,8.613078630493852e-16,4.665417591517504e-16,1.6212744738446274e-16,0.96,1250,25,50,456
poissonNmean21,0.175,0.825,0,7.47214528315424,0.6280643397798045,0.6566804874903327,0.0809921436880775,0.8664000000000001,1250,25,50,456
poissonNmean21,0.175,0.825,5,5.8460498470327185,0.3023910586911609,0.38090183174526865,0.05067751535663452,0.88,1250,25,50,456
poissonNmean21,0.175,0.825,10,5.294545391861355,0.3515733738803569,0.4263393219339398,0.05968765467524206,0.8912,1250,25,50,456
poissonNmean21,0.175,0.825,15,4.5036421994089055,0.2265275790309521,0.25431298488704945,0.04969488336543006,0.7792,1250,25,50,456
poissonNmean21,0.175,0.825,20,4.36730223493164,0.17460028360120944,0.2303063896599569,0.040036433820113036,0.8351999999999999,1250,25,50,456
poissonNmean21,0.175,0.825,25,4.607237803433899,0.17810526516338515,0.3431734811871728,0.03904430675347642,0.8864,1175,25,50,456
poissonNmean21,0.175,0.825,30,4.671249313707814,0.008628162105773971,0.01216726516069983,0.002242246552772872,0.92,1250,25,50,456
poissonNmean21,0.175,0.825,35,4.611581814355496,1.2381300531334913e-15,4.216819746179282e-16,2.637288772857813e-16,0.88,1250,25,50,456
poissonNmean21,0.2,0.8,0,7.615023009829018,0.868260497847106,0.8376724854137351,0.10364332384745985,0.9208,1250,25,50,456
poissonNmean21,0.2,0.8,5,5.6631571377846255,0.36320634282913633,0.46492656663092213,0.06288250000945259,0.8759999999999999,1250,25,50,456
poissonNmean21,0.2,0.8,10,4.624953768467954,0.2672871780486848,0.2527387804982459,0.05682211195739883,0.8079999999999999,1250,25,50,456
poissonNmean21,0.2,0.8,15,4.269869312169003,0.1931471386160761,0.18042167521848984,0.04449156760157603,0.7824,1250,25,50,456
poissonNmean21,0.2,0.8,20,4.062100689902258,0.2068864368497042,0.20194681345637114,0.050401914641018265,0.9408,1250,25,50,456
poissonNmean21,0.2,0.8,25,4.063830686442244,0.1495483893606596,0.30108732861471155,0.03535335468692571,0.8592,1250,25,50,456
poissonNmean21,0.2,0.8,30,4.349715205339098,0.0006076988243915911,0.0002054409798376104,0.00017069860953554497,0.96,1150,25,50,456
poissonNmean21,0.2,0.8,35,4.263441090984461,1.022803087371145e-15,2.691587072029329e-16,2.4896613128755563e-16,0.88,1250,25,50,456
poissonNmean21,0.225,0.775,0,6.783855257725483,0.4784539940520042,0.5906316552236452,0.06855732443938065,0.7888,1250,25,50,456
poissonNmean21,0.225,0.775,5,5.541341201525228,0.5422078205992141,0.6026126250811049,0.08330587535477699,0.848,1250,25,50,456
poissonNmean21,0.225,0.775,10,4.330252363686808,0.24091967397088207,0.24688193416449886,0.055676408926310754,0.768,1250,25,50,456
poissonNmean21,0.225,0.775,15,3.967061824104207,0.24049476679028156,0.2190832946042858,0.06068693467054316,0.8416,1250,25,50,456
poissonNmean21,0.225,0.775,20,3.8576211348039546,0.16477881939855948,0.19883557746889985,0.04305426813255155,0.8176000000000001,1250,25,50,456
poissonNmean21,0.225,0.775,25,3.7906209331243144,0.1250535863169389,0.225839276856897,0.032572811474625644,0.8512000000000001,1250,25,50,456
poissonNmean21,0.225,0.775,30,4.670274309263552,0.006582005033992565,0.014604006595304857,0.0017204655861397453,0.8623999999999999,1200,25,50,456
poissonNmean21,0.225,0.775,35,3.9160525186178945,6.100930696599813e-16,2.153269657623463e-16,1.5150447266324925e-16,0.88,1250,25,50,456
poissonNmean21,0.25,0.75,0,6.613206889466709,0.6195368955450661,0.7667446404262478,0.09136021033098114,0.9104000000000001,1250,25,50,456
poissonNmean21,0.25,0.75,5,4.8416483314231735,0.360768654122695,0.3692311327559497,0.07307543208020527,0.8704000000000001,1250,25,50,456
poissonNmean21,0.25,0.75,10,4.048888206070351,0.18836331531950465,0.19164408615942577,0.04612742167364716,0.7879999999999999,1250,25,50,456
poissonNmean21,0.25,0.75,15,3.846603142354513,0.21213953055879642,0.21179057913784846,0.055165326262595425,0.8464,1250,25,50,456
poissonNmean21,0.25,0.75,20,3.489018242188761,0.158446855265019,0.15444410146910895,0.04632545307024196,0.8,1250,25,50,456
