test_clinic,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_test_observed,n_test_total
17,25,7,HCP++,1,48.72275391391827,0,108.65784231077436,157.38059622469262,147.0,133.0192192677335,17,7,26
17,25,7,HCP.sample,1,51.25133606934895,0,97.67004619344311,148.92138226279206,147.0,133.0192192677335,17,7,26
17,25,7,HCP,1,56.858718070110285,0,114.27800623305279,171.13672430316308,147.0,142.70736526810794,17,7,26
17,25,7,Pooling,1,45.512878985387715,0,119.95092577541408,165.4638047608018,147.0,142.70736526810794,17,7,26
17,25,7,Subsampling,1,63.765904237351094,0,110.82441314943239,174.59031738678348,147.0,142.70736526810794,17,7,26
17,25,7,Repeated,1,56.70004081495061,0,114.35734486063264,171.05738567558325,147.0,142.70736526810794,17,7,26
17,50,13,HCP++,1,46.58750573717168,0,102.53986583648967,149.12737157366135,137.67,125.83361870507551,17,13,26
17,50,13,HCP.sample,1,49.754430920117656,0,104.93408114900338,154.68851206912103,137.67,125.83361870507551,17,13,26
17,50,13,HCP,1,56.858718070110285,0,108.60144062328146,165.46015869339175,137.67,137.0307996583366,17,13,26
17,50,13,Pooling,1,45.512878985387715,0,114.27436016564275,159.78723915103046,137.67,137.0307996583366,17,13,26
17,50,13,Subsampling,1,89.03121451608598,0,92.51519240029361,181.5464069163796,137.67,137.0307996583366,17,13,26
17,50,13,Repeated,1,59.39507226067724,0,107.33326352799799,166.72833578867522,137.67,137.0307996583366,17,13,26
17,75,19,HCP++,1,62.94576528922647,0,97.05423471077353,160.0,132.67,128.52711735538676,17,19,26
17,75,19,HCP.sample,1,45.950816635774984,0,112.8114435162576,158.76226015203258,132.67,128.52711735538676,17,19,26
17,75,19,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,132.67,136.21986171408355,17,19,26
17,75,19,Pooling,1,45.512878985387715,0,113.46342222138969,158.9763012067774,132.67,136.21986171408355,17,19,26
17,75,19,Subsampling,1,59.70424028400333,0,106.36774157208188,166.07198185608522,132.67,136.21986171408355,17,19,26
17,75,19,Repeated,1,54.19401413274761,0,109.12285464770974,163.31686878045736,132.67,136.21986171408355,17,19,26
29,25,7,HCP++,1,49.202123838279704,0,107.88457405138217,157.08669788966188,147.0,132.48563597052203,17,7,26
29,25,7,HCP.sample,1,39.03133606934898,0,109.89004619344308,148.92138226279206,147.0,132.48563597052203,17,7,26
29,25,7,HCP,1,56.858718070110285,0,114.27800623305279,171.13672430316308,147.0,142.70736526810794,17,7,26
29,25,7,Pooling,1,45.512878985387715,0,119.95092577541408,165.4638047608018,147.0,142.70736526810794,17,7,26
29,25,7,Subsampling,1,59.39507226067724,0,113.00982913776932,172.40490139844655,147.0,142.70736526810794,17,7,26
29,25,7,Repeated,1,59.39507226067724,0,113.00982913776932,172.40490139844655,147.0,142.70736526810794,17,7,26
29,50,13,HCP++,1,46.98531286594266,0,102.95937036230288,149.94468322824554,137.67,126.45202679527421,17,13,26
29,50,13,HCP.sample,1,46.43179669867389,0,106.64821125239571,153.0800079510696,137.67,126.45202679527421,17,13,26
29,50,13,HCP,1,56.858718070110285,0,108.60144062328146,165.46015869339175,137.67,137.0307996583366,17,13,26
29,50,13,Pooling,1,45.512878985387715,0,114.27436016564275,159.78723915103046,137.67,137.0307996583366,17,13,26
29,50,13,Subsampling,1,83.64191670345669,0,95.20984130660825,178.85175801006494,137.67,137.0307996583366,17,13,26
29,50,13,Repeated,1,54.19401413274761,0,109.9337925919628,164.1278067247104,137.67,137.0307996583366,17,13,26
29,75,19,HCP++,1,62.94576528922647,0,97.05423471077353,160.0,132.67,128.52711735538676,17,19,26
29,75,19,HCP.sample,1,55.07844817280437,0,104.92155182719563,160.0,132.67,128.52711735538676,17,19,26
